NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.23990E-02,  2.31882E-02,  2.39509E-02,  2.46751E-02,  2.53482E-02,  2.59572E-02,  2.64893E-02,  2.69323E-02,  2.72754E-02,  2.75097E-02,  2.76291E-02,  2.76303E-02,  2.75131E-02,  2.72805E-02,  2.69387E-02,  2.64964E-02,  2.59641E-02,  2.53540E-02,  2.46790E-02,  2.39522E-02,  2.31863E-02,  2.23934E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.16973E-02,  2.26080E-02,  2.35174E-02,  2.44145E-02,  2.52867E-02,  2.61199E-02,  2.68986E-02,  2.76069E-02,  2.82286E-02,  2.87483E-02,  2.91522E-02,  2.94289E-02,  2.95704E-02,  2.95722E-02,  2.94342E-02,  2.91604E-02,  2.87587E-02,  2.82402E-02,  2.76188E-02,  2.69096E-02,  2.61289E-02,  2.52929E-02,  2.44170E-02,  2.35155E-02,  2.26013E-02,  2.16854E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.16459E-02,  2.26546E-02,  2.36791E-02,  2.47092E-02,  2.57323E-02,  2.67339E-02,  2.76970E-02,  2.86029E-02,  2.94318E-02,  3.01632E-02,  3.07776E-02,  3.12570E-02,  3.15866E-02,  3.17555E-02,  3.17582E-02,  3.15943E-02,  3.12691E-02,  3.07931E-02,  3.01809E-02,  2.94501E-02,  2.86205E-02,  2.77124E-02,  2.67460E-02,  2.57401E-02,  2.47118E-02,  2.36760E-02,  2.26455E-02,  2.16307E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.03774E-02,  2.14306E-02,  2.25244E-02,  2.36527E-02,  2.48073E-02,  2.59769E-02,  2.71477E-02,  2.83025E-02,  2.94213E-02,  3.04814E-02,  3.14578E-02,  3.23250E-02,  3.30573E-02,  3.36313E-02,  3.40274E-02,  3.42312E-02,  3.42349E-02,  3.40384E-02,  3.36486E-02,  3.30794E-02,  3.23502E-02,  3.14844E-02,  3.05072E-02,  2.94447E-02,  2.83219E-02,  2.71618E-02,  2.59848E-02,  2.48084E-02,  2.36467E-02,  2.25112E-02,  2.14104E-02,  2.03506E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.99451E-02,  2.10489E-02,  2.22098E-02,  2.34246E-02,  2.46877E-02,  2.59907E-02,  2.73219E-02,  2.86657E-02,  3.00027E-02,  3.13090E-02,  3.25569E-02,  3.37155E-02,  3.47517E-02,  3.56325E-02,  3.63267E-02,  3.68077E-02,  3.70561E-02,  3.70613E-02,  3.68229E-02,  3.63506E-02,  3.56633E-02,  3.47869E-02,  3.37525E-02,  3.25932E-02,  3.13422E-02,  3.00309E-02,  2.86875E-02,  2.73360E-02,  2.59966E-02,  2.46851E-02,  2.34135E-02,  2.21906E-02,  2.10220E-02,  1.99112E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.93718E-02,  2.05056E-02,  2.17117E-02,  2.29901E-02,  2.43388E-02,  2.57531E-02,  2.72252E-02,  2.87431E-02,  3.02901E-02,  3.18441E-02,  3.33770E-02,  3.48554E-02,  3.62404E-02,  3.74896E-02,  3.85593E-02,  3.94078E-02,  3.99988E-02,  4.03052E-02,  4.03125E-02,  4.00198E-02,  3.94408E-02,  3.86015E-02,  3.75376E-02,  3.62908E-02,  3.49048E-02,  3.34224E-02,  3.18829E-02,  3.03207E-02,  2.87643E-02,  2.72363E-02,  2.57540E-02,  2.43296E-02,  2.29714E-02,  2.16842E-02,  2.04701E-02,  1.93291E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.86711E-02,  1.98130E-02,  2.10398E-02,  2.23549E-02,  2.37604E-02,  2.52561E-02,  2.68392E-02,  2.85032E-02,  3.02365E-02,  3.20217E-02,  3.38345E-02,  3.56425E-02,  3.74051E-02,  3.90738E-02,  4.05939E-02,  4.19073E-02,  4.29570E-02,  4.36924E-02,  4.40756E-02,  4.40856E-02,  4.37213E-02,  4.30021E-02,  4.19647E-02,  4.06589E-02,  3.91415E-02,  3.74710E-02,  3.57027E-02,  3.38861E-02,  3.20626E-02,  3.02654E-02,  2.85197E-02,  2.68433E-02,  2.52483E-02,  2.37414E-02,  2.23259E-02,  2.10017E-02,  1.97671E-02,  1.86184E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.78617E-02,  1.89899E-02,  2.02121E-02,  2.15350E-02,  2.29648E-02,  2.45061E-02,  2.61619E-02,  2.79321E-02,  2.98124E-02,  3.17931E-02,  3.38573E-02,  3.59789E-02,  3.81214E-02,  4.02364E-02,  4.22635E-02,  4.41318E-02,  4.57633E-02,  4.70792E-02,  4.80080E-02,  4.84946E-02,  4.85084E-02,  4.80478E-02,  4.71410E-02,  4.58413E-02,  4.42192E-02,  4.23535E-02,  4.03230E-02,  3.81997E-02,  3.60453E-02,  3.39095E-02,  3.18301E-02,  2.98339E-02,  2.79386E-02,  2.61543E-02,  2.44857E-02,  2.29328E-02,  2.14931E-02,  2.01615E-02,  1.89321E-02,  1.77979E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.69659E-02,  1.80601E-02,  1.92535E-02,  2.05556E-02,  2.19761E-02,  2.35244E-02,  2.52090E-02,  2.70369E-02,  2.90120E-02,  3.11343E-02,  3.33974E-02,  3.57866E-02,  3.82760E-02,  4.08257E-02,  4.33794E-02,  4.58625E-02,  4.81832E-02,  5.02361E-02,  5.19105E-02,  5.31030E-02,  5.37319E-02,  5.37510E-02,  5.31582E-02,  5.19957E-02,  5.03424E-02,  4.83008E-02,  4.59818E-02,  4.34922E-02,  4.09260E-02,  3.83596E-02,  3.58512E-02,  3.34424E-02,  3.11599E-02,  2.90195E-02,  2.70278E-02,  2.51852E-02,  2.34877E-02,  2.19283E-02,  2.04986E-02,  1.91889E-02,  1.79894E-02,  1.68906E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.60080E-02,  1.70507E-02,  1.81937E-02,  1.94487E-02,  2.08281E-02,  2.23452E-02,  2.40135E-02,  2.58463E-02,  2.78561E-02,  3.00527E-02,  3.24422E-02,  3.50245E-02,  3.77899E-02,  4.07154E-02,  4.37603E-02,  4.68612E-02,  4.99281E-02,  5.28426E-02,  5.54616E-02,  5.76278E-02,  5.91879E-02,NA,NA,  5.92656E-02,  5.77465E-02,  5.56077E-02,  5.30012E-02,  5.00857E-02,  4.70070E-02,  4.38868E-02,  4.08181E-02,  3.78671E-02,  3.50763E-02,  3.24700E-02,  3.00585E-02,  2.78426E-02,  2.58162E-02,  2.39691E-02,  2.22890E-02,  2.07623E-02,  1.93752E-02,  1.81143E-02,  1.69668E-02,  1.59210E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
