NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.21375E-03,  9.14189E-03,  9.05140E-03,  8.94216E-03,  8.81437E-03,  8.66848E-03,  8.50521E-03,  8.32551E-03,  8.13050E-03,  7.92143E-03,  7.69962E-03,  7.46638E-03,  7.22300E-03,  6.97066E-03,  6.71045E-03,  6.44334E-03,  6.17018E-03,  5.89171E-03,  5.60858E-03,  5.32137E-03,  5.03064E-03,  4.73690E-03,  4.44068E-03,  4.14251E-03,  3.84296E-03,  3.54263E-03,  3.24212E-03,  2.94211E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.79689E-03,  9.76628E-03,  9.71594E-03,  9.64508E-03,  9.55320E-03,  9.44014E-03,  9.30609E-03,  9.15163E-03,  8.97763E-03,  8.78527E-03,  8.57596E-03,  8.35125E-03,  8.11277E-03,  7.86211E-03,  7.60082E-03,  7.33030E-03,  7.05179E-03,  6.76636E-03,  6.47493E-03,  6.17825E-03,  5.87698E-03,  5.57169E-03,  5.26289E-03,  4.95108E-03,  4.63678E-03,  4.32052E-03,  4.00286E-03,  3.68443E-03,  3.36589E-03,  3.04793E-03,  2.73129E-03,  2.41672E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.03188E-02,  1.03352E-02,  1.03323E-02,  1.03085E-02,  1.02627E-02,  1.01936E-02,  1.01007E-02,  9.98362E-03,  9.84267E-03,  9.67849E-03,  9.49220E-03,  9.28527E-03,  9.05948E-03,  8.81679E-03,  8.55922E-03,  8.28875E-03,  8.00724E-03,  7.71634E-03,  7.41749E-03,  7.11186E-03,  6.80041E-03,  6.48392E-03,  6.16300E-03,  5.83816E-03,  5.50989E-03,  5.17863E-03,  4.84486E-03,  4.50910E-03,  4.17194E-03,  3.83401E-03,  3.49601E-03,  3.15868E-03,  2.82284E-03,  2.48931E-03,  2.15894E-03,  1.83260E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.08276E-02,  1.08765E-02,  1.09063E-02,  1.09147E-02,  1.08999E-02,  1.08601E-02,  1.07939E-02,  1.07004E-02,  1.05793E-02,  1.04306E-02,  1.02553E-02,  1.00548E-02,  9.83092E-03,  9.58594E-03,  9.32236E-03,  9.04273E-03,  8.74953E-03,  8.44503E-03,  8.13119E-03,  7.80964E-03,  7.48169E-03,  7.14832E-03,  6.81025E-03,  6.46803E-03,  6.12209E-03,  5.77282E-03,  5.42059E-03,  5.06585E-03,  4.70908E-03,  4.35087E-03,  3.99188E-03,  3.63285E-03,  3.27461E-03,  2.91801E-03,  2.56398E-03,  2.21346E-03,  1.86740E-03,  1.52673E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.12279E-02,  1.13288E-02,  1.14142E-02,  1.14814E-02,  1.15277E-02,  1.15505E-02,  1.15473E-02,  1.15157E-02,  1.14539E-02,  1.13606E-02,  1.12352E-02,  1.10779E-02,  1.08898E-02,  1.06726E-02,  1.04287E-02,  1.01611E-02,  9.87296E-03,  9.56760E-03,  9.24810E-03,  8.91728E-03,  8.57747E-03,  8.23054E-03,  7.87789E-03,  7.52046E-03,  7.15891E-03,  6.79363E-03,  6.42492E-03,  6.05301E-03,  5.67819E-03,  5.30082E-03,  4.92136E-03,  4.54040E-03,  4.15862E-03,  3.77683E-03,  3.39591E-03,  3.01684E-03,  2.64063E-03,  2.26830E-03,  1.90093E-03,  1.53954E-03,  1.18516E-03,  8.38750E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.16771E-02,  1.18154E-02,  1.19405E-02,  1.20494E-02,  1.21391E-02,  1.22061E-02,  1.22471E-02,  1.22589E-02,  1.22383E-02,  1.21829E-02,  1.20909E-02,  1.19614E-02,  1.17944E-02,  1.15913E-02,  1.13542E-02,  1.10865E-02,  1.07918E-02,  1.04745E-02,  1.01388E-02,  9.78857E-03,  9.42739E-03,  9.05805E-03,  8.68265E-03,  8.30264E-03,  7.91887E-03,  7.53179E-03,  7.14158E-03,  6.74831E-03,  6.35200E-03,  5.95281E-03,  5.55099E-03,  5.14697E-03,  4.74134E-03,  4.33483E-03,  3.92833E-03,  3.52281E-03,  3.11934E-03,  2.71905E-03,  2.32310E-03,  1.93265E-03,  1.54887E-03,  1.17287E-03,  8.05733E-04,  4.48462E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.21033E-02,  1.22803E-02,  1.24472E-02,  1.26012E-02,  1.27387E-02,  1.28560E-02,  1.29490E-02,  1.30133E-02,  1.30446E-02,  1.30389E-02,  1.29929E-02,  1.29038E-02,  1.27703E-02,  1.25923E-02,  1.23715E-02,  1.21106E-02,  1.18139E-02,  1.14865E-02,  1.11340E-02,  1.07620E-02,  1.03756E-02,  9.97913E-03,  9.57604E-03,  9.16864E-03,  8.75834E-03,  8.34576E-03,  7.93102E-03,  7.51392E-03,  7.09418E-03,  6.67158E-03,  6.24604E-03,  5.81774E-03,  5.38706E-03,  4.95460E-03,  4.52118E-03,  4.08777E-03,  3.65545E-03,  3.22543E-03,  2.79897E-03,  2.37735E-03,  1.96189E-03,  1.55387E-03,  1.15454E-03,  7.65069E-04,  3.86572E-04,  2.00512E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.25009E-02,  1.27167E-02,  1.29264E-02,  1.31272E-02,  1.33158E-02,  1.34882E-02,  1.36397E-02,  1.37653E-02,  1.38594E-02,  1.39164E-02,  1.39310E-02,  1.38982E-02,  1.38145E-02,  1.36776E-02,  1.34873E-02,  1.32451E-02,  1.29551E-02,  1.26228E-02,  1.22552E-02,  1.18596E-02,  1.14438E-02,  1.10142E-02,  1.05765E-02,  1.01348E-02,  9.69138E-03,  9.24763E-03,  8.80368E-03,  8.35908E-03,  7.91306E-03,  7.46486E-03,  7.01388E-03,  6.55981E-03,  6.10272E-03,  5.64296E-03,  5.18120E-03,  4.71835E-03,  4.25551E-03,  3.79392E-03,  3.33493E-03,  2.87995E-03,  2.43042E-03,  1.98781E-03,  1.55353E-03,  1.12897E-03,  7.15430E-04,  3.14124E-04, -7.38539E-05, -4.47535E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28656E-02,  1.31189E-02,  1.33706E-02,  1.36185E-02,  1.38594E-02,  1.40896E-02,  1.43045E-02,  1.44985E-02,  1.46653E-02,  1.47979E-02,  1.48889E-02,  1.49309E-02,  1.49173E-02,  1.48427E-02,  1.47036E-02,  1.44992E-02,  1.42313E-02,  1.39052E-02,  1.35284E-02,  1.31104E-02,  1.26614E-02,  1.21918E-02,  1.17103E-02,  1.12240E-02,  1.07377E-02,  1.02540E-02,  9.77347E-03,  9.29560E-03,  8.81898E-03,  8.34201E-03,  7.86321E-03,  7.38154E-03,  6.89643E-03,  6.40784E-03,  5.91618E-03,  5.42222E-03,  4.92703E-03,  4.43188E-03,  3.93819E-03,  3.44749E-03,  2.96137E-03,  2.48143E-03,  2.00930E-03,  1.54655E-03,  1.09472E-03,  6.55234E-04,  2.29420E-04, -1.81530E-04, -5.76568E-04, -9.54810E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.31944E-02,  1.34827E-02,  1.37742E-02,  1.40672E-02,  1.43595E-02,  1.46479E-02,  1.49281E-02,  1.51949E-02,  1.54418E-02,  1.56610E-02,  1.58435E-02,  1.59797E-02,  1.60595E-02,  1.60734E-02,  1.60136E-02,  1.58745E-02,  1.56542E-02,  1.53549E-02,  1.49833E-02,  1.45498E-02,  1.40676E-02,  1.35512E-02,  1.30147E-02,  1.24699E-02,  1.19260E-02,  1.13885E-02,  1.08597E-02,  1.03393E-02,  9.82517E-03,  9.31457E-03,  8.80461E-03,  8.29293E-03,  7.77790E-03,  7.25875E-03,  6.73540E-03,  6.20842E-03,  5.67880E-03,  5.14783E-03,  4.61703E-03,  4.08802E-03,  3.56253E-03,  3.04233E-03,  2.52923E-03,  2.02499E-03,  1.53137E-03,  1.05004E-03,  5.82588E-04,  1.30453E-04, -3.05068E-04, -7.22851E-04, -1.12195E-03, -1.50163E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
