NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.17991E-02, -3.20882E-02, -3.23597E-02, -3.26118E-02, -3.28427E-02, -3.30508E-02, -3.32347E-02, -3.33932E-02, -3.35250E-02, -3.36293E-02, -3.37055E-02, -3.37532E-02, -3.37723E-02, -3.37628E-02, -3.37251E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.11882E-02, -3.15557E-02, -3.19130E-02, -3.22579E-02, -3.25882E-02, -3.29020E-02, -3.31970E-02, -3.34712E-02, -3.37226E-02, -3.39493E-02, -3.41496E-02, -3.43221E-02, -3.44654E-02, -3.45787E-02, -3.46612E-02, -3.47124E-02, -3.47322E-02, -3.47208E-02, -3.46786E-02, -3.46061E-02, -3.45043E-02, -3.43744E-02, -3.42175E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.06675E-02, -3.10827E-02, -3.14938E-02, -3.18989E-02, -3.22958E-02, -3.26824E-02, -3.30563E-02, -3.34151E-02, -3.37564E-02, -3.40778E-02, -3.43767E-02, -3.46510E-02, -3.48985E-02, -3.51172E-02, -3.53055E-02, -3.54618E-02, -3.55850E-02, -3.56744E-02, -3.57294E-02, -3.57499E-02, -3.57361E-02, -3.56885E-02, -3.56079E-02, -3.54953E-02, -3.53521E-02, -3.51796E-02, -3.49797E-02, -3.47540E-02, -3.45045E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.04167E-02, -3.08637E-02, -3.13111E-02, -3.17570E-02, -3.21996E-02, -3.26368E-02, -3.30662E-02, -3.34854E-02, -3.38917E-02, -3.42823E-02, -3.46544E-02, -3.50053E-02, -3.53321E-02, -3.56322E-02, -3.59031E-02, -3.61425E-02, -3.63484E-02, -3.65193E-02, -3.66536E-02, -3.67506E-02, -3.68098E-02, -3.68308E-02, -3.68141E-02, -3.67603E-02, -3.66702E-02, -3.65452E-02, -3.63868E-02, -3.61967E-02, -3.59769E-02, -3.57295E-02, -3.54566E-02, -3.51603E-02, -3.48430E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.00706E-02, -3.05409E-02, -3.10158E-02, -3.14939E-02, -3.19736E-02, -3.24531E-02, -3.29303E-02, -3.34029E-02, -3.38683E-02, -3.43237E-02, -3.47661E-02, -3.51923E-02, -3.55990E-02, -3.59832E-02, -3.63414E-02, -3.66706E-02, -3.69680E-02, -3.72308E-02, -3.74567E-02, -3.76439E-02, -3.77907E-02, -3.78962E-02, -3.79597E-02, -3.79811E-02, -3.79608E-02, -3.78996E-02, -3.77986E-02, -3.76593E-02, -3.74835E-02, -3.72734E-02, -3.70311E-02, -3.67591E-02, -3.64599E-02, -3.61359E-02, -3.57898E-02, -3.54240E-02, -3.50409E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.96433E-02, -3.01281E-02, -3.06211E-02, -3.11215E-02, -3.16282E-02, -3.21398E-02, -3.26547E-02, -3.31709E-02, -3.36862E-02, -3.41979E-02, -3.47033E-02, -3.51991E-02, -3.56818E-02, -3.61480E-02, -3.65938E-02, -3.70155E-02, -3.74093E-02, -3.77716E-02, -3.80990E-02, -3.83883E-02, -3.86369E-02, -3.88424E-02, -3.90032E-02, -3.91181E-02, -3.91863E-02, -3.92078E-02, -3.91831E-02, -3.91131E-02, -3.89993E-02, -3.88435E-02, -3.86478E-02, -3.84147E-02, -3.81469E-02, -3.78471E-02, -3.75182E-02, -3.71631E-02, -3.67847E-02, -3.63859E-02, -3.59694E-02, -3.55378E-02, -3.50935E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.96417E-02, -3.01438E-02, -3.06566E-02, -3.11796E-02, -3.17121E-02, -3.22529E-02, -3.28007E-02, -3.33539E-02, -3.39102E-02, -3.44673E-02, -3.50224E-02, -3.55722E-02, -3.61131E-02, -3.66412E-02, -3.71525E-02, -3.76425E-02, -3.81068E-02, -3.85410E-02, -3.89409E-02, -3.93025E-02, -3.96220E-02, -3.98963E-02, -4.01227E-02, -4.02992E-02, -4.04244E-02, -4.04977E-02, -4.05189E-02, -4.04887E-02, -4.04083E-02, -4.02795E-02, -4.01045E-02, -3.98858E-02, -3.96264E-02, -3.93294E-02, -3.89981E-02, -3.86357E-02, -3.82456E-02, -3.78312E-02, -3.73956E-02, -3.69419E-02, -3.64730E-02, -3.59917E-02, -3.55005E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.96021E-02, -3.01183E-02, -3.06476E-02, -3.11899E-02, -3.17447E-02, -3.23112E-02, -3.28886E-02, -3.34755E-02, -3.40702E-02, -3.46704E-02, -3.52736E-02, -3.58766E-02, -3.64759E-02, -3.70674E-02, -3.76467E-02, -3.82089E-02, -3.87491E-02, -3.92619E-02, -3.97423E-02, -4.01852E-02, -4.05859E-02, -4.09399E-02, -4.12435E-02, -4.14936E-02, -4.16878E-02, -4.18246E-02, -4.19031E-02, -4.19235E-02, -4.18865E-02, -4.17937E-02, -4.16472E-02, -4.14498E-02, -4.12045E-02, -4.09148E-02, -4.05844E-02, -4.02172E-02, -3.98168E-02, -3.93874E-02, -3.89324E-02, -3.84557E-02, -3.79607E-02, -3.74506E-02, -3.69284E-02, -3.63970E-02, -3.58589E-02,NA,NA,NA,NA,NA,NA,NA,
