NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.08235E-03,  5.21387E-03,  5.34165E-03,  5.46487E-03,  5.58268E-03,  5.69422E-03,  5.79862E-03,  5.89506E-03,  5.98272E-03,  6.06085E-03,  6.12875E-03,  6.18579E-03,  6.23144E-03,  6.26526E-03,  6.28691E-03,  6.29620E-03,  6.29302E-03,  6.27740E-03,  6.24951E-03,  6.20961E-03,  6.15809E-03,  6.09544E-03,  6.02224E-03,  5.93915E-03,  5.84692E-03,  5.74631E-03,  5.63816E-03,  5.52332E-03,  5.40265E-03,  5.27699E-03,  5.14720E-03,  5.01410E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.97513E-03,  5.12849E-03,  5.28058E-03,  5.43057E-03,  5.57760E-03,  5.72072E-03,  5.85899E-03,  5.99142E-03,  6.11700E-03,  6.23474E-03,  6.34365E-03,  6.44279E-03,  6.53124E-03,  6.60819E-03,  6.67290E-03,  6.72472E-03,  6.76313E-03,  6.78774E-03,  6.79829E-03,  6.79469E-03,  6.77695E-03,  6.74527E-03,  6.69998E-03,  6.64153E-03,  6.57050E-03,  6.48760E-03,  6.39360E-03,  6.28937E-03,  6.17585E-03,  6.05399E-03,  5.92480E-03,  5.78927E-03,  5.64841E-03,  5.50318E-03,  5.35454E-03,  5.20337E-03,  5.05054E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.13065E-03,  5.30153E-03,  5.47223E-03,  5.64187E-03,  5.80954E-03,  5.97424E-03,  6.13490E-03,  6.29041E-03,  6.43963E-03,  6.58139E-03,  6.71452E-03,  6.83785E-03,  6.95027E-03,  7.05071E-03,  7.13819E-03,  7.21181E-03,  7.27082E-03,  7.31459E-03,  7.34265E-03,  7.35469E-03,  7.35059E-03,  7.33038E-03,  7.29429E-03,  7.24270E-03,  7.17618E-03,  7.09542E-03,  7.00124E-03,  6.89458E-03,  6.77648E-03,  6.64803E-03,  6.51037E-03,  6.36467E-03,  6.21211E-03,  6.05384E-03,  5.89100E-03,  5.72466E-03,  5.55587E-03,  5.38558E-03,  5.21469E-03,  5.04402E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.08874E-03,  5.27581E-03,  5.46476E-03,  5.65482E-03,  5.84512E-03,  6.03470E-03,  6.22249E-03,  6.40737E-03,  6.58811E-03,  6.76343E-03,  6.93200E-03,  7.09244E-03,  7.24338E-03,  7.38345E-03,  7.51131E-03,  7.62571E-03,  7.72546E-03,  7.80951E-03,  7.87693E-03,  7.92697E-03,  7.95907E-03,  7.97285E-03,  7.96817E-03,  7.94506E-03,  7.90380E-03,  7.84487E-03,  7.76891E-03,  7.67678E-03,  7.56946E-03,  7.44808E-03,  7.31386E-03,  7.16811E-03,  7.01218E-03,  6.84745E-03,  6.67529E-03,  6.49706E-03,  6.31407E-03,  6.12756E-03,  5.93872E-03,  5.74865E-03,  5.55836E-03,  5.36876E-03,  5.18067E-03,  4.99482E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.00453E-03,  5.20453E-03,  5.40851E-03,  5.61584E-03,  5.82580E-03,  6.03752E-03,  6.25004E-03,  6.46228E-03,  6.67304E-03,  6.88102E-03,  7.08482E-03,  7.28295E-03,  7.47385E-03,  7.65593E-03,  7.82755E-03,  7.98710E-03,  8.13299E-03,  8.26371E-03,  8.37784E-03,  8.47410E-03,  8.55140E-03,  8.60881E-03,  8.64566E-03,  8.66150E-03,  8.65613E-03,  8.62961E-03,  8.58228E-03,  8.51471E-03,  8.42768E-03,  8.32223E-03,  8.19954E-03,  8.06096E-03,  7.90796E-03,  7.74210E-03,  7.56499E-03,  7.37824E-03,  7.18348E-03,  6.98229E-03,  6.77620E-03,  6.56664E-03,  6.35498E-03,  6.14246E-03,  5.93021E-03,  5.71927E-03,  5.51054E-03,  5.30481E-03,  5.10278E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.09073E-03,  5.30595E-03,  5.52672E-03,  5.75248E-03,  5.98258E-03,  6.21620E-03,  6.45242E-03,  6.69016E-03,  6.92821E-03,  7.16522E-03,  7.39970E-03,  7.63004E-03,  7.85451E-03,  8.07129E-03,  8.27850E-03,  8.47423E-03,  8.65653E-03,  8.82352E-03,  8.97338E-03,  9.10441E-03,  9.21506E-03,  9.30400E-03,  9.37012E-03,  9.41258E-03,  9.43084E-03,  9.42466E-03,  9.39413E-03,  9.33963E-03,  9.26186E-03,  9.16180E-03,  9.04067E-03,  8.89993E-03,  8.74120E-03,  8.56624E-03,  8.37692E-03,  8.17516E-03,  7.96287E-03,  7.74198E-03,  7.51432E-03,  7.28169E-03,  7.04574E-03,  6.80802E-03,  6.56997E-03,  6.33285E-03,  6.09782E-03,  5.86587E-03,  5.63787E-03,  5.41454E-03,  5.19652E-03,  4.98427E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.16146E-03,  5.39138E-03,  5.62853E-03,  5.87246E-03,  6.12262E-03,  6.37828E-03,  6.63861E-03,  6.90256E-03,  7.16898E-03,  7.43648E-03,  7.70356E-03,  7.96850E-03,  8.22946E-03,  8.48442E-03,  8.73127E-03,  8.96777E-03,  9.19166E-03,  9.40064E-03,  9.59243E-03,  9.76484E-03,  9.91581E-03,  1.00435E-02,  1.01462E-02,  1.02226E-02,  1.02718E-02,  1.02929E-02,  1.02858E-02,  1.02505E-02,  1.01875E-02,  1.00976E-02,  9.98214E-03,  9.84250E-03,  9.68047E-03,  9.49803E-03,  9.29730E-03,  9.08052E-03,  8.84998E-03,  8.60798E-03,  8.35678E-03,  8.09854E-03,  7.83533E-03,  7.56909E-03,  7.30160E-03,  7.03446E-03,  6.76913E-03,  6.50686E-03,  6.24877E-03,  5.99578E-03,  5.74868E-03,  5.50810E-03,  5.27454E-03,  5.04839E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.98089E-03,  5.21555E-03,  5.45939E-03,  5.71221E-03,  5.97373E-03,  6.24351E-03,  6.52098E-03,  6.80541E-03,  7.09588E-03,  7.39129E-03,  7.69034E-03,  7.99151E-03,  8.29309E-03,  8.59313E-03,  8.88950E-03,  9.17987E-03,  9.46174E-03,  9.73250E-03,  9.98943E-03,  1.02298E-02,  1.04508E-02,  1.06499E-02,  1.08245E-02,  1.09724E-02,  1.10916E-02,  1.11803E-02,  1.12373E-02,  1.12619E-02,  1.12536E-02,  1.12127E-02,  1.11395E-02,  1.10353E-02,  1.09015E-02,  1.07399E-02,  1.05527E-02,  1.03422E-02,  1.01111E-02,  9.86207E-03,  9.59784E-03,  9.32116E-03,  9.03469E-03,  8.74101E-03,  8.44251E-03,  8.14144E-03,  7.83984E-03,  7.53953E-03,  7.24213E-03,  6.94906E-03,  6.66150E-03,  6.38047E-03,  6.10679E-03,  5.84110E-03,  5.58390E-03,  5.33556E-03,  5.09632E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.00619E-03,  5.25209E-03,  5.50880E-03,  5.77631E-03,  6.05449E-03,  6.34308E-03,  6.64170E-03,  6.94978E-03,  7.26657E-03,  7.59111E-03,  7.92222E-03,  8.25848E-03,  8.59820E-03,  8.93945E-03,  9.28003E-03,  9.61746E-03,  9.94904E-03,  1.02718E-02,  1.05828E-02,  1.08786E-02,  1.11560E-02,  1.14117E-02,  1.16425E-02,  1.18453E-02,  1.20173E-02,  1.21560E-02,  1.22595E-02,  1.23260E-02,  1.23547E-02,  1.23451E-02,  1.22973E-02,  1.22120E-02,  1.20907E-02,  1.19349E-02,  1.17471E-02,  1.15299E-02,  1.12863E-02,  1.10192E-02,  1.07322E-02,  1.04284E-02,  1.01111E-02,  9.78347E-03,  9.44860E-03,  9.10927E-03,  8.76807E-03,  8.42732E-03,  8.08911E-03,  7.75524E-03,  7.42727E-03,  7.10649E-03,  6.79396E-03,  6.49055E-03,  6.19690E-03,  5.91348E-03,  5.64064E-03,  5.37853E-03,  5.12725E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.01458E-03,  5.27045E-03,  5.53875E-03,  5.81965E-03,  6.11324E-03,  6.41947E-03,  6.73815E-03,  7.06895E-03,  7.41134E-03,  7.76457E-03,  8.12764E-03,  8.49932E-03,  8.87805E-03,  9.26198E-03,  9.64894E-03,  1.00364E-02,  1.04216E-02,  1.08013E-02,  1.11721E-02,  1.15303E-02,  1.18721E-02,  1.21934E-02,  1.24904E-02,  1.27590E-02,  1.29954E-02,  1.31963E-02,  1.33586E-02,  1.34798E-02,  1.35578E-02,  1.35915E-02,  1.35802E-02,  1.35242E-02,  1.34244E-02,  1.32823E-02,  1.31003E-02,  1.28812E-02,  1.26282E-02,  1.23449E-02,  1.20352E-02,  1.17031E-02,  1.13526E-02,  1.09876E-02,  1.06119E-02,  1.02291E-02,  9.84237E-03,  9.45483E-03,  9.06909E-03,  8.68751E-03,  8.31211E-03,  7.94456E-03,  7.58628E-03,  7.23837E-03,  6.90171E-03,  6.57692E-03,  6.26443E-03,  5.96452E-03,  5.67729E-03,  5.40271E-03,  5.14066E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
