NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.39477E-03,  7.60575E-03,  7.81066E-03,  8.00768E-03,  8.19493E-03,  8.37050E-03,  8.53249E-03,  8.67904E-03,  8.80842E-03,  8.91900E-03,  9.00935E-03,  9.07830E-03,  9.12490E-03,  9.14854E-03,  9.14890E-03,  9.12599E-03,  9.08017E-03,  9.01210E-03,  8.92272E-03,  8.81328E-03,  8.68522E-03,  8.54018E-03,  8.37993E-03,  8.20634E-03,  8.02131E-03,  7.82678E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.22570E-03,  7.46448E-03,  7.70098E-03,  7.93337E-03,  8.15971E-03,  8.37793E-03,  8.58585E-03,  8.78127E-03,  8.96197E-03,  9.12579E-03,  9.27067E-03,  9.39469E-03,  9.49616E-03,  9.57366E-03,  9.62608E-03,  9.65266E-03,  9.65302E-03,  9.62719E-03,  9.57557E-03,  9.49895E-03,  9.39848E-03,  9.27560E-03,  9.13205E-03,  8.96976E-03,  8.79082E-03,  8.59741E-03,  8.39177E-03,  8.17612E-03,  7.95261E-03,  7.72332E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.98031E-03,  7.24017E-03,  7.50181E-03,  7.76360E-03,  8.02370E-03,  8.28008E-03,  8.53053E-03,  8.77270E-03,  9.00408E-03,  9.22212E-03,  9.42424E-03,  9.60789E-03,  9.77062E-03,  9.91017E-03,  1.00245E-02,  1.01120E-02,  1.01711E-02,  1.02012E-02,  1.02016E-02,  1.01724E-02,  1.01141E-02,  1.00276E-02,  9.91428E-03,  9.77592E-03,  9.61455E-03,  9.43247E-03,  9.23214E-03,  9.01615E-03,  8.78709E-03,  8.54754E-03,  8.30000E-03,  8.04682E-03,  7.79021E-03,  7.53218E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.94160E-03,  7.22039E-03,  7.50363E-03,  7.78978E-03,  8.07708E-03,  8.36350E-03,  8.64677E-03,  8.92439E-03,  9.19366E-03,  9.45173E-03,  9.69562E-03,  9.92230E-03,  1.01288E-02,  1.03121E-02,  1.04697E-02,  1.05990E-02,  1.06981E-02,  1.07652E-02,  1.07993E-02,  1.07998E-02,  1.07667E-02,  1.07007E-02,  1.06027E-02,  1.04746E-02,  1.03183E-02,  1.01364E-02,  9.93150E-03,  9.70664E-03,  9.46482E-03,  9.20910E-03,  8.94248E-03,  8.66782E-03,  8.38783E-03,  8.10501E-03,  7.82160E-03,  7.53959E-03,  7.26073E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.58175E-03,  6.86896E-03,  7.16455E-03,  7.46744E-03,  7.77629E-03,  8.08948E-03,  8.40506E-03,  8.72083E-03,  9.03425E-03,  9.34250E-03,  9.64251E-03,  9.93099E-03,  1.02045E-02,  1.04594E-02,  1.06923E-02,  1.08996E-02,  1.10781E-02,  1.12250E-02,  1.13376E-02,  1.14141E-02,  1.14530E-02,  1.14537E-02,  1.14162E-02,  1.13411E-02,  1.12298E-02,  1.10844E-02,  1.09073E-02,  1.07016E-02,  1.04704E-02,  1.02173E-02,  9.94588E-03,  9.65974E-03,  9.36237E-03,  9.05708E-03,  8.74697E-03,  8.43485E-03,  8.12324E-03,  7.81434E-03,  7.51003E-03,  7.21188E-03,  6.92120E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.46335E-03,  6.76198E-03,  7.07166E-03,  7.39160E-03,  7.72070E-03,  8.05758E-03,  8.40053E-03,  8.74746E-03,  9.09595E-03,  9.44319E-03,  9.78602E-03,  1.01209E-02,  1.04441E-02,  1.07515E-02,  1.10391E-02,  1.13025E-02,  1.15377E-02,  1.17408E-02,  1.19082E-02,  1.20369E-02,  1.21244E-02,  1.21691E-02,  1.21701E-02,  1.21274E-02,  1.20418E-02,  1.19150E-02,  1.17494E-02,  1.15481E-02,  1.13147E-02,  1.10530E-02,  1.07673E-02,  1.04619E-02,  1.01410E-02,  9.80865E-03,  9.46871E-03,  9.12471E-03,  8.77985E-03,  8.43691E-03,  8.09832E-03,  7.76609E-03,  7.44190E-03,  7.12707E-03,  6.82261E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.02121E-03,  6.31422E-03,  6.62112E-03,  6.94168E-03,  7.27541E-03,  7.62158E-03,  7.97911E-03,  8.34660E-03,  8.72228E-03,  9.10392E-03,  9.48887E-03,  9.87405E-03,  1.02559E-02,  1.06304E-02,  1.09933E-02,  1.13398E-02,  1.16650E-02,  1.19640E-02,  1.22318E-02,  1.24637E-02,  1.26553E-02,  1.28030E-02,  1.29037E-02,  1.29554E-02,  1.29569E-02,  1.29082E-02,  1.28104E-02,  1.26653E-02,  1.24761E-02,  1.22465E-02,  1.19807E-02,  1.16836E-02,  1.13603E-02,  1.10157E-02,  1.06549E-02,  1.02827E-02,  9.90351E-03,  9.52138E-03,  9.13990E-03,  8.76218E-03,  8.39083E-03,  8.02804E-03,  7.67552E-03,  7.33461E-03,  7.00629E-03,  6.69122E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.84025E-03,  6.13603E-03,  6.44777E-03,  6.77557E-03,  7.11932E-03,  7.47868E-03,  7.85300E-03,  8.24127E-03,  8.64212E-03,  9.05370E-03,  9.47369E-03,  9.89924E-03,  1.03270E-02,  1.07529E-02,  1.11724E-02,  1.15807E-02,  1.19722E-02,  1.23411E-02,  1.26816E-02,  1.29876E-02,  1.32535E-02,  1.34739E-02,  1.36442E-02,  1.37608E-02,  1.38209E-02,  1.38232E-02,  1.37676E-02,  1.36553E-02,  1.34889E-02,  1.32719E-02,  1.30089E-02,  1.27054E-02,  1.23670E-02,  1.19998E-02,  1.16100E-02,  1.12034E-02,  1.07857E-02,  1.03621E-02,  9.93702E-03,  9.51461E-03,  9.09828E-03,  8.69086E-03,  8.29464E-03,  7.91139E-03,  7.54240E-03,  7.18859E-03,  6.85051E-03,  6.52840E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  5.63602E-03,  5.93124E-03,  6.24418E-03,  6.57531E-03,  6.92491E-03,  7.29307E-03,  7.67960E-03,  8.08400E-03,  8.50539E-03,  8.94244E-03,  9.39330E-03,  9.85558E-03,  1.03262E-02,  1.08016E-02,  1.12772E-02,  1.17480E-02,  1.22083E-02,  1.26517E-02,  1.30714E-02,  1.34604E-02,  1.38114E-02,  1.41176E-02,  1.43723E-02,  1.45698E-02,  1.47054E-02,  1.47759E-02,  1.47794E-02,  1.47158E-02,  1.45866E-02,  1.43948E-02,  1.41450E-02,  1.38428E-02,  1.34948E-02,  1.31080E-02,  1.26899E-02,  1.22477E-02,  1.17885E-02,  1.13189E-02,  1.08447E-02,  1.03713E-02,  9.90319E-03,  9.44406E-03,  8.99699E-03,  8.56432E-03,  8.14783E-03,  7.74874E-03,  7.36782E-03,  7.00545E-03,  6.66171E-03,  6.33639E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  5.41160E-03,  5.70296E-03,  6.01344E-03,  6.34385E-03,  6.69488E-03,  7.06707E-03,  7.46072E-03,  7.87589E-03,  8.31227E-03,  8.76915E-03,  9.24533E-03,  9.73902E-03,  1.02478E-02,  1.07684E-02,  1.12970E-02,  1.18286E-02,  1.23577E-02,  1.28775E-02,  1.33809E-02,  1.38598E-02,  1.43057E-02,  1.47099E-02,  1.50640E-02,  1.53598E-02,  1.55901E-02,  1.57490E-02,  1.58323E-02,  1.58377E-02,  1.57648E-02,  1.56155E-02,  1.53937E-02,  1.51049E-02,  1.47563E-02,  1.43558E-02,  1.39123E-02,  1.34346E-02,  1.29317E-02,  1.24118E-02,  1.18827E-02,  1.13513E-02,  1.08235E-02,  1.03043E-02,  9.79788E-03,  9.30732E-03,  8.83504E-03,  8.38275E-03,  7.95152E-03,  7.54192E-03,  7.15410E-03,  6.78788E-03,  6.44280E-03,  6.11821E-03,NA,NA,NA,NA,NA,NA,NA,NA,
