NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.26820E-02,  1.29822E-02,  1.32450E-02,  1.34650E-02,  1.36378E-02,  1.37601E-02,  1.38297E-02,  1.38459E-02,  1.38093E-02,  1.37222E-02,  1.35881E-02,  1.34116E-02,  1.31983E-02,  1.29542E-02,  1.26855E-02,  1.23984E-02,  1.20987E-02,  1.17915E-02,  1.14814E-02,  1.11720E-02,  1.08664E-02,  1.05667E-02,  1.02743E-02,  9.99014E-03,  9.71444E-03,  9.44717E-03,  9.18793E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28189E-02,  1.32329E-02,  1.36183E-02,  1.39678E-02,  1.42742E-02,  1.45308E-02,  1.47320E-02,  1.48732E-02,  1.49516E-02,  1.49660E-02,  1.49174E-02,  1.48086E-02,  1.46441E-02,  1.44299E-02,  1.41732E-02,  1.38817E-02,  1.35633E-02,  1.32258E-02,  1.28763E-02,  1.25211E-02,  1.21655E-02,  1.18139E-02,  1.14696E-02,  1.11346E-02,  1.08106E-02,  1.04981E-02,  1.01970E-02,  9.90709E-03,  9.62747E-03,  9.35715E-03,  9.09503E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.27125E-02,  1.32301E-02,  1.37336E-02,  1.42149E-02,  1.46650E-02,  1.50748E-02,  1.54351E-02,  1.57372E-02,  1.59737E-02,  1.61386E-02,  1.62278E-02,  1.62400E-02,  1.61760E-02,  1.60396E-02,  1.58366E-02,  1.55750E-02,  1.52639E-02,  1.49135E-02,  1.45339E-02,  1.41348E-02,  1.37252E-02,  1.33126E-02,  1.29036E-02,  1.25028E-02,  1.21140E-02,  1.17394E-02,  1.13801E-02,  1.10364E-02,  1.07081E-02,  1.03940E-02,  1.00929E-02,  9.80324E-03,  9.52352E-03,  9.25212E-03,  8.98757E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.23646E-02,  1.29624E-02,  1.35640E-02,  1.41620E-02,  1.47475E-02,  1.53105E-02,  1.58400E-02,  1.63243E-02,  1.67518E-02,  1.71112E-02,  1.73924E-02,  1.75874E-02,  1.76906E-02,  1.76999E-02,  1.76163E-02,  1.74446E-02,  1.71925E-02,  1.68705E-02,  1.64909E-02,  1.60666E-02,  1.56110E-02,  1.51362E-02,  1.46536E-02,  1.41723E-02,  1.36999E-02,  1.32420E-02,  1.28022E-02,  1.23827E-02,  1.19843E-02,  1.16068E-02,  1.12490E-02,  1.09094E-02,  1.05859E-02,  1.02763E-02,  9.97855E-03,  9.69044E-03,  9.41004E-03,  9.13566E-03,  8.86587E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.24513E-02,  1.31187E-02,  1.38025E-02,  1.44957E-02,  1.51897E-02,  1.58742E-02,  1.65370E-02,  1.71646E-02,  1.77421E-02,  1.82545E-02,  1.86867E-02,  1.90255E-02,  1.92596E-02,  1.93813E-02,  1.93872E-02,  1.92784E-02,  1.90612E-02,  1.87460E-02,  1.83466E-02,  1.78795E-02,  1.73618E-02,  1.68109E-02,  1.62426E-02,  1.56707E-02,  1.51067E-02,  1.45593E-02,  1.40346E-02,  1.35363E-02,  1.30664E-02,  1.26248E-02,  1.22105E-02,  1.18215E-02,  1.14552E-02,  1.11086E-02,  1.07788E-02,  1.04627E-02,  1.01576E-02,  9.86111E-03,  9.57100E-03,  9.28552E-03,  9.00332E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.17458E-02,  1.24410E-02,  1.31702E-02,  1.39296E-02,  1.47139E-02,  1.55155E-02,  1.63247E-02,  1.71295E-02,  1.79151E-02,  1.86648E-02,  1.93599E-02,  1.99807E-02,  2.05073E-02,  2.09215E-02,  2.12075E-02,  2.13544E-02,  2.13567E-02,  2.12157E-02,  2.09394E-02,  2.05419E-02,  2.00421E-02,  1.94621E-02,  1.88252E-02,  1.81540E-02,  1.74689E-02,  1.67874E-02,  1.61232E-02,  1.54865E-02,  1.48838E-02,  1.43187E-02,  1.37921E-02,  1.33031E-02,  1.28493E-02,  1.24274E-02,  1.20335E-02,  1.16635E-02,  1.13133E-02,  1.09790E-02,  1.06570E-02,  1.03443E-02,  1.00381E-02,  9.73631E-03,  9.43739E-03,  9.14019E-03,  8.84398E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.15975E-02,  1.23307E-02,  1.31102E-02,  1.39343E-02,  1.47999E-02,  1.57016E-02,  1.66318E-02,  1.75795E-02,  1.85310E-02,  1.94688E-02,  2.03721E-02,  2.12172E-02,  2.19784E-02,  2.26291E-02,  2.31438E-02,  2.35004E-02,  2.36827E-02,  2.36822E-02,  2.34996E-02,  2.31457E-02,  2.26399E-02,  2.20081E-02,  2.12809E-02,  2.04899E-02,  1.96650E-02,  1.88331E-02,  1.80159E-02,  1.72300E-02,  1.64869E-02,  1.57931E-02,  1.51514E-02,  1.45615E-02,  1.40207E-02,  1.35249E-02,  1.30688E-02,  1.26470E-02,  1.22538E-02,  1.18836E-02,  1.15315E-02,  1.11928E-02,  1.08638E-02,  1.05412E-02,  1.02225E-02,  9.90591E-03,  9.59012E-03,  9.27444E-03,  8.95864E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.13647E-02,  1.21224E-02,  1.29376E-02,  1.38114E-02,  1.47432E-02,  1.57310E-02,  1.67701E-02,  1.78527E-02,  1.89676E-02,  2.00990E-02,  2.12264E-02,  2.23245E-02,  2.33633E-02,  2.43089E-02,  2.51253E-02,  2.57770E-02,  2.62320E-02,  2.64658E-02,  2.64648E-02,  2.62288E-02,  2.57720E-02,  2.51212E-02,  2.43135E-02,  2.33915E-02,  2.23987E-02,  2.13756E-02,  2.03572E-02,  1.93709E-02,  1.84364E-02,  1.75659E-02,  1.67657E-02,  1.60367E-02,  1.53764E-02,  1.47796E-02,  1.42395E-02,  1.37487E-02,  1.32991E-02,  1.28833E-02,  1.24941E-02,  1.21249E-02,  1.17701E-02,  1.14251E-02,  1.10858E-02,  1.07495E-02,  1.04139E-02,  1.00779E-02,  9.74081E-03,  9.40246E-03,  9.06325E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.10555E-02,  1.18231E-02,  1.26576E-02,  1.35627E-02,  1.45414E-02,  1.55950E-02,  1.67232E-02,  1.79226E-02,  1.91864E-02,  2.05031E-02,  2.18559E-02,  2.32212E-02,  2.45686E-02,  2.58602E-02,  2.70515E-02,  2.80936E-02,  2.89359E-02,  2.95316E-02,  2.98429E-02,  2.98474E-02,  2.95423E-02,  2.89468E-02,  2.80992E-02,  2.70530E-02,  2.58689E-02,  2.46081E-02,  2.33262E-02,  2.20688E-02,  2.08701E-02,  1.97530E-02,  1.87299E-02,  1.78052E-02,  1.69770E-02,  1.62389E-02,  1.55822E-02,  1.49964E-02,  1.44707E-02,  1.39944E-02,  1.35575E-02,  1.31507E-02,  1.27657E-02,  1.23957E-02,  1.20348E-02,  1.16786E-02,  1.13236E-02,  1.09677E-02,  1.06094E-02,  1.02483E-02,  9.88463E-03,  9.51898E-03,  9.15241E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.06816E-02,  1.14443E-02,  1.22808E-02,  1.31977E-02,  1.42007E-02,  1.52954E-02,  1.64860E-02,  1.77745E-02,  1.91606E-02,  2.06391E-02,  2.22001E-02,  2.38263E-02,  2.54919E-02,  2.71608E-02,  2.87860E-02,  3.03097E-02,  3.16647E-02,  3.27785E-02,  3.35810E-02,  3.40125E-02,  3.40353E-02,  3.36412E-02,  3.28557E-02,  3.17354E-02,  3.03591E-02,  2.88162E-02,  2.71942E-02,  2.55695E-02,  2.40024E-02,  2.25350E-02,  2.11927E-02,  1.99863E-02,  1.89164E-02,  1.79757E-02,  1.71524E-02,  1.64322E-02,  1.57999E-02,  1.52404E-02,  1.47393E-02,  1.42835E-02,  1.38612E-02,  1.34623E-02,  1.30781E-02,  1.27018E-02,  1.23280E-02,  1.19531E-02,  1.15747E-02,  1.11915E-02,  1.08033E-02,  1.04107E-02,  1.00148E-02,  9.61713E-03,  9.21945E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
