NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.00409E-03,  7.07204E-03,  7.11935E-03,  7.14383E-03,  7.14373E-03,  7.11779E-03,  7.06540E-03,  6.98661E-03,  6.88216E-03,  6.75346E-03,  6.60253E-03,  6.43188E-03,  6.24437E-03,  6.04307E-03,  5.83114E-03,  5.61165E-03,  5.38751E-03,  5.16134E-03,  4.93546E-03,  4.71178E-03,  4.49188E-03,  4.27694E-03,  4.06782E-03,  3.86506E-03,  3.66893E-03,  3.47951E-03,  3.29668E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.27622E-03,  7.40046E-03,  7.50748E-03,  7.59402E-03,  7.65694E-03,  7.69340E-03,  7.70109E-03,  7.67832E-03,  7.62421E-03,  7.53876E-03,  7.42287E-03,  7.27832E-03,  7.10766E-03,  6.91406E-03,  6.70114E-03,  6.47278E-03,  6.23288E-03,  5.98526E-03,  5.73342E-03,  5.48051E-03,  5.22923E-03,  4.98178E-03,  4.73991E-03,  4.50485E-03,  4.27745E-03,  4.05818E-03,  3.84719E-03,  3.64438E-03,  3.44947E-03,  3.26206E-03,  3.08164E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.43799E-03,  7.61554E-03,  7.78210E-03,  7.93384E-03,  8.06668E-03,  8.17645E-03,  8.25913E-03,  8.31101E-03,  8.32898E-03,  8.31079E-03,  8.25517E-03,  8.16203E-03,  8.03248E-03,  7.86875E-03,  7.67413E-03,  7.45268E-03,  7.20903E-03,  6.94808E-03,  6.67475E-03,  6.39373E-03,  6.10931E-03,  5.82526E-03,  5.54472E-03,  5.27020E-03,  5.00358E-03,  4.74616E-03,  4.49870E-03,  4.26154E-03,  4.03464E-03,  3.81767E-03,  3.61013E-03,  3.41135E-03,  3.22063E-03,  3.03721E-03,  2.86038E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.48673E-03,  7.70825E-03,  7.92673E-03,  8.13856E-03,  8.33959E-03,  8.52511E-03,  8.69001E-03,  8.82902E-03,  8.93687E-03,  9.00870E-03,  9.04034E-03,  9.02867E-03,  8.97191E-03,  8.86982E-03,  8.72374E-03,  8.53657E-03,  8.31256E-03,  8.05698E-03,  7.77582E-03,  7.47532E-03,  7.16171E-03,  6.84083E-03,  6.51792E-03,  6.19747E-03,  5.88315E-03,  5.57776E-03,  5.28331E-03,  5.00108E-03,  4.73169E-03,  4.47525E-03,  4.23143E-03,  3.99962E-03,  3.77898E-03,  3.56854E-03,  3.36730E-03,  3.17426E-03,  2.98847E-03,  2.80908E-03,  2.63535E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.68497E-03,  7.94175E-03,  8.20090E-03,  8.45910E-03,  8.71218E-03,  8.95518E-03,  9.18236E-03,  9.38734E-03,  9.56334E-03,  9.70351E-03,  9.80136E-03,  9.85123E-03,  9.84881E-03,  9.79154E-03,  9.67892E-03,  9.51263E-03,  9.29646E-03,  9.03598E-03,  8.73814E-03,  8.41074E-03,  8.06185E-03,  7.69939E-03,  7.33066E-03,  6.96205E-03,  6.59894E-03,  6.24554E-03,  5.90495E-03,  5.57925E-03,  5.26959E-03,  4.97634E-03,  4.69927E-03,  4.43765E-03,  4.19045E-03,  3.95640E-03,  3.73416E-03,  3.52233E-03,  3.31962E-03,  3.12481E-03,  2.93682E-03,  2.75475E-03,  2.57786E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.56516E-03,  7.84382E-03,  8.13284E-03,  8.43036E-03,  8.73364E-03,  9.03904E-03,  9.34181E-03,  9.63610E-03,  9.91490E-03,  1.01703E-02,  1.03934E-02,  1.05754E-02,  1.07075E-02,  1.07819E-02,  1.07926E-02,  1.07358E-02,  1.06107E-02,  1.04194E-02,  1.01668E-02,  9.86053E-03,  9.50975E-03,  9.12479E-03,  8.71617E-03,  8.29403E-03,  7.86751E-03,  7.44446E-03,  7.03121E-03,  6.63257E-03,  6.25189E-03,  5.89119E-03,  5.55135E-03,  5.23235E-03,  4.93342E-03,  4.65331E-03,  4.39039E-03,  4.14286E-03,  3.90886E-03,  3.68657E-03,  3.47429E-03,  3.27050E-03,  3.07386E-03,  2.88330E-03,  2.69793E-03,  2.51710E-03,  2.34036E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.66052E-03,  7.96141E-03,  8.27803E-03,  8.60947E-03,  8.95401E-03,  9.30898E-03,  9.67047E-03,  1.00332E-02,  1.03903E-02,  1.07334E-02,  1.10525E-02,  1.13363E-02,  1.15729E-02,  1.17504E-02,  1.18582E-02,  1.18874E-02,  1.18328E-02,  1.16927E-02,  1.14699E-02,  1.11710E-02,  1.08064E-02,  1.03885E-02,  9.93108E-03,  9.44808E-03,  8.95249E-03,  8.45583E-03,  7.96765E-03,  7.49538E-03,  7.04439E-03,  6.61814E-03,  6.21842E-03,  5.84564E-03,  5.49911E-03,  5.17735E-03,  4.87832E-03,  4.59968E-03,  4.33890E-03,  4.09349E-03,  3.86109E-03,  3.63954E-03,  3.42693E-03,  3.22167E-03,  3.02247E-03,  2.82833E-03,  2.63852E-03,  2.45257E-03,  2.27024E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.72056E-03,  8.03817E-03,  8.37641E-03,  8.73549E-03,  9.11501E-03,  9.51366E-03,  9.92899E-03,  1.03571E-02,  1.07922E-02,  1.12265E-02,  1.16499E-02,  1.20500E-02,  1.24124E-02,  1.27210E-02,  1.29597E-02,  1.31132E-02,  1.31691E-02,  1.31192E-02,  1.29609E-02,  1.26977E-02,  1.23390E-02,  1.18989E-02,  1.13948E-02,  1.08452E-02,  1.02687E-02,  9.68214E-03,  9.09992E-03,  8.53362E-03,  7.99183E-03,  7.48036E-03,  7.00254E-03,  6.55962E-03,  6.15120E-03,  5.77566E-03,  5.43047E-03,  5.11259E-03,  4.81865E-03,  4.54527E-03,  4.28917E-03,  4.04731E-03,  3.81699E-03,  3.59590E-03,  3.38211E-03,  3.17414E-03,  2.97087E-03,  2.77153E-03,  2.57566E-03,  2.38307E-03,  2.19375E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.74837E-03,  8.07676E-03,  8.42982E-03,  8.80898E-03,  9.21521E-03,  9.64890E-03,  1.01095E-02,  1.05950E-02,  1.11020E-02,  1.16244E-02,  1.21537E-02,  1.26779E-02,  1.31818E-02,  1.36468E-02,  1.40514E-02,  1.43733E-02,  1.45906E-02,  1.46849E-02,  1.46439E-02,  1.44631E-02,  1.41473E-02,  1.37098E-02,  1.31705E-02,  1.25539E-02,  1.18857E-02,  1.11906E-02,  1.04905E-02,  9.80354E-03,  9.14340E-03,  8.51981E-03,  7.93869E-03,  7.40285E-03,  6.91256E-03,  6.46617E-03,  6.06064E-03,  5.69205E-03,  5.35597E-03,  5.04780E-03,  4.76303E-03,  4.49740E-03,  4.24710E-03,  4.00879E-03,  3.77968E-03,  3.55753E-03,  3.34064E-03,  3.12781E-03,  2.91824E-03,  2.71155E-03,  2.50764E-03,  2.30663E-03,  2.10884E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.74845E-03,  8.08176E-03,  8.44269E-03,  8.83373E-03,  9.25726E-03,  9.71536E-03,  1.02096E-02,  1.07405E-02,  1.13073E-02,  1.19072E-02,  1.25348E-02,  1.31808E-02,  1.38319E-02,  1.44694E-02,  1.50696E-02,  1.56038E-02,  1.60405E-02,  1.63481E-02,  1.64988E-02,  1.64733E-02,  1.62643E-02,  1.58784E-02,  1.53347E-02,  1.46627E-02,  1.38972E-02,  1.30744E-02,  1.22275E-02,  1.13850E-02,  1.05693E-02,  9.79642E-03,  9.07683E-03,  8.41600E-03,  7.81552E-03,  7.27401E-03,  6.78791E-03,  6.35223E-03,  5.96113E-03,  5.60842E-03,  5.28788E-03,  4.99362E-03,  4.72022E-03,  4.46294E-03,  4.21771E-03,  3.98123E-03,  3.75092E-03,  3.52491E-03,  3.30192E-03,  3.08124E-03,  2.86257E-03,  2.64600E-03,  2.43184E-03,  2.22062E-03,  2.01295E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
