NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.55418E-03,  1.00079E-02,  1.04563E-02,  1.08941E-02,  1.13155E-02,  1.17143E-02,  1.20841E-02,  1.24182E-02,  1.27104E-02,  1.29548E-02,  1.31462E-02,  1.32803E-02,  1.33542E-02,  1.33662E-02,  1.33161E-02,  1.32051E-02,  1.30359E-02,  1.28123E-02,  1.25392E-02,  1.22223E-02,  1.18677E-02,  1.14818E-02,  1.10711E-02,  1.06417E-02,  1.01995E-02,  9.74993E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.93640E-03,  9.43191E-03,  9.93377E-03,  1.04375E-02,  1.09379E-02,  1.14288E-02,  1.19036E-02,  1.23551E-02,  1.27754E-02,  1.31567E-02,  1.34913E-02,  1.37720E-02,  1.39922E-02,  1.41468E-02,  1.42320E-02,  1.42455E-02,  1.41873E-02,  1.40589E-02,  1.38636E-02,  1.36063E-02,  1.32930E-02,  1.29307E-02,  1.25270E-02,  1.20895E-02,  1.16260E-02,  1.11438E-02,  1.06496E-02,  1.01496E-02,  9.64935E-03,  9.15343E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.18011E-03,  8.69388E-03,  9.22472E-03,  9.76953E-03,  1.03244E-02,  1.08844E-02,  1.14437E-02,  1.19955E-02,  1.25321E-02,  1.30448E-02,  1.35245E-02,  1.39616E-02,  1.43467E-02,  1.46708E-02,  1.49257E-02,  1.51049E-02,  1.52036E-02,  1.52190E-02,  1.51510E-02,  1.50015E-02,  1.47748E-02,  1.44770E-02,  1.41157E-02,  1.36997E-02,  1.32381E-02,  1.27404E-02,  1.22158E-02,  1.16729E-02,  1.11195E-02,  1.05628E-02,  1.00087E-02,  9.46240E-03,  8.92814E-03,  8.40930E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.83773E-03,  8.37218E-03,  8.93068E-03,  9.51103E-03,  1.01101E-02,  1.07239E-02,  1.13471E-02,  1.19734E-02,  1.25951E-02,  1.32031E-02,  1.37875E-02,  1.43373E-02,  1.48408E-02,  1.52864E-02,  1.56628E-02,  1.59597E-02,  1.61689E-02,  1.62839E-02,  1.63016E-02,  1.62215E-02,  1.60463E-02,  1.57814E-02,  1.54346E-02,  1.50158E-02,  1.45356E-02,  1.40057E-02,  1.34374E-02,  1.28419E-02,  1.22292E-02,  1.16084E-02,  1.09876E-02,  1.03735E-02,  9.77152E-03,  9.18622E-03,  8.62099E-03,  8.07838E-03,  7.56017E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.91245E-03,  7.42772E-03,  7.97407E-03,  8.55105E-03,  9.15754E-03,  9.79160E-03,  1.04503E-02,  1.11294E-02,  1.18237E-02,  1.25260E-02,  1.32278E-02,  1.39189E-02,  1.45874E-02,  1.52202E-02,  1.58032E-02,  1.63218E-02,  1.67617E-02,  1.71101E-02,  1.73559E-02,  1.74911E-02,  1.75115E-02,  1.74164E-02,  1.72094E-02,  1.68977E-02,  1.64913E-02,  1.60027E-02,  1.54457E-02,  1.48345E-02,  1.41832E-02,  1.35051E-02,  1.28120E-02,  1.21146E-02,  1.14216E-02,  1.07406E-02,  1.00773E-02,  9.43636E-03,  8.82112E-03,  8.23392E-03,  7.67627E-03,  7.14895E-03,  6.65216E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.44346E-03,  6.95640E-03,  7.50518E-03,  8.09040E-03,  8.71215E-03,  9.36978E-03,  1.00618E-02,  1.07855E-02,  1.15370E-02,  1.23107E-02,  1.30993E-02,  1.38932E-02,  1.46808E-02,  1.54484E-02,  1.61802E-02,  1.68588E-02,  1.74661E-02,  1.79840E-02,  1.83957E-02,  1.86869E-02,  1.88472E-02,  1.88708E-02,  1.87569E-02,  1.85104E-02,  1.81406E-02,  1.76609E-02,  1.70874E-02,  1.64376E-02,  1.57294E-02,  1.49801E-02,  1.42056E-02,  1.34200E-02,  1.26352E-02,  1.18612E-02,  1.11059E-02,  1.03753E-02,  9.67402E-03,  9.00517E-03,  8.37075E-03,  7.77182E-03,  7.20869E-03,  6.68108E-03,  6.18825E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.46579E-03,  5.93014E-03,  6.43216E-03,  6.97373E-03,  7.55649E-03,  8.18170E-03,  8.85010E-03,  9.56175E-03,  1.03158E-02,  1.11101E-02,  1.19412E-02,  1.28036E-02,  1.36898E-02,  1.45894E-02,  1.54895E-02,  1.63740E-02,  1.72242E-02,  1.80187E-02,  1.87347E-02,  1.93490E-02,  1.98397E-02,  2.01879E-02,  2.03796E-02,  2.04070E-02,  2.02694E-02,  1.99730E-02,  1.95306E-02,  1.89599E-02,  1.82820E-02,  1.75195E-02,  1.66949E-02,  1.58297E-02,  1.49427E-02,  1.40504E-02,  1.31664E-02,  1.23015E-02,  1.14640E-02,  1.06600E-02,  9.89369E-03,  9.16783E-03,  8.48382E-03,  7.84210E-03,  7.24233E-03,  6.68363E-03,  6.16464E-03,  5.68371E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.93849E-03,  5.38207E-03,  5.86508E-03,  6.39014E-03,  6.95983E-03,  7.57650E-03,  8.24224E-03,  8.95868E-03,  9.72679E-03,  1.05466E-02,  1.14170E-02,  1.23351E-02,  1.32959E-02,  1.42921E-02,  1.53129E-02,  1.63438E-02,  1.73667E-02,  1.83591E-02,  1.92949E-02,  2.01452E-02,  2.08799E-02,  2.14702E-02,  2.18907E-02,  2.21223E-02,  2.21545E-02,  2.19862E-02,  2.16262E-02,  2.10919E-02,  2.04072E-02,  1.96000E-02,  1.86998E-02,  1.77350E-02,  1.67321E-02,  1.57136E-02,  1.46987E-02,  1.37023E-02,  1.27360E-02,  1.18081E-02,  1.09245E-02,  1.00888E-02,  9.30288E-03,  8.56734E-03,  7.88179E-03,  7.24507E-03,  6.65548E-03,  6.11094E-03,  5.60914E-03,  5.14760E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  4.39292E-03,  4.80957E-03,  5.26629E-03,  5.76633E-03,  6.31300E-03,  6.90965E-03,  7.55951E-03,  8.26565E-03,  9.03079E-03,  9.85708E-03,  1.07458E-02,  1.16971E-02,  1.27094E-02,  1.37788E-02,  1.48983E-02,  1.60574E-02,  1.72406E-02,  1.84273E-02,  1.95910E-02,  2.06999E-02,  2.17173E-02,  2.26040E-02,  2.33213E-02,  2.38347E-02,  2.41178E-02,  2.41559E-02,  2.39477E-02,  2.35055E-02,  2.28535E-02,  2.20245E-02,  2.10559E-02,  1.99863E-02,  1.88521E-02,  1.76855E-02,  1.65137E-02,  1.53580E-02,  1.42349E-02,  1.31561E-02,  1.21298E-02,  1.11607E-02,  1.02516E-02,  9.40313E-03,  8.61478E-03,  7.88501E-03,  7.21162E-03,  6.59195E-03,  6.02305E-03,  5.50181E-03,  5.02505E-03,  4.58961E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  3.83855E-03,  4.22315E-03,  4.64741E-03,  5.11504E-03,  5.62992E-03,  6.19613E-03,  6.81787E-03,  7.49938E-03,  8.24490E-03,  9.05844E-03,  9.94364E-03,  1.09035E-02,  1.19398E-02,  1.30528E-02,  1.42405E-02,  1.54972E-02,  1.68131E-02,  1.81726E-02,  1.95531E-02,  2.09237E-02,  2.22458E-02,  2.34727E-02,  2.45531E-02,  2.54344E-02,  2.60689E-02,  2.64194E-02,  2.64650E-02,  2.62040E-02,  2.56540E-02,  2.48494E-02,  2.38358E-02,  2.26642E-02,  2.13855E-02,  2.00459E-02,  1.86851E-02,  1.73346E-02,  1.60184E-02,  1.47534E-02,  1.35512E-02,  1.24185E-02,  1.13588E-02,  1.03731E-02,  9.46047E-03,  8.61887E-03,  7.84533E-03,  7.13635E-03,  6.48812E-03,  5.89667E-03,  5.35800E-03,  4.86814E-03,  4.42325E-03,  4.01963E-03,NA,NA,NA,NA,NA,NA,NA,NA,
