NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.48778E-03,  4.72409E-03,  4.95793E-03,  5.18653E-03,  5.40687E-03,  5.61570E-03,  5.80965E-03,  5.98529E-03,  6.13928E-03,  6.26850E-03,  6.37017E-03,  6.44200E-03,  6.48230E-03,  6.49007E-03,  6.46508E-03,  6.40785E-03,  6.31966E-03,  6.20245E-03,  6.05874E-03,  5.89149E-03,  5.70398E-03,  5.49966E-03,  5.28199E-03,  5.05438E-03,  4.82006E-03,  4.58198E-03,  4.34284E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.91856E-03,  4.17203E-03,  4.43115E-03,  4.69396E-03,  4.95811E-03,  5.22084E-03,  5.47897E-03,  5.72899E-03,  5.96707E-03,  6.18916E-03,  6.39110E-03,  6.56883E-03,  6.71846E-03,  6.83653E-03,  6.92016E-03,  6.96723E-03,  6.97646E-03,  6.94755E-03,  6.88116E-03,  6.77888E-03,  6.64318E-03,  6.47718E-03,  6.28459E-03,  6.06944E-03,  5.83593E-03,  5.58827E-03,  5.33051E-03,  5.06645E-03,  4.79952E-03,  4.53278E-03,  4.26887E-03,  4.00999E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.77961E-03,  4.04917E-03,  4.32819E-03,  4.61503E-03,  4.90759E-03,  5.20331E-03,  5.49909E-03,  5.79131E-03,  6.07587E-03,  6.34826E-03,  6.60360E-03,  6.83686E-03,  7.04300E-03,  7.21721E-03,  7.35513E-03,  7.45311E-03,  7.50843E-03,  7.51948E-03,  7.48584E-03,  7.40835E-03,  7.28905E-03,  7.13104E-03,  6.93829E-03,  6.71543E-03,  6.46746E-03,  6.19955E-03,  5.91680E-03,  5.62404E-03,  5.32575E-03,  5.02592E-03,  4.72800E-03,  4.43492E-03,  4.14907E-03,  3.87234E-03,  3.60618E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.33267E-03,  3.60021E-03,  3.88185E-03,  4.17681E-03,  4.48394E-03,  4.80158E-03,  5.12755E-03,  5.45905E-03,  5.79266E-03,  6.12427E-03,  6.44913E-03,  6.76189E-03,  7.05670E-03,  7.32742E-03,  7.56780E-03,  7.77180E-03,  7.93391E-03,  8.04946E-03,  8.11495E-03,  8.12827E-03,  8.08887E-03,  7.99785E-03,  7.85781E-03,  7.67271E-03,  7.44764E-03,  7.18841E-03,  6.90129E-03,  6.59266E-03,  6.26871E-03,  5.93525E-03,  5.59754E-03,  5.26016E-03,  4.92703E-03,  4.60134E-03,  4.28566E-03,  3.98193E-03,  3.69154E-03,  3.41545E-03,  3.15422E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.85544E-03,  3.10993E-03,  3.38161E-03,  3.67056E-03,  3.97657E-03,  4.29905E-03,  4.63698E-03,  4.98874E-03,  5.35212E-03,  5.72415E-03,  6.10106E-03,  6.47824E-03,  6.85020E-03,  7.21062E-03,  7.55247E-03,  7.86822E-03,  8.15010E-03,  8.39048E-03,  8.58231E-03,  8.71956E-03,  8.79766E-03,  8.81385E-03,  8.76742E-03,  8.65974E-03,  8.49421E-03,  8.27599E-03,  8.01157E-03,  7.70839E-03,  7.37433E-03,  7.01731E-03,  6.64487E-03,  6.26399E-03,  5.88082E-03,  5.50064E-03,  5.12780E-03,  4.76577E-03,  4.41721E-03,  4.08406E-03,  3.76761E-03,  3.46864E-03,  3.18749E-03,  2.92414E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.60404E-03,  2.85553E-03,  3.12644E-03,  3.41741E-03,  3.72881E-03,  4.06072E-03,  4.41283E-03,  4.78432E-03,  5.17373E-03,  5.57888E-03,  5.99671E-03,  6.42316E-03,  6.85307E-03,  7.28016E-03,  7.69700E-03,  8.09513E-03,  8.46530E-03,  8.79779E-03,  9.08290E-03,  9.31154E-03,  9.47582E-03,  9.56974E-03,  9.58961E-03,  9.53445E-03,  9.40610E-03,  9.20901E-03,  8.94992E-03,  8.63730E-03,  8.28068E-03,  7.89006E-03,  7.47530E-03,  7.04566E-03,  6.60945E-03,  6.17389E-03,  5.74496E-03,  5.32745E-03,  4.92506E-03,  4.54046E-03,  4.17548E-03,  3.83120E-03,  3.50812E-03,  3.20629E-03,  2.92536E-03,  2.66474E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.32952E-03,  2.57353E-03,  2.83867E-03,  3.12608E-03,  3.43674E-03,  3.77143E-03,  4.13061E-03,  4.51434E-03,  4.92215E-03,  5.35286E-03,  5.80446E-03,  6.27389E-03,  6.75687E-03,  7.24778E-03,  7.73946E-03,  8.22323E-03,  8.68894E-03,  9.12521E-03,  9.51982E-03,  9.86035E-03,  1.01350E-02,  1.03332E-02,  1.04472E-02,  1.04718E-02,  1.04058E-02,  1.02515E-02,  1.00149E-02,  9.70503E-03,  9.33289E-03,  8.91089E-03,  8.45180E-03,  7.96794E-03,  7.47065E-03,  6.96988E-03,  6.47398E-03,  5.98966E-03,  5.52212E-03,  5.07514E-03,  4.65129E-03,  4.25213E-03,  3.87842E-03,  3.53025E-03,  3.20723E-03,  2.90862E-03,  2.63339E-03,  2.38037E-03,  2.14827E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.03665E-03,  2.26893E-03,  2.52340E-03,  2.80169E-03,  3.10532E-03,  3.43576E-03,  3.79425E-03,  4.18177E-03,  4.59891E-03,  5.04567E-03,  5.52135E-03,  6.02427E-03,  6.55155E-03,  7.09887E-03,  7.66019E-03,  8.22753E-03,  8.79082E-03,  9.33792E-03,  9.85484E-03,  1.03262E-02,  1.07359E-02,  1.10685E-02,  1.13100E-02,  1.14495E-02,  1.14804E-02,  1.14006E-02,  1.12135E-02,  1.09271E-02,  1.05534E-02,  1.01072E-02,  9.60477E-03,  9.06239E-03,  8.49559E-03,  7.91825E-03,  7.34217E-03,  6.77693E-03,  6.22996E-03,  5.70668E-03,  5.21079E-03,  4.74457E-03,  4.30913E-03,  3.90468E-03,  3.53076E-03,  3.18643E-03,  2.87038E-03,  2.58109E-03,  2.31693E-03,  2.07617E-03,  1.85710E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  1.73070E-03,  1.94735E-03,  2.18662E-03,  2.45048E-03,  2.74098E-03,  3.06015E-03,  3.40999E-03,  3.79236E-03,  4.20888E-03,  4.66082E-03,  5.14889E-03,  5.67304E-03,  6.23220E-03,  6.82393E-03,  7.44409E-03,  8.08644E-03,  8.74226E-03,  9.40004E-03,  1.00454E-02,  1.06611E-02,  1.12278E-02,  1.17246E-02,  1.21309E-02,  1.24279E-02,  1.26006E-02,  1.26397E-02,  1.25424E-02,  1.23133E-02,  1.19633E-02,  1.15088E-02,  1.09698E-02,  1.03677E-02,  9.72365E-03,  9.05712E-03,  8.38504E-03,  7.72131E-03,  7.07674E-03,  6.45929E-03,  5.87439E-03,  5.32539E-03,  4.81397E-03,  4.34053E-03,  3.90452E-03,  3.50471E-03,  3.13943E-03,  2.80668E-03,  2.50435E-03,  2.23021E-03,  1.98208E-03,  1.75782E-03,  1.55536E-03,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  1.41713E-03,  1.61482E-03,  1.83487E-03,  2.07955E-03,  2.35128E-03,  2.65258E-03,  2.98606E-03,  3.35437E-03,  3.76009E-03,  4.20565E-03,  4.69321E-03,  5.22441E-03,  5.80015E-03,  6.42026E-03,  7.08313E-03,  7.78516E-03,  8.52025E-03,  9.27919E-03,  1.00491E-02,  1.08132E-02,  1.15504E-02,  1.22362E-02,  1.28434E-02,  1.33444E-02,  1.37134E-02,  1.39296E-02,  1.39798E-02,  1.38599E-02,  1.35762E-02,  1.31442E-02,  1.25865E-02,  1.19303E-02,  1.12041E-02,  1.04355E-02,  9.64897E-03,  8.86498E-03,  8.09967E-03,  7.36491E-03,  6.66888E-03,  6.01661E-03,  5.41067E-03,  4.85178E-03,  4.33928E-03,  3.87156E-03,  3.44640E-03,  3.06118E-03,  2.71310E-03,  2.39928E-03,  2.11687E-03,  1.86313E-03,  1.63542E-03,  1.43128E-03,  1.24842E-03,NA,NA,NA,NA,NA,NA,NA,
