NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.58641E-03, -3.52648E-03, -3.46881E-03, -3.41464E-03, -3.36519E-03, -3.32161E-03, -3.28496E-03, -3.25614E-03, -3.23588E-03, -3.22466E-03, -3.22278E-03, -3.23024E-03, -3.24682E-03, -3.27202E-03, -3.30514E-03, -3.34526E-03, -3.39129E-03, -3.44201E-03, -3.49610E-03, -3.55222E-03, -3.60901E-03, -3.66515E-03, -3.71937E-03, -3.77054E-03, -3.81761E-03, -3.85970E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.75357E-03, -3.68350E-03, -3.61314E-03, -3.54388E-03, -3.47716E-03, -3.41447E-03, -3.35725E-03, -3.30689E-03, -3.26465E-03, -3.23162E-03, -3.20868E-03, -3.19644E-03, -3.19523E-03, -3.20509E-03, -3.22574E-03, -3.25658E-03, -3.29678E-03, -3.34520E-03, -3.40056E-03, -3.46138E-03, -3.52611E-03, -3.59313E-03, -3.66083E-03, -3.72767E-03, -3.79219E-03, -3.85304E-03, -3.90905E-03, -3.95921E-03, -4.00268E-03, -4.03881E-03, -4.06712E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.02303E-03, -3.95209E-03, -3.87667E-03, -3.79793E-03, -3.71722E-03, -3.63602E-03, -3.55597E-03, -3.47876E-03, -3.40614E-03, -3.33984E-03, -3.28152E-03, -3.23270E-03, -3.19470E-03, -3.16860E-03, -3.15513E-03, -3.15472E-03, -3.16740E-03, -3.19283E-03, -3.23032E-03, -3.27883E-03, -3.33702E-03, -3.40332E-03, -3.47596E-03, -3.55308E-03, -3.63276E-03, -3.71310E-03, -3.79228E-03, -3.86859E-03, -3.94050E-03, -4.00665E-03, -4.06590E-03, -4.11732E-03, -4.16022E-03, -4.19409E-03, -4.21864E-03, -4.23375E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.24107E-03, -4.17377E-03, -4.09916E-03, -4.01812E-03, -3.93175E-03, -3.84136E-03, -3.74848E-03, -3.65484E-03, -3.56232E-03, -3.47293E-03, -3.38874E-03, -3.31182E-03, -3.24416E-03, -3.18760E-03, -3.14373E-03, -3.11388E-03, -3.09894E-03, -3.09944E-03, -3.11544E-03, -3.14652E-03, -3.19184E-03, -3.25014E-03, -3.31980E-03, -3.39892E-03, -3.48539E-03, -3.57696E-03, -3.67134E-03, -3.76630E-03, -3.85968E-03, -3.94950E-03, -4.03398E-03, -4.11159E-03, -4.18104E-03, -4.24132E-03, -4.29166E-03, -4.33157E-03, -4.36077E-03, -4.37918E-03, -4.38694E-03, -4.38430E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.40684E-03, -4.33981E-03, -4.26358E-03, -4.17882E-03, -4.08647E-03, -3.98776E-03, -3.88415E-03, -3.77738E-03, -3.66945E-03, -3.56255E-03, -3.45904E-03, -3.36138E-03, -3.27203E-03, -3.19340E-03, -3.12771E-03, -3.07692E-03, -3.04260E-03, -3.02591E-03, -3.02748E-03, -3.04737E-03, -3.08510E-03, -3.13966E-03, -3.20949E-03, -3.29265E-03, -3.38682E-03, -3.48945E-03, -3.59786E-03, -3.70931E-03, -3.82115E-03, -3.93084E-03, -4.03609E-03, -4.13485E-03, -4.22536E-03, -4.30621E-03, -4.37627E-03, -4.43475E-03, -4.48115E-03, -4.51523E-03, -4.53701E-03, -4.54668E-03, -4.54465E-03, -4.53144E-03, -4.50769E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.63745E-03, -4.58449E-03, -4.52023E-03, -4.44487E-03, -4.35885E-03, -4.26286E-03, -4.15792E-03, -4.04533E-03, -3.92676E-03, -3.80418E-03, -3.67988E-03, -3.55640E-03, -3.43653E-03, -3.32318E-03, -3.21931E-03, -3.12780E-03, -3.05135E-03, -2.99235E-03, -2.95275E-03, -2.93395E-03, -2.93674E-03, -2.96122E-03, -3.00681E-03, -3.07225E-03, -3.15568E-03, -3.25471E-03, -3.36654E-03, -3.48808E-03, -3.61610E-03, -3.74734E-03, -3.87865E-03, -4.00706E-03, -4.12988E-03, -4.24478E-03, -4.34978E-03, -4.44328E-03, -4.52409E-03, -4.59139E-03, -4.64469E-03, -4.68382E-03, -4.70890E-03, -4.72027E-03, -4.71845E-03, -4.70414E-03, -4.67812E-03, -4.64129E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.81795E-03, -4.77198E-03, -4.71327E-03, -4.64169E-03, -4.55737E-03, -4.46069E-03, -4.35236E-03, -4.23343E-03, -4.10533E-03, -3.96990E-03, -3.82936E-03, -3.68633E-03, -3.54379E-03, -3.40500E-03, -3.27340E-03, -3.15254E-03, -3.04591E-03, -2.95678E-03, -2.88807E-03, -2.84218E-03, -2.82085E-03, -2.82506E-03, -2.85495E-03, -2.90981E-03, -2.98811E-03, -3.08757E-03, -3.20528E-03, -3.33782E-03, -3.48146E-03, -3.63230E-03, -3.78646E-03, -3.94019E-03, -4.09001E-03, -4.23281E-03, -4.36590E-03, -4.48706E-03, -4.59454E-03, -4.68706E-03, -4.76381E-03, -4.82433E-03, -4.86858E-03, -4.89679E-03, -4.90947E-03, -4.90733E-03, -4.89124E-03, -4.86218E-03, -4.82124E-03, -4.76951E-03, -4.70812E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.02582E-03, -5.00288E-03, -4.96660E-03, -4.91638E-03, -4.85177E-03, -4.77252E-03, -4.67864E-03, -4.57045E-03, -4.44863E-03, -4.31427E-03, -4.16889E-03, -4.01452E-03, -3.85366E-03, -3.68930E-03, -3.52489E-03, -3.36424E-03, -3.21145E-03, -3.07076E-03, -2.94638E-03, -2.84231E-03, -2.76211E-03, -2.70875E-03, -2.68438E-03, -2.69023E-03, -2.72649E-03, -2.79231E-03, -2.88580E-03, -3.00418E-03, -3.14386E-03, -3.30069E-03, -3.47014E-03, -3.64752E-03, -3.82817E-03, -4.00766E-03, -4.18191E-03, -4.34731E-03, -4.50080E-03, -4.63990E-03, -4.76271E-03, -4.86789E-03, -4.95463E-03, -5.02259E-03, -5.07186E-03, -5.10285E-03, -5.11627E-03, -5.11307E-03, -5.09434E-03, -5.06129E-03, -5.01520E-03, -4.95741E-03, -4.88922E-03, -4.81193E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.19900E-03, -5.18894E-03, -5.16500E-03, -5.12626E-03, -5.07192E-03, -5.00137E-03, -4.91418E-03, -4.81023E-03, -4.68972E-03, -4.55329E-03, -4.40201E-03, -4.23750E-03, -4.06197E-03, -3.87821E-03, -3.68963E-03, -3.50019E-03, -3.31436E-03, -3.13701E-03, -2.97321E-03, -2.82804E-03, -2.70637E-03, -2.61259E-03, -2.55036E-03, -2.52235E-03, -2.53011E-03, -2.57389E-03, -2.65266E-03, -2.76410E-03, -2.90478E-03, -3.07031E-03, -3.25562E-03, -3.45519E-03, -3.66337E-03, -3.87458E-03, -4.08358E-03, -4.28560E-03, -4.47647E-03, -4.65272E-03, -4.81160E-03, -4.95106E-03, -5.06975E-03, -5.16691E-03, -5.24234E-03, -5.29632E-03, -5.32952E-03, -5.34289E-03, -5.33766E-03, -5.31518E-03, -5.27695E-03, -5.22450E-03, -5.15939E-03, -5.08315E-03, -4.99726E-03, -4.90314E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.36758E-03, -5.37248E-03, -5.36333E-03, -5.33893E-03, -5.29816E-03, -5.24000E-03, -5.16361E-03, -5.06836E-03, -4.95394E-03, -4.82040E-03, -4.66826E-03, -4.49859E-03, -4.31305E-03, -4.11402E-03, -3.90460E-03, -3.68862E-03, -3.47067E-03, -3.25595E-03, -3.05021E-03, -2.85952E-03, -2.69004E-03, -2.54769E-03, -2.43787E-03, -2.36512E-03, -2.33276E-03, -2.34274E-03, -2.39541E-03, -2.48950E-03, -2.62215E-03, -2.78913E-03, -2.98505E-03, -3.20369E-03, -3.43835E-03, -3.68220E-03, -3.92858E-03, -4.17127E-03, -4.40472E-03, -4.62413E-03, -4.82561E-03, -5.00611E-03, -5.16349E-03, -5.29639E-03, -5.40418E-03, -5.48688E-03, -5.54501E-03, -5.57955E-03, -5.59179E-03, -5.58326E-03, -5.55567E-03, -5.51080E-03, -5.45051E-03, -5.37659E-03, -5.29084E-03, -5.19495E-03, -5.09053E-03, -4.97907E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
