NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.83528E-03, -6.71224E-03, -6.56799E-03, -6.40240E-03, -6.21556E-03, -6.00780E-03, -5.77970E-03, -5.53212E-03, -5.26616E-03, -4.98322E-03, -4.68494E-03, -4.37322E-03, -4.05018E-03, -3.71817E-03, -3.37969E-03, -3.03737E-03, -2.69396E-03, -2.35223E-03, -2.01496E-03, -1.68484E-03, -1.36448E-03, -1.05631E-03, -7.62527E-04, -4.85090E-04, -2.25653E-04,  1.44570E-05,  2.34252E-04,  4.33094E-04,  6.10690E-04,  7.67076E-04,  9.02597E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.29608E-03, -7.21080E-03, -7.10324E-03, -6.97277E-03, -6.81897E-03, -6.64162E-03, -6.44077E-03, -6.21674E-03, -5.97013E-03, -5.70184E-03, -5.41310E-03, -5.10542E-03, -4.78065E-03, -4.44089E-03, -4.08854E-03, -3.72625E-03, -3.35684E-03, -2.98333E-03, -2.60882E-03, -2.23649E-03, -1.86951E-03, -1.51098E-03, -1.16386E-03, -8.30931E-04, -5.14703E-04, -2.17387E-04,  5.91630E-05,  3.13477E-04,  5.44496E-04,  7.51573E-04,  9.34472E-04,  1.09335E-03,  1.22871E-03,  1.34138E-03,  1.43247E-03,  1.50328E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.69466E-03, -7.65160E-03, -7.58620E-03, -7.49738E-03, -7.38417E-03, -7.24581E-03, -7.08175E-03, -6.89169E-03, -6.67562E-03, -6.43382E-03, -6.16691E-03, -5.87586E-03, -5.56198E-03, -5.22696E-03, -4.87282E-03, -4.50195E-03, -4.11703E-03, -3.72103E-03, -3.31718E-03, -2.90891E-03, -2.49976E-03, -2.09337E-03, -1.69337E-03, -1.30331E-03, -9.26591E-04, -5.66401E-04, -2.25612E-04,  9.32669E-05,  3.88147E-04,  6.57401E-04,  8.99892E-04,  1.11498E-03,  1.30250E-03,  1.46278E-03,  1.59652E-03,  1.70483E-03,  1.78911E-03,  1.85099E-03,  1.89230E-03,  1.91495E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.01749E-03, -8.01907E-03, -7.99934E-03, -7.95677E-03, -7.88993E-03, -7.79752E-03, -7.67841E-03, -7.53167E-03, -7.35661E-03, -7.15281E-03, -6.92017E-03, -6.65896E-03, -6.36978E-03, -6.05367E-03, -5.71205E-03, -5.34676E-03, -4.96006E-03, -4.55461E-03, -4.13342E-03, -3.69987E-03, -3.25762E-03, -2.81056E-03, -2.36276E-03, -1.91837E-03, -1.48157E-03, -1.05645E-03, -6.46934E-04, -2.56670E-04,  1.11038E-04,  4.53326E-04,  7.67832E-04,  1.05275E-03,  1.30686E-03,  1.52953E-03,  1.72074E-03,  1.88098E-03,  2.01126E-03,  2.11300E-03,  2.18799E-03,  2.23827E-03,  2.26605E-03,  2.27368E-03,  2.26350E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.25473E-03, -8.30122E-03, -8.32837E-03, -8.33434E-03, -8.31733E-03, -8.27560E-03, -8.20748E-03, -8.11147E-03, -7.98620E-03, -7.83056E-03, -7.64369E-03, -7.42502E-03, -7.17436E-03, -6.89192E-03, -6.57830E-03, -6.23458E-03, -5.86230E-03, -5.46349E-03, -5.04064E-03, -4.59672E-03, -4.13514E-03, -3.65969E-03, -3.17454E-03, -2.68413E-03, -2.19311E-03, -1.70626E-03, -1.22838E-03, -7.64202E-04, -3.18242E-04,  1.05273E-04,  5.02539E-04,  8.70267E-04,  1.20577E-03,  1.50705E-03,  1.77278E-03,  2.00238E-03,  2.19597E-03,  2.35433E-03,  2.47880E-03,  2.57124E-03,  2.63390E-03,  2.66932E-03,  2.68022E-03,  2.66942E-03,  2.63972E-03,  2.59387E-03,  2.53448E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.49045E-03, -8.56337E-03, -8.61770E-03, -8.65140E-03, -8.66241E-03, -8.64866E-03, -8.60815E-03, -8.53897E-03, -8.43933E-03, -8.30764E-03, -8.14255E-03, -7.94298E-03, -7.70823E-03, -7.43795E-03, -7.13228E-03, -6.79180E-03, -6.41765E-03, -6.01148E-03, -5.57550E-03, -5.11249E-03, -4.62575E-03, -4.11910E-03, -3.59686E-03, -3.06374E-03, -2.52481E-03, -1.98540E-03, -1.45101E-03, -9.27172E-04, -4.19360E-04,  6.71803E-05,  5.27549E-04,  9.57337E-04,  1.35275E-03,  1.71072E-03,  2.02899E-03,  2.30616E-03,  2.54171E-03,  2.73597E-03,  2.89006E-03,  3.00578E-03,  3.08553E-03,  3.13214E-03,  3.14877E-03,  3.13875E-03,  3.10548E-03,  3.05229E-03,  2.98242E-03,  2.89890E-03,  2.80453E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.69943E-03, -8.79957E-03, -8.88228E-03, -8.94530E-03, -8.98635E-03, -9.00309E-03, -8.99318E-03, -8.95433E-03, -8.88430E-03, -8.78104E-03, -8.64265E-03, -8.46750E-03, -8.25430E-03, -8.00211E-03, -7.71045E-03, -7.37935E-03, -7.00935E-03, -6.60164E-03, -6.15797E-03, -5.68077E-03, -5.17310E-03, -4.63865E-03, -4.08171E-03, -3.50715E-03, -2.92033E-03, -2.32702E-03, -1.73334E-03, -1.14562E-03, -5.70261E-04, -1.36033E-05,  5.18243E-04,  1.01957E-03,  1.48522E-03,  1.91081E-03,  2.29280E-03,  2.62864E-03,  2.91683E-03,  3.15695E-03,  3.34961E-03,  3.49638E-03,  3.59966E-03,  3.66251E-03,  3.68853E-03,  3.68162E-03,  3.64586E-03,  3.58533E-03,  3.50402E-03,  3.40571E-03,  3.29391E-03,  3.17178E-03,  3.04219E-03,  2.90761E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.73668E-03, -8.87808E-03, -9.00576E-03, -9.11750E-03, -9.21091E-03, -9.28353E-03, -9.33277E-03, -9.35600E-03, -9.35056E-03, -9.31381E-03, -9.24319E-03, -9.13629E-03, -8.99089E-03, -8.80505E-03, -8.57716E-03, -8.30607E-03, -7.99110E-03, -7.63212E-03, -7.22966E-03, -6.78490E-03, -6.29973E-03, -5.77679E-03, -5.21945E-03, -4.63182E-03, -4.01872E-03, -3.38563E-03, -2.73863E-03, -2.08432E-03, -1.42970E-03, -7.82059E-04, -1.48811E-04,  4.62667E-04,  1.04524E-03,  1.59220E-03,  2.09754E-03,  2.55609E-03,  2.96375E-03,  3.31762E-03,  3.61610E-03,  3.85890E-03,  4.04701E-03,  4.18259E-03,  4.26880E-03,  4.30959E-03,  4.30945E-03,  4.27325E-03,  4.20598E-03,  4.11255E-03,  3.99770E-03,  3.86585E-03,  3.72101E-03,  3.56680E-03,  3.40638E-03,  3.24245E-03,  3.07733E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.85648E-03, -9.02330E-03, -9.17828E-03, -9.31914E-03, -9.44343E-03, -9.54853E-03, -9.63167E-03, -9.68999E-03, -9.72049E-03, -9.72016E-03, -9.68600E-03, -9.61505E-03, -9.50450E-03, -9.35175E-03, -9.15449E-03, -8.91078E-03, -8.61916E-03, -8.27872E-03, -7.88919E-03, -7.45099E-03, -6.96533E-03, -6.43420E-03, -5.86048E-03, -5.24788E-03, -4.60097E-03, -3.92513E-03, -3.22655E-03, -2.51210E-03, -1.78929E-03, -1.06615E-03, -3.51078E-04,  3.47339E-04,  1.02050E-03,  1.66002E-03,  2.25804E-03,  2.80741E-03,  3.30206E-03,  3.73717E-03,  4.10940E-03,  4.41704E-03,  4.65998E-03,  4.83974E-03,  4.95923E-03,  5.02259E-03,  5.03489E-03,  5.00182E-03,  4.92940E-03,  4.82373E-03,  4.69075E-03,  4.53604E-03,  4.36476E-03,  4.18152E-03,  3.99035E-03,  3.79474E-03,  3.59761E-03,  3.40140E-03,  3.20806E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.94135E-03, -9.13257E-03, -9.31405E-03, -9.48353E-03, -9.63853E-03, -9.77635E-03, -9.89411E-03, -9.98874E-03, -1.00570E-02, -1.00956E-02, -1.01011E-02, -1.00700E-02, -9.99895E-03, -9.88471E-03, -9.72421E-03, -9.51472E-03, -9.25391E-03, -8.93996E-03, -8.57169E-03, -8.14861E-03, -7.67104E-03, -7.14019E-03, -6.55817E-03, -5.92807E-03, -5.25400E-03, -4.54099E-03, -3.79509E-03, -3.02321E-03, -2.23313E-03, -1.43340E-03, -6.33169E-04,  1.57889E-04,  9.29808E-04,  1.67254E-03,  2.37623E-03,  3.03154E-03,  3.62999E-03,  4.16431E-03,  4.62880E-03,  5.01956E-03,  5.33472E-03,  5.57447E-03,  5.74096E-03,  5.83815E-03,  5.87145E-03,  5.84736E-03,  5.77307E-03,  5.65607E-03,  5.50382E-03,  5.32345E-03,  5.12157E-03,  4.90413E-03,  4.67638E-03,  4.44282E-03,  4.20723E-03,  3.97273E-03,  3.74181E-03,  3.51644E-03,  3.29811E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
