NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.50966E-03,  8.64412E-03,  8.76492E-03,  8.87068E-03,  8.96019E-03,  9.03247E-03,  9.08681E-03,  9.12282E-03,  9.14041E-03,  9.13987E-03,  9.12179E-03,  9.08708E-03,  9.03693E-03,  8.97277E-03,  8.89617E-03,  8.80884E-03,  8.71254E-03,  8.60901E-03,  8.49997E-03,  8.38700E-03,  8.27158E-03,  8.15500E-03,  8.03840E-03,  7.92272E-03,  7.80872E-03,  7.69700E-03,  7.58795E-03,  7.48186E-03,  7.37884E-03,  7.27891E-03,  7.18200E-03,  7.08794E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.42726E-03,  8.61180E-03,  8.78671E-03,  8.95008E-03,  9.10000E-03,  9.23465E-03,  9.35231E-03,  9.45149E-03,  9.53097E-03,  9.58984E-03,  9.62759E-03,  9.64412E-03,  9.63973E-03,  9.61516E-03,  9.57153E-03,  9.51031E-03,  9.43322E-03,  9.34223E-03,  9.23940E-03,  9.12686E-03,  9.00673E-03,  8.88102E-03,  8.75163E-03,  8.62027E-03,  8.48844E-03,  8.35741E-03,  8.22825E-03,  8.10177E-03,  7.97859E-03,  7.85910E-03,  7.74353E-03,  7.63197E-03,  7.52434E-03,  7.42050E-03,  7.32017E-03,  7.22307E-03,  7.12884E-03,  7.03710E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.41119E-03,  8.63101E-03,  8.84486E-03,  9.05066E-03,  9.24620E-03,  9.42918E-03,  9.59729E-03,  9.74828E-03,  9.88006E-03,  9.99073E-03,  1.00788E-02,  1.01430E-02,  1.01828E-02,  1.01979E-02,  1.01888E-02,  1.01563E-02,  1.01019E-02,  1.00273E-02,  9.93469E-03,  9.82647E-03,  9.70518E-03,  9.57342E-03,  9.43373E-03,  9.28854E-03,  9.14007E-03,  8.99034E-03,  8.84106E-03,  8.69368E-03,  8.54936E-03,  8.40898E-03,  8.27315E-03,  8.14226E-03,  8.01647E-03,  7.89577E-03,  7.78001E-03,  7.66890E-03,  7.56210E-03,  7.45916E-03,  7.35964E-03,  7.26305E-03,  7.16892E-03,  7.07678E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.56410E-03,  8.81218E-03,  9.05669E-03,  9.29542E-03,  9.52594E-03,  9.74561E-03,  9.95167E-03,  1.01413E-02,  1.03118E-02,  1.04604E-02,  1.05848E-02,  1.06831E-02,  1.07538E-02,  1.07959E-02,  1.08093E-02,  1.07944E-02,  1.07523E-02,  1.06847E-02,  1.05939E-02,  1.04825E-02,  1.03536E-02,  1.02102E-02,  1.00556E-02,  9.89283E-03,  9.72478E-03,  9.55411E-03,  9.38316E-03,  9.21391E-03,  9.04797E-03,  8.88662E-03,  8.73077E-03,  8.58103E-03,  8.43772E-03,  8.30093E-03,  8.17052E-03,  8.04621E-03,  7.92758E-03,  7.81411E-03,  7.70525E-03,  7.60039E-03,  7.49893E-03,  7.40027E-03,  7.30386E-03,  7.20917E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.41472E-03,  8.68971E-03,  8.96601E-03,  9.24172E-03,  9.51462E-03,  9.78218E-03,  1.00415E-02,  1.02896E-02,  1.05230E-02,  1.07382E-02,  1.09320E-02,  1.11009E-02,  1.12420E-02,  1.13528E-02,  1.14312E-02,  1.14763E-02,  1.14875E-02,  1.14654E-02,  1.14114E-02,  1.13277E-02,  1.12171E-02,  1.10830E-02,  1.09290E-02,  1.07592E-02,  1.05773E-02,  1.03871E-02,  1.01922E-02,  9.99560E-03,  9.80011E-03,  9.60797E-03,  9.42097E-03,  9.24049E-03,  9.06747E-03,  8.90246E-03,  8.74569E-03,  8.59712E-03,  8.45646E-03,  8.32325E-03,  8.19688E-03,  8.07666E-03,  7.96185E-03,  7.85168E-03,  7.74539E-03,  7.64226E-03,  7.54161E-03,  7.44281E-03,  7.34531E-03,  7.24864E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.48562E-03,  8.78463E-03,  9.08820E-03,  9.39467E-03,  9.70197E-03,  1.00076E-02,  1.03087E-02,  1.06018E-02,  1.08834E-02,  1.11493E-02,  1.13953E-02,  1.16172E-02,  1.18108E-02,  1.19722E-02,  1.20982E-02,  1.21863E-02,  1.22348E-02,  1.22434E-02,  1.22125E-02,  1.21439E-02,  1.20403E-02,  1.19054E-02,  1.17435E-02,  1.15591E-02,  1.13573E-02,  1.11427E-02,  1.09199E-02,  1.06933E-02,  1.04664E-02,  1.02425E-02,  1.00241E-02,  9.81324E-03,  9.61131E-03,  9.41926E-03,  9.23755E-03,  9.06627E-03,  8.90518E-03,  8.75379E-03,  8.61140E-03,  8.47718E-03,  8.35021E-03,  8.22953E-03,  8.11417E-03,  8.00319E-03,  7.89570E-03,  7.79089E-03,  7.68802E-03,  7.58645E-03,  7.48563E-03,  7.38512E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.52536E-03,  8.84630E-03,  9.17529E-03,  9.51101E-03,  9.85170E-03,  1.01951E-02,  1.05385E-02,  1.08786E-02,  1.12115E-02,  1.15328E-02,  1.18377E-02,  1.21208E-02,  1.23770E-02,  1.26008E-02,  1.27873E-02,  1.29322E-02,  1.30323E-02,  1.30853E-02,  1.30905E-02,  1.30486E-02,  1.29619E-02,  1.28337E-02,  1.26689E-02,  1.24727E-02,  1.22512E-02,  1.20105E-02,  1.17566E-02,  1.14949E-02,  1.12308E-02,  1.09684E-02,  1.07116E-02,  1.04631E-02,  1.02251E-02,  9.99921E-03,  9.78614E-03,  9.58625E-03,  9.39942E-03,  9.22515E-03,  9.06265E-03,  8.91094E-03,  8.76889E-03,  8.63530E-03,  8.50895E-03,  8.38863E-03,  8.27318E-03,  8.16154E-03,  8.05272E-03,  7.94587E-03,  7.84025E-03,  7.73523E-03,  7.63032E-03,  7.52512E-03,  7.41935E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.20517E-03,  8.53316E-03,  8.87323E-03,  9.22488E-03,  9.58726E-03,  9.95908E-03,  1.03386E-02,  1.07234E-02,  1.11105E-02,  1.14962E-02,  1.18760E-02,  1.22447E-02,  1.25964E-02,  1.29247E-02,  1.32228E-02,  1.34840E-02,  1.37018E-02,  1.38706E-02,  1.39858E-02,  1.40445E-02,  1.40456E-02,  1.39900E-02,  1.38805E-02,  1.37217E-02,  1.35195E-02,  1.32810E-02,  1.30139E-02,  1.27258E-02,  1.24242E-02,  1.21160E-02,  1.18074E-02,  1.15034E-02,  1.12083E-02,  1.09253E-02,  1.06568E-02,  1.04041E-02,  1.01679E-02,  9.94834E-03,  9.74498E-03,  9.55696E-03,  9.38312E-03,  9.22211E-03,  9.07243E-03,  8.93254E-03,  8.80088E-03,  8.67597E-03,  8.55641E-03,  8.44090E-03,  8.32829E-03,  8.21760E-03,  8.10796E-03,  7.99869E-03,  7.88924E-03,  7.77918E-03,  7.66823E-03,  7.55620E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.16839E-03,  8.50928E-03,  8.86512E-03,  9.23592E-03,  9.62137E-03,  1.00208E-02,  1.04331E-02,  1.08566E-02,  1.12888E-02,  1.17264E-02,  1.21655E-02,  1.26008E-02,  1.30263E-02,  1.34348E-02,  1.38183E-02,  1.41684E-02,  1.44763E-02,  1.47336E-02,  1.49326E-02,  1.50672E-02,  1.51334E-02,  1.51296E-02,  1.50568E-02,  1.49185E-02,  1.47210E-02,  1.44720E-02,  1.41808E-02,  1.38571E-02,  1.35109E-02,  1.31514E-02,  1.27873E-02,  1.24257E-02,  1.20728E-02,  1.17334E-02,  1.14110E-02,  1.11079E-02,  1.08254E-02,  1.05639E-02,  1.03233E-02,  1.01026E-02,  9.90043E-03,  9.71525E-03,  9.54519E-03,  9.38830E-03,  9.24263E-03,  9.10623E-03,  8.97728E-03,  8.85408E-03,  8.73511E-03,  8.61902E-03,  8.50466E-03,  8.39107E-03,  8.27749E-03,  8.16332E-03,  8.04813E-03,  7.93163E-03,  7.81367E-03,  7.69418E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.10461E-03,  8.45502E-03,  8.82289E-03,  9.20875E-03,  9.61293E-03,  1.00355E-02,  1.04760E-02,  1.09335E-02,  1.14067E-02,  1.18931E-02,  1.23893E-02,  1.28909E-02,  1.33922E-02,  1.38859E-02,  1.43635E-02,  1.48152E-02,  1.52301E-02,  1.55970E-02,  1.59045E-02,  1.61425E-02,  1.63025E-02,  1.63788E-02,  1.63689E-02,  1.62742E-02,  1.60993E-02,  1.58525E-02,  1.55442E-02,  1.51866E-02,  1.47925E-02,  1.43745E-02,  1.39444E-02,  1.35128E-02,  1.30882E-02,  1.26779E-02,  1.22871E-02,  1.19196E-02,  1.15776E-02,  1.12622E-02,  1.09734E-02,  1.07104E-02,  1.04716E-02,  1.02553E-02,  1.00590E-02,  9.88046E-03,  9.71709E-03,  9.56643E-03,  9.42609E-03,  9.29385E-03,  9.16768E-03,  9.04578E-03,  8.92658E-03,  8.80879E-03,  8.69132E-03,  8.57334E-03,  8.45423E-03,  8.33356E-03,  8.21106E-03,  8.08662E-03,  7.96023E-03,  7.83200E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
