NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.17053E-03,  1.38512E-03,  1.60420E-03,  1.82598E-03,  2.04839E-03,  2.26908E-03,  2.48546E-03,  2.69470E-03,  2.89384E-03,  3.07980E-03,  3.24951E-03,  3.39996E-03,  3.52836E-03,  3.63221E-03,  3.70939E-03,  3.75829E-03,  3.77786E-03,  3.76768E-03,  3.72794E-03,  3.65948E-03,  3.56369E-03,  3.44253E-03,  3.29837E-03,  3.13393E-03,  2.95215E-03,  2.75611E-03,  2.54891E-03,  2.33358E-03,  2.11302E-03,  1.88992E-03,  1.66674E-03,  1.44566E-03,  1.22859E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.93030E-04,  1.11691E-03,  1.34978E-03,  1.59033E-03,  1.83693E-03,  2.08760E-03,  2.34000E-03,  2.59146E-03,  2.83897E-03,  3.07923E-03,  3.30871E-03,  3.52373E-03,  3.72057E-03,  3.89557E-03,  4.04529E-03,  4.16663E-03,  4.25698E-03,  4.31433E-03,  4.33736E-03,  4.32552E-03,  4.27907E-03,  4.19904E-03,  4.08720E-03,  3.94596E-03,  3.77825E-03,  3.58743E-03,  3.37709E-03,  3.15097E-03,  2.91279E-03,  2.66618E-03,  2.41453E-03,  2.16099E-03,  1.90838E-03,  1.65917E-03,  1.41546E-03,  1.17904E-03,  9.51317E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.72316E-04,  7.96220E-04,  1.03296E-03,  1.28183E-03,  1.54183E-03,  1.81158E-03,  2.08935E-03,  2.37295E-03,  2.65978E-03,  2.94680E-03,  3.23052E-03,  3.50708E-03,  3.77228E-03,  4.02170E-03,  4.25082E-03,  4.45516E-03,  4.63047E-03,  4.77290E-03,  4.87916E-03,  4.94674E-03,  4.97396E-03,  4.96014E-03,  4.90559E-03,  4.81162E-03,  4.68044E-03,  4.51508E-03,  4.31919E-03,  4.09693E-03,  3.85273E-03,  3.59112E-03,  3.31662E-03,  3.03354E-03,  2.74588E-03,  2.45731E-03,  2.17105E-03,  1.88989E-03,  1.61616E-03,  1.35177E-03,  1.09822E-03,  8.56657E-04,  6.27870E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.25230E-04,  4.40534E-04,  6.71513E-04,  9.18101E-04,  1.17998E-03,  1.45653E-03,  1.74678E-03,  2.04934E-03,  2.36238E-03,  2.68353E-03,  3.00991E-03,  3.33807E-03,  3.66399E-03,  3.98314E-03,  4.29053E-03,  4.58084E-03,  4.84855E-03,  5.08816E-03,  5.29437E-03,  5.46234E-03,  5.58796E-03,  5.66799E-03,  5.70034E-03,  5.68413E-03,  5.61974E-03,  5.50884E-03,  5.35423E-03,  5.15973E-03,  4.92995E-03,  4.67005E-03,  4.38551E-03,  4.08190E-03,  3.76467E-03,  3.43896E-03,  3.10953E-03,  2.78061E-03,  2.45587E-03,  2.13844E-03,  1.83088E-03,  1.53522E-03,  1.25300E-03,  9.85343E-04,  7.32979E-04,  4.96322E-04,  2.75511E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.82354E-05,  2.85094E-04,  5.19823E-04,  7.72756E-04,  1.04401E-03,  1.33343E-03,  1.64054E-03,  1.96445E-03,  2.30381E-03,  2.65672E-03,  3.02068E-03,  3.39251E-03,  3.76832E-03,  4.14350E-03,  4.51276E-03,  4.87016E-03,  5.20927E-03,  5.52335E-03,  5.80557E-03,  6.04930E-03,  6.24844E-03,  6.39774E-03,  6.49309E-03,  6.53176E-03,  6.51263E-03,  6.43620E-03,  6.30459E-03,  6.12140E-03,  5.89149E-03,  5.62069E-03,  5.31549E-03,  4.98271E-03,  4.62919E-03,  4.26154E-03,  3.88593E-03,  3.50795E-03,  3.13251E-03,  2.76378E-03,  2.40522E-03,  2.05959E-03,  1.72902E-03,  1.41505E-03,  1.11872E-03,  8.40643E-04,  5.81077E-04,  3.39975E-04,  1.17061E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.03387E-04, -1.07119E-04,  1.08050E-04,  3.42976E-04,  5.98401E-04,  8.74906E-04,  1.17286E-03,  1.49233E-03,  1.83306E-03,  2.19432E-03,  2.57486E-03,  2.97279E-03,  3.38550E-03,  3.80954E-03,  4.24059E-03,  4.67339E-03,  5.10174E-03,  5.51862E-03,  5.91622E-03,  6.28628E-03,  6.62028E-03,  6.90989E-03,  7.14733E-03,  7.32585E-03,  7.44014E-03,  7.48668E-03,  7.46398E-03,  7.37269E-03,  7.21555E-03,  6.99723E-03,  6.72399E-03,  6.40325E-03,  6.04324E-03,  5.65248E-03,  5.23942E-03,  4.81212E-03,  4.37796E-03,  3.94351E-03,  3.51442E-03,  3.09541E-03,  2.69025E-03,  2.30188E-03,  1.93244E-03,  1.58342E-03,  1.25571E-03,  9.49724E-04,  6.65487E-04,  4.02709E-04,  1.60859E-04, -6.07754E-05, -2.63037E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.88256E-04, -2.98086E-04, -8.78534E-05,  1.43638E-04,  3.97527E-04,  6.74855E-04,  9.76519E-04,  1.30320E-03,  1.65531E-03,  2.03286E-03,  2.43541E-03,  2.86189E-03,  3.31053E-03,  3.77867E-03,  4.26267E-03,  4.75778E-03,  5.25804E-03,  5.75626E-03,  6.24410E-03,  6.71212E-03,  7.15012E-03,  7.54746E-03,  7.89355E-03,  8.17841E-03,  8.39328E-03,  8.53124E-03,  8.58764E-03,  8.56051E-03,  8.45072E-03,  8.26186E-03,  8.00003E-03,  7.67336E-03,  7.29143E-03,  6.86471E-03,  6.40394E-03,  5.91960E-03,  5.42151E-03,  4.91852E-03,  4.41833E-03,  3.92740E-03,  3.45098E-03,  2.99313E-03,  2.55688E-03,  2.14433E-03,  1.75678E-03,  1.39488E-03,  1.05876E-03,  7.48111E-04,  4.62324E-04,  2.00545E-04, -3.82496E-05, -2.55197E-04, -4.51504E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.82836E-04, -5.01483E-04, -2.99303E-04, -7.48005E-05,  1.73525E-04,  4.47148E-04,  7.47476E-04,  1.07579E-03,  1.43320E-03,  1.82052E-03,  2.23819E-03,  2.68615E-03,  3.16368E-03,  3.66924E-03,  4.20028E-03,  4.75305E-03,  5.32242E-03,  5.90175E-03,  6.48275E-03,  7.05553E-03,  7.60870E-03,  8.12964E-03,  8.60495E-03,  9.02111E-03,  9.36518E-03,  9.62570E-03,  9.79349E-03,  9.86238E-03,  9.82973E-03,  9.69668E-03,  9.46802E-03,  9.15182E-03,  8.75874E-03,  8.30128E-03,  7.79288E-03,  7.24715E-03,  6.67714E-03,  6.09484E-03,  5.51083E-03,  4.93408E-03,  4.37192E-03,  3.83007E-03,  3.31281E-03,  2.82315E-03,  2.36298E-03,  1.93329E-03,  1.53437E-03,  1.16591E-03,  8.27188E-04,  5.17167E-04,  2.34588E-04, -2.19551E-05, -2.53949E-04, -4.62922E-04, -6.50405E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.83905E-04, -7.13831E-04, -5.22576E-04, -3.08397E-04, -6.94827E-05,  1.96018E-04,  4.89972E-04,  8.14223E-04,  1.17053E-03,  1.56052E-03,  1.98554E-03,  2.44662E-03,  2.94423E-03,  3.47819E-03,  4.04739E-03,  4.64956E-03,  5.28103E-03,  5.93643E-03,  6.60845E-03,  7.28768E-03,  7.96246E-03,  8.61904E-03,  9.24178E-03,  9.81377E-03,  1.03176E-02,  1.07363E-02,  1.10547E-02,  1.12605E-02,  1.13454E-02,  1.13058E-02,  1.11432E-02,  1.08640E-02,  1.04792E-02,  1.00029E-02,  9.45150E-03,  8.84246E-03,  8.19311E-03,  7.51976E-03,  6.83706E-03,  6.15758E-03,  5.49171E-03,  4.84761E-03,  4.23141E-03,  3.64743E-03,  3.09845E-03,  2.58598E-03,  2.11052E-03,  1.67179E-03,  1.26891E-03,  9.00604E-04,  5.65293E-04,  2.61217E-04, -1.34857E-05, -2.60719E-04, -4.82383E-04, -6.80339E-04, -8.56390E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.08817E-03, -9.31509E-04, -7.53714E-04, -5.52849E-04, -3.26863E-04, -7.35976E-05,  2.09199E-04,  5.23847E-04,  8.72701E-04,  1.25810E-03,  1.68228E-03,  2.14732E-03,  2.65496E-03,  3.20646E-03,  3.80237E-03,  4.44230E-03,  5.12455E-03,  5.84578E-03,  6.60063E-03,  7.38129E-03,  8.17719E-03,  8.97478E-03,  9.75749E-03,  1.05060E-02,  1.11987E-02,  1.18132E-02,  1.23269E-02,  1.27195E-02,  1.29744E-02,  1.30800E-02,  1.30315E-02,  1.28309E-02,  1.24870E-02,  1.20147E-02,  1.14330E-02,  1.07638E-02,  1.00299E-02,  9.25355E-03,  8.45512E-03,  7.65248E-03,  6.86051E-03,  6.09102E-03,  5.35293E-03,  4.65257E-03,  3.99403E-03,  3.37960E-03,  2.81011E-03,  2.28533E-03,  1.80417E-03,  1.36502E-03,  9.65858E-04,  6.04448E-04,  2.78421E-04, -1.46268E-05, -2.77081E-04, -5.11266E-04, -7.19417E-04, -9.03664E-04, -1.06602E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
