NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.46229E-03,  6.65823E-03,  6.85205E-03,  7.04244E-03,  7.22795E-03,  7.40707E-03,  7.57822E-03,  7.73976E-03,  7.89004E-03,  8.02745E-03,  8.15041E-03,  8.25746E-03,  8.34726E-03,  8.41866E-03,  8.47073E-03,  8.50276E-03,  8.51432E-03,  8.50527E-03,  8.47574E-03,  8.42615E-03,  8.35717E-03,  8.26972E-03,  8.16496E-03,  8.04418E-03,  7.90885E-03,  7.76050E-03,  7.60076E-03,  7.43125E-03,  7.25359E-03,  7.06936E-03,  6.88007E-03,  6.68715E-03,  6.49193E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  6.21991E-03,  6.43158E-03,  6.64410E-03,  6.85628E-03,  7.06678E-03,  7.27414E-03,  7.47677E-03,  7.67295E-03,  7.86089E-03,  8.03872E-03,  8.20454E-03,  8.35647E-03,  8.49269E-03,  8.61148E-03,  8.71128E-03,  8.79071E-03,  8.84868E-03,  8.88435E-03,  8.89722E-03,  8.88710E-03,  8.85416E-03,  8.79889E-03,  8.72210E-03,  8.62488E-03,  8.50858E-03,  8.37475E-03,  8.22508E-03,  8.06137E-03,  7.88550E-03,  7.69934E-03,  7.50473E-03,  7.30348E-03,  7.09728E-03,  6.88772E-03,  6.67627E-03,  6.46427E-03,  6.25290E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.92459E-03,  6.14606E-03,  6.37122E-03,  6.59912E-03,  6.82866E-03,  7.05855E-03,  7.28734E-03,  7.51342E-03,  7.73501E-03,  7.95017E-03,  8.15688E-03,  8.35299E-03,  8.53631E-03,  8.70468E-03,  8.85595E-03,  8.98810E-03,  9.09930E-03,  9.18792E-03,  9.25264E-03,  9.29248E-03,  9.30683E-03,  9.29548E-03,  9.25862E-03,  9.19685E-03,  9.11113E-03,  9.00276E-03,  8.87334E-03,  8.72468E-03,  8.55879E-03,  8.37778E-03,  8.18380E-03,  7.97902E-03,  7.76555E-03,  7.54544E-03,  7.32059E-03,  7.09278E-03,  6.86363E-03,  6.63460E-03,  6.40696E-03,  6.18185E-03,  5.96022E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.58679E-03,  5.81191E-03,  6.04323E-03,  6.28011E-03,  6.52173E-03,  6.76711E-03,  7.01509E-03,  7.26429E-03,  7.51313E-03,  7.75983E-03,  8.00242E-03,  8.23872E-03,  8.46642E-03,  8.68307E-03,  8.88616E-03,  9.07315E-03,  9.24153E-03,  9.38893E-03,  9.51316E-03,  9.61230E-03,  9.68477E-03,  9.72940E-03,  9.74546E-03,  9.73269E-03,  9.69132E-03,  9.62208E-03,  9.52611E-03,  9.40498E-03,  9.26058E-03,  9.09507E-03,  8.91080E-03,  8.71024E-03,  8.49592E-03,  8.27031E-03,  8.03585E-03,  7.79485E-03,  7.54945E-03,  7.30163E-03,  7.05318E-03,  6.80567E-03,  6.56050E-03,  6.31884E-03,  6.08170E-03,  5.84990E-03,  5.62412E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.44118E-03,  5.67232E-03,  5.91134E-03,  6.15777E-03,  6.41099E-03,  6.67019E-03,  6.93437E-03,  7.20230E-03,  7.47251E-03,  7.74329E-03,  8.01270E-03,  8.27854E-03,  8.53838E-03,  8.78958E-03,  9.02935E-03,  9.25477E-03,  9.46289E-03,  9.65077E-03,  9.81560E-03,  9.95478E-03,  1.00660E-02,  1.01474E-02,  1.01976E-02,  1.02156E-02,  1.02012E-02,  1.01546E-02,  1.00767E-02,  9.96898E-03,  9.83321E-03,  9.67168E-03,  9.48696E-03,  9.28183E-03,  9.05919E-03,  8.82197E-03,  8.57305E-03,  8.31522E-03,  8.05107E-03,  7.78304E-03,  7.51331E-03,  7.24384E-03,  6.97635E-03,  6.71231E-03,  6.45296E-03,  6.19935E-03,  5.95229E-03,  5.71245E-03,  5.48030E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  5.04656E-03,  5.27181E-03,  5.50664E-03,  5.75093E-03,  6.00442E-03,  6.26671E-03,  6.53721E-03,  6.81513E-03,  7.09945E-03,  7.38889E-03,  7.68192E-03,  7.97669E-03,  8.27108E-03,  8.56265E-03,  8.84868E-03,  9.12620E-03,  9.39199E-03,  9.64268E-03,  9.87482E-03,  1.00850E-02,  1.02698E-02,  1.04261E-02,  1.05513E-02,  1.06430E-02,  1.06995E-02,  1.07198E-02,  1.07035E-02,  1.06509E-02,  1.05631E-02,  1.04417E-02,  1.02891E-02,  1.01080E-02,  9.90130E-03,  9.67246E-03,  9.42484E-03,  9.16185E-03,  8.88684E-03,  8.60297E-03,  8.31322E-03,  8.02028E-03,  7.72659E-03,  7.43429E-03,  7.14522E-03,  6.86094E-03,  6.58275E-03,  6.31169E-03,  6.04859E-03,  5.79408E-03,  5.54858E-03,  5.31238E-03,  5.08564E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.85499E-03,  5.08022E-03,  5.31626E-03,  5.56319E-03,  5.82097E-03,  6.08945E-03,  6.36830E-03,  6.65697E-03,  6.95473E-03,  7.26055E-03,  7.57314E-03,  7.89088E-03,  8.21181E-03,  8.53363E-03,  8.85365E-03,  9.16883E-03,  9.47579E-03,  9.77088E-03,  1.00502E-02,  1.03097E-02,  1.05452E-02,  1.07530E-02,  1.09291E-02,  1.10704E-02,  1.11741E-02,  1.12380E-02,  1.12609E-02,  1.12423E-02,  1.11827E-02,  1.10834E-02,  1.09463E-02,  1.07743E-02,  1.05706E-02,  1.03389E-02,  1.00830E-02,  9.80714E-03,  9.51514E-03,  9.21091E-03,  8.89809E-03,  8.58002E-03,  8.25973E-03,  7.93990E-03,  7.62284E-03,  7.31054E-03,  7.00463E-03,  6.70643E-03,  6.41701E-03,  6.13714E-03,  5.86739E-03,  5.60815E-03,  5.35960E-03,  5.12182E-03,  4.89475E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.64555E-03,  4.86843E-03,  5.10312E-03,  5.34994E-03,  5.60907E-03,  5.88061E-03,  6.16450E-03,  6.46050E-03,  6.76819E-03,  7.08686E-03,  7.41553E-03,  7.75291E-03,  8.09733E-03,  8.44672E-03,  8.79859E-03,  9.15000E-03,  9.49756E-03,  9.83747E-03,  1.01655E-02,  1.04772E-02,  1.07679E-02,  1.10326E-02,  1.12667E-02,  1.14657E-02,  1.16256E-02,  1.17431E-02,  1.18156E-02,  1.18416E-02,  1.18204E-02,  1.17527E-02,  1.16399E-02,  1.14846E-02,  1.12902E-02,  1.10606E-02,  1.08002E-02,  1.05136E-02,  1.02057E-02,  9.88102E-03,  9.54411E-03,  9.19911E-03,  8.84979E-03,  8.49952E-03,  8.15123E-03,  7.80744E-03,  7.47022E-03,  7.14129E-03,  6.82197E-03,  6.51330E-03,  6.21600E-03,  5.93057E-03,  5.65727E-03,  5.39623E-03,  5.14738E-03,  4.91056E-03,  4.68552E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.42061E-03,  4.63884E-03,  4.86966E-03,  5.11358E-03,  5.37102E-03,  5.64233E-03,  5.92773E-03,  6.22732E-03,  6.54098E-03,  6.86840E-03,  7.20898E-03,  7.56181E-03,  7.92562E-03,  8.29871E-03,  8.67894E-03,  9.06363E-03,  9.44959E-03,  9.83307E-03,  1.02098E-02,  1.05749E-02,  1.09233E-02,  1.12494E-02,  1.15475E-02,  1.18120E-02,  1.20375E-02,  1.22191E-02,  1.23527E-02,  1.24352E-02,  1.24647E-02,  1.24404E-02,  1.23632E-02,  1.22348E-02,  1.20584E-02,  1.18381E-02,  1.15786E-02,  1.12853E-02,  1.09637E-02,  1.06195E-02,  1.02581E-02,  9.88473E-03,  9.50403E-03,  9.12030E-03,  8.73726E-03,  8.35812E-03,  7.98556E-03,  7.62175E-03,  7.26845E-03,  6.92696E-03,  6.59825E-03,  6.28297E-03,  5.98151E-03,  5.69401E-03,  5.42044E-03,  5.16062E-03,  4.91426E-03,  4.68096E-03,  4.46025E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.18280E-03,  4.39420E-03,  4.61871E-03,  4.85701E-03,  5.10974E-03,  5.37750E-03,  5.66078E-03,  5.95999E-03,  6.27539E-03,  6.60703E-03,  6.95476E-03,  7.31812E-03,  7.69630E-03,  8.08811E-03,  8.49187E-03,  8.90535E-03,  9.32575E-03,  9.74961E-03,  1.01728E-02,  1.05906E-02,  1.09974E-02,  1.13873E-02,  1.17538E-02,  1.20902E-02,  1.23896E-02,  1.26457E-02,  1.28525E-02,  1.30049E-02,  1.30991E-02,  1.31327E-02,  1.31049E-02,  1.30165E-02,  1.28699E-02,  1.26689E-02,  1.24186E-02,  1.21247E-02,  1.17937E-02,  1.14323E-02,  1.10471E-02,  1.06445E-02,  1.02304E-02,  9.81018E-03,  9.38867E-03,  8.96997E-03,  8.55751E-03,  8.15415E-03,  7.76212E-03,  7.38318E-03,  7.01858E-03,  6.66920E-03,  6.33555E-03,  6.01787E-03,  5.71616E-03,  5.43022E-03,  5.15970E-03,  4.90416E-03,  4.66303E-03,  4.43571E-03,  4.22156E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
