NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.49789E-02,  1.53047E-02,  1.56225E-02,  1.59301E-02,  1.62258E-02,  1.65075E-02,  1.67732E-02,  1.70211E-02,  1.72491E-02,  1.74556E-02,  1.76389E-02,  1.77976E-02,  1.79302E-02,  1.80357E-02,  1.81133E-02,  1.81624E-02,  1.81826E-02,  1.81739E-02,  1.81365E-02,  1.80708E-02,  1.79776E-02,  1.78578E-02,  1.77125E-02,  1.75433E-02,  1.73515E-02,  1.71388E-02,  1.69071E-02,  1.66580E-02,  1.63936E-02,  1.61156E-02,  1.58260E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.47416E-02,  1.51050E-02,  1.54643E-02,  1.58174E-02,  1.61622E-02,  1.64968E-02,  1.68188E-02,  1.71260E-02,  1.74162E-02,  1.76871E-02,  1.79367E-02,  1.81629E-02,  1.83638E-02,  1.85377E-02,  1.86831E-02,  1.87987E-02,  1.88835E-02,  1.89369E-02,  1.89585E-02,  1.89482E-02,  1.89062E-02,  1.88332E-02,  1.87299E-02,  1.85974E-02,  1.84372E-02,  1.82507E-02,  1.80398E-02,  1.78063E-02,  1.75523E-02,  1.72798E-02,  1.69909E-02,  1.66878E-02,  1.63726E-02,  1.60474E-02,  1.57141E-02,  1.53746E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.44014E-02,  1.47958E-02,  1.51903E-02,  1.55830E-02,  1.59720E-02,  1.63551E-02,  1.67299E-02,  1.70942E-02,  1.74455E-02,  1.77811E-02,  1.80986E-02,  1.83955E-02,  1.86692E-02,  1.89175E-02,  1.91381E-02,  1.93292E-02,  1.94889E-02,  1.96158E-02,  1.97088E-02,  1.97670E-02,  1.97901E-02,  1.97779E-02,  1.97308E-02,  1.96494E-02,  1.95346E-02,  1.93878E-02,  1.92106E-02,  1.90048E-02,  1.87723E-02,  1.85154E-02,  1.82365E-02,  1.79378E-02,  1.76217E-02,  1.72908E-02,  1.69473E-02,  1.65937E-02,  1.62320E-02,  1.58644E-02,  1.54928E-02,  1.51191E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.39669E-02,  1.43842E-02,  1.48061E-02,  1.52307E-02,  1.56565E-02,  1.60812E-02,  1.65029E-02,  1.69190E-02,  1.73271E-02,  1.77244E-02,  1.81082E-02,  1.84756E-02,  1.88237E-02,  1.91496E-02,  1.94504E-02,  1.97236E-02,  1.99665E-02,  2.01769E-02,  2.03528E-02,  2.04924E-02,  2.05945E-02,  2.06582E-02,  2.06829E-02,  2.06685E-02,  2.06155E-02,  2.05245E-02,  2.03967E-02,  2.02337E-02,  2.00373E-02,  1.98095E-02,  1.95528E-02,  1.92696E-02,  1.89626E-02,  1.86346E-02,  1.82883E-02,  1.79264E-02,  1.75516E-02,  1.71665E-02,  1.67735E-02,  1.63751E-02,  1.59732E-02,  1.55700E-02,  1.51672E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.34503E-02,  1.38818E-02,  1.43219E-02,  1.47694E-02,  1.52228E-02,  1.56804E-02,  1.61402E-02,  1.66002E-02,  1.70578E-02,  1.75105E-02,  1.79554E-02,  1.83894E-02,  1.88095E-02,  1.92124E-02,  1.95948E-02,  1.99533E-02,  2.02847E-02,  2.05859E-02,  2.08540E-02,  2.10863E-02,  2.12805E-02,  2.14346E-02,  2.15470E-02,  2.16167E-02,  2.16432E-02,  2.16263E-02,  2.15664E-02,  2.14645E-02,  2.13218E-02,  2.11403E-02,  2.09220E-02,  2.06694E-02,  2.03852E-02,  2.00724E-02,  1.97340E-02,  1.93732E-02,  1.89930E-02,  1.85966E-02,  1.81870E-02,  1.77671E-02,  1.73397E-02,  1.69073E-02,  1.64724E-02,  1.60370E-02,  1.56031E-02,  1.51726E-02,  1.47468E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.33036E-02,  1.37524E-02,  1.42128E-02,  1.46836E-02,  1.51636E-02,  1.56512E-02,  1.61446E-02,  1.66418E-02,  1.71403E-02,  1.76375E-02,  1.81306E-02,  1.86163E-02,  1.90913E-02,  1.95520E-02,  1.99947E-02,  2.04156E-02,  2.08109E-02,  2.11768E-02,  2.15098E-02,  2.18064E-02,  2.20635E-02,  2.22784E-02,  2.24489E-02,  2.25730E-02,  2.26496E-02,  2.26780E-02,  2.26580E-02,  2.25902E-02,  2.24757E-02,  2.23161E-02,  2.21134E-02,  2.18702E-02,  2.15894E-02,  2.12742E-02,  2.09279E-02,  2.05541E-02,  2.01563E-02,  1.97383E-02,  1.93034E-02,  1.88552E-02,  1.83968E-02,  1.79314E-02,  1.74617E-02,  1.69905E-02,  1.65201E-02,  1.60525E-02,  1.55896E-02,  1.51331E-02,  1.46843E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.31152E-02,  1.35784E-02,  1.40561E-02,  1.45473E-02,  1.50510E-02,  1.55660E-02,  1.60906E-02,  1.66230E-02,  1.71609E-02,  1.77017E-02,  1.82427E-02,  1.87804E-02,  1.93115E-02,  1.98322E-02,  2.03383E-02,  2.08257E-02,  2.12900E-02,  2.17268E-02,  2.21319E-02,  2.25009E-02,  2.28299E-02,  2.31153E-02,  2.33539E-02,  2.35429E-02,  2.36804E-02,  2.37647E-02,  2.37951E-02,  2.37716E-02,  2.36947E-02,  2.35657E-02,  2.33865E-02,  2.31596E-02,  2.28880E-02,  2.25750E-02,  2.22245E-02,  2.18403E-02,  2.14265E-02,  2.09872E-02,  2.05267E-02,  2.00489E-02,  1.95576E-02,  1.90566E-02,  1.85492E-02,  1.80387E-02,  1.75277E-02,  1.70190E-02,  1.65148E-02,  1.60171E-02,  1.55275E-02,  1.50475E-02,  1.45782E-02,  1.41206E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.24293E-02,  1.28861E-02,  1.33603E-02,  1.38517E-02,  1.43598E-02,  1.48838E-02,  1.54228E-02,  1.59755E-02,  1.65402E-02,  1.71149E-02,  1.76973E-02,  1.82846E-02,  1.88737E-02,  1.94610E-02,  2.00426E-02,  2.06143E-02,  2.11714E-02,  2.17091E-02,  2.22224E-02,  2.27063E-02,  2.31557E-02,  2.35657E-02,  2.39317E-02,  2.42494E-02,  2.45150E-02,  2.47253E-02,  2.48779E-02,  2.49710E-02,  2.50037E-02,  2.49759E-02,  2.48883E-02,  2.47425E-02,  2.45408E-02,  2.42861E-02,  2.39819E-02,  2.36323E-02,  2.32415E-02,  2.28142E-02,  2.23552E-02,  2.18692E-02,  2.13610E-02,  2.08351E-02,  2.02959E-02,  1.97476E-02,  1.91939E-02,  1.86383E-02,  1.80840E-02,  1.75336E-02,  1.69897E-02,  1.64543E-02,  1.59291E-02,  1.54156E-02,  1.49151E-02,  1.44283E-02,  1.39560E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.21561E-02,  1.26178E-02,  1.30993E-02,  1.36006E-02,  1.41215E-02,  1.46618E-02,  1.52208E-02,  1.57975E-02,  1.63907E-02,  1.69986E-02,  1.76194E-02,  1.82504E-02,  1.88887E-02,  1.95310E-02,  2.01732E-02,  2.08110E-02,  2.14397E-02,  2.20541E-02,  2.26485E-02,  2.32173E-02,  2.37546E-02,  2.42546E-02,  2.47114E-02,  2.51197E-02,  2.54744E-02,  2.57709E-02,  2.60057E-02,  2.61756E-02,  2.62786E-02,  2.63138E-02,  2.62809E-02,  2.61809E-02,  2.60157E-02,  2.57879E-02,  2.55011E-02,  2.51595E-02,  2.47678E-02,  2.43311E-02,  2.38549E-02,  2.33446E-02,  2.28058E-02,  2.22439E-02,  2.16642E-02,  2.10716E-02,  2.04708E-02,  1.98659E-02,  1.92608E-02,  1.86589E-02,  1.80631E-02,  1.74762E-02,  1.69001E-02,  1.63367E-02,  1.57876E-02,  1.52537E-02,  1.47360E-02,  1.42352E-02,  1.37515E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.18499E-02,  1.23128E-02,  1.27975E-02,  1.33045E-02,  1.38340E-02,  1.43859E-02,  1.49602E-02,  1.55561E-02,  1.61730E-02,  1.68096E-02,  1.74643E-02,  1.81350E-02,  1.88191E-02,  1.95134E-02,  2.02143E-02,  2.09175E-02,  2.16180E-02,  2.23106E-02,  2.29894E-02,  2.36480E-02,  2.42797E-02,  2.48779E-02,  2.54356E-02,  2.59461E-02,  2.64029E-02,  2.68000E-02,  2.71322E-02,  2.73950E-02,  2.75848E-02,  2.76993E-02,  2.77371E-02,  2.76982E-02,  2.75836E-02,  2.73957E-02,  2.71377E-02,  2.68138E-02,  2.64290E-02,  2.59890E-02,  2.54997E-02,  2.49676E-02,  2.43990E-02,  2.38005E-02,  2.31782E-02,  2.25382E-02,  2.18859E-02,  2.12267E-02,  2.05653E-02,  1.99057E-02,  1.92518E-02,  1.86067E-02,  1.79731E-02,  1.73533E-02,  1.67490E-02,  1.61618E-02,  1.55927E-02,  1.50424E-02,  1.45115E-02,  1.40002E-02,  1.35087E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
