NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.20993E-03,  3.23402E-03,  3.26099E-03,  3.29103E-03,  3.32422E-03,  3.36051E-03,  3.39973E-03,  3.44149E-03,  3.48526E-03,  3.53028E-03,  3.57560E-03,  3.62006E-03,  3.66232E-03,  3.70086E-03,  3.73400E-03,  3.76000E-03,  3.77704E-03,  3.78329E-03,  3.77700E-03,  3.75653E-03,  3.72039E-03,  3.66736E-03,  3.59646E-03,  3.50703E-03,  3.39872E-03,  3.27156E-03,  3.12589E-03,  2.96238E-03,  2.78200E-03,  2.58600E-03,  2.37583E-03,  2.15313E-03,  1.91969E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.30639E-03,  3.32793E-03,  3.35230E-03,  3.37993E-03,  3.41120E-03,  3.44640E-03,  3.48571E-03,  3.52916E-03,  3.57662E-03,  3.62773E-03,  3.68194E-03,  3.73844E-03,  3.79616E-03,  3.85379E-03,  3.90979E-03,  3.96237E-03,  4.00957E-03,  4.04929E-03,  4.07936E-03,  4.09759E-03,  4.10185E-03,  4.09013E-03,  4.06065E-03,  4.01189E-03,  3.94266E-03,  3.85214E-03,  3.73993E-03,  3.60604E-03,  3.45087E-03,  3.27525E-03,  3.08035E-03,  2.86764E-03,  2.63888E-03,  2.39602E-03,  2.14114E-03,  1.87644E-03,  1.60412E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.40905E-03,  3.42775E-03,  3.44866E-03,  3.47240E-03,  3.49955E-03,  3.53070E-03,  3.56635E-03,  3.60694E-03,  3.65277E-03,  3.70399E-03,  3.76052E-03,  3.82208E-03,  3.88809E-03,  3.95771E-03,  4.02975E-03,  4.10273E-03,  4.17487E-03,  4.24407E-03,  4.30803E-03,  4.36424E-03,  4.41009E-03,  4.44293E-03,  4.46017E-03,  4.45936E-03,  4.43834E-03,  4.39522E-03,  4.32856E-03,  4.23736E-03,  4.12112E-03,  3.97985E-03,  3.81405E-03,  3.62473E-03,  3.41330E-03,  3.18156E-03,  2.93160E-03,  2.66575E-03,  2.38649E-03,  2.09641E-03,  1.79808E-03,  1.49407E-03,  1.18682E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.53610E-03,  3.55405E-03,  3.57385E-03,  3.59621E-03,  3.62187E-03,  3.65159E-03,  3.68612E-03,  3.72615E-03,  3.77228E-03,  3.82498E-03,  3.88454E-03,  3.95102E-03,  4.02419E-03,  4.10352E-03,  4.18810E-03,  4.27666E-03,  4.36751E-03,  4.45859E-03,  4.54748E-03,  4.63143E-03,  4.70745E-03,  4.77239E-03,  4.82303E-03,  4.85622E-03,  4.86898E-03,  4.85861E-03,  4.82284E-03,  4.75987E-03,  4.66848E-03,  4.54807E-03,  4.39865E-03,  4.22087E-03,  4.01593E-03,  3.78559E-03,  3.53202E-03,  3.25775E-03,  2.96559E-03,  2.65849E-03,  2.33950E-03,  2.01165E-03,  1.67791E-03,  1.34112E-03,  1.00394E-03,  6.68827E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.65286E-03,  3.66956E-03,  3.68681E-03,  3.70529E-03,  3.72580E-03,  3.74919E-03,  3.77638E-03,  3.80831E-03,  3.84595E-03,  3.89021E-03,  3.94191E-03,  4.00174E-03,  4.07018E-03,  4.14747E-03,  4.23349E-03,  4.32777E-03,  4.42939E-03,  4.53695E-03,  4.64859E-03,  4.76193E-03,  4.87414E-03,  4.98195E-03,  5.08178E-03,  5.16983E-03,  5.24217E-03,  5.29495E-03,  5.32451E-03,  5.32753E-03,  5.30119E-03,  5.24329E-03,  5.15234E-03,  5.02759E-03,  4.86910E-03,  4.67766E-03,  4.45480E-03,  4.20266E-03,  3.92391E-03,  3.62163E-03,  3.29920E-03,  2.96017E-03,  2.60813E-03,  2.24667E-03,  1.87924E-03,  1.50910E-03,  1.13931E-03,  7.72620E-04,  4.11527E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.79327E-03,  3.81045E-03,  3.82737E-03,  3.84469E-03,  3.86324E-03,  3.88393E-03,  3.90779E-03,  3.93594E-03,  3.96957E-03,  4.00987E-03,  4.05803E-03,  4.11517E-03,  4.18225E-03,  4.26002E-03,  4.34894E-03,  4.44908E-03,  4.56008E-03,  4.68103E-03,  4.81046E-03,  4.94627E-03,  5.08574E-03,  5.22556E-03,  5.36187E-03,  5.49035E-03,  5.60640E-03,  5.70521E-03,  5.78206E-03,  5.83241E-03,  5.85218E-03,  5.83786E-03,  5.78675E-03,  5.69700E-03,  5.56772E-03,  5.39901E-03,  5.19189E-03,  4.94827E-03,  4.67082E-03,  4.36285E-03,  4.02811E-03,  3.67070E-03,  3.29489E-03,  2.90495E-03,  2.50511E-03,  2.09938E-03,  1.69154E-03,  1.28505E-03,  8.83038E-04,  4.88254E-04,  1.03097E-04, -2.70391E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.92066E-03,  3.94089E-03,  3.95943E-03,  3.97677E-03,  3.99353E-03,  4.01045E-03,  4.02848E-03,  4.04869E-03,  4.07229E-03,  4.10064E-03,  4.13520E-03,  4.17747E-03,  4.22898E-03,  4.29120E-03,  4.36545E-03,  4.45284E-03,  4.55414E-03,  4.66968E-03,  4.79928E-03,  4.94209E-03,  5.09660E-03,  5.26048E-03,  5.43063E-03,  5.60319E-03,  5.77357E-03,  5.93657E-03,  6.08658E-03,  6.21773E-03,  6.32415E-03,  6.40025E-03,  6.44093E-03,  6.44185E-03,  6.39964E-03,  6.31203E-03,  6.17796E-03,  5.99759E-03,  5.77226E-03,  5.50441E-03,  5.19738E-03,  4.85527E-03,  4.48270E-03,  4.08468E-03,  3.66633E-03,  3.23278E-03,  2.78898E-03,  2.33965E-03,  1.88911E-03,  1.44130E-03,  9.99732E-04,  5.67445E-04,  1.47049E-04, -2.59273E-04, -6.49739E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.07192E-03,  4.09560E-03,  4.11673E-03,  4.13564E-03,  4.15285E-03,  4.16900E-03,  4.18496E-03,  4.20175E-03,  4.22064E-03,  4.24304E-03,  4.27059E-03,  4.30505E-03,  4.34831E-03,  4.40230E-03,  4.46894E-03,  4.55001E-03,  4.64707E-03,  4.76133E-03,  4.89349E-03,  5.04363E-03,  5.21108E-03,  5.39428E-03,  5.59072E-03,  5.79690E-03,  6.00829E-03,  6.21944E-03,  6.42409E-03,  6.61538E-03,  6.78608E-03,  6.92892E-03,  7.03691E-03,  7.10369E-03,  7.12384E-03,  7.09315E-03,  7.00882E-03,  6.86960E-03,  6.67577E-03,  6.42909E-03,  6.13269E-03,  5.79079E-03,  5.40853E-03,  4.99165E-03,  4.54623E-03,  4.07851E-03,  3.59459E-03,  3.10035E-03,  2.60125E-03,  2.10229E-03,  1.60793E-03,  1.12207E-03,  6.48048E-04,  1.88687E-04, -2.53712E-04, -6.77313E-04, -1.08070E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.22821E-03,  4.25680E-03,  4.28202E-03,  4.30403E-03,  4.32316E-03,  4.33991E-03,  4.35498E-03,  4.36929E-03,  4.38400E-03,  4.40054E-03,  4.42056E-03,  4.44601E-03,  4.47901E-03,  4.52190E-03,  4.57710E-03,  4.64709E-03,  4.73424E-03,  4.84070E-03,  4.96824E-03,  5.11808E-03,  5.29073E-03,  5.48576E-03,  5.70170E-03,  5.93586E-03,  6.18431E-03,  6.44178E-03,  6.70179E-03,  6.95679E-03,  7.19835E-03,  7.41754E-03,  7.60529E-03,  7.75285E-03,  7.85222E-03,  7.89658E-03,  7.88066E-03,  7.80101E-03,  7.65613E-03,  7.44651E-03,  7.17451E-03,  6.84415E-03,  6.46085E-03,  6.03107E-03,  5.56195E-03,  5.06098E-03,  4.53572E-03,  3.99349E-03,  3.44121E-03,  2.88525E-03,  2.33133E-03,  1.78449E-03,  1.24903E-03,  7.28614E-04,  2.26222E-04, -2.55750E-04, -7.15449E-04, -1.15151E-03, -1.56298E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.38823E-03,  4.42335E-03,  4.45439E-03,  4.48132E-03,  4.50427E-03,  4.52349E-03,  4.53947E-03,  4.55292E-03,  4.56482E-03,  4.57644E-03,  4.58938E-03,  4.60557E-03,  4.62727E-03,  4.65704E-03,  4.69773E-03,  4.75238E-03,  4.82412E-03,  4.91607E-03,  5.03116E-03,  5.17190E-03,  5.34024E-03,  5.53726E-03,  5.76298E-03,  6.01610E-03,  6.29387E-03,  6.59187E-03,  6.90405E-03,  7.22271E-03,  7.53867E-03,  7.84161E-03,  8.12040E-03,  8.36370E-03,  8.56046E-03,  8.70055E-03,  8.77537E-03,  8.77827E-03,  8.70497E-03,  8.55370E-03,  8.32527E-03,  8.02286E-03,  7.65175E-03,  7.21889E-03,  6.73248E-03,  6.20146E-03,  5.63508E-03,  5.04252E-03,  4.43256E-03,  3.81339E-03,  3.19238E-03,  2.57606E-03,  1.97007E-03,  1.37914E-03,  8.07199E-04,  2.57371E-04, -2.67909E-04, -7.66829E-04, -1.23812E-03, -1.68099E-03, -2.09503E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
