NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.74032E-04,  1.09520E-03,  1.32386E-03,  1.55865E-03,  1.79802E-03,  2.04019E-03,  2.28316E-03,  2.52478E-03,  2.76273E-03,  2.99457E-03,  3.21783E-03,  3.43001E-03,  3.62867E-03,  3.81150E-03,  3.97634E-03,  4.12130E-03,  4.24479E-03,  4.34555E-03,  4.42270E-03,  4.47577E-03,  4.50468E-03,  4.50975E-03,  4.49171E-03,  4.45160E-03,  4.39078E-03,  4.31085E-03,  4.21361E-03,  4.10099E-03,  3.97504E-03,  3.83778E-03,  3.69126E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.62579E-04,  6.82794E-04,  9.14201E-04,  1.15586E-03,  1.40659E-03,  1.66491E-03,  1.92910E-03,  2.19716E-03,  2.46683E-03,  2.73564E-03,  3.00090E-03,  3.25980E-03,  3.50942E-03,  3.74682E-03,  3.96912E-03,  4.17356E-03,  4.35759E-03,  4.51896E-03,  4.65576E-03,  4.76651E-03,  4.85017E-03,  4.90621E-03,  4.93457E-03,  4.93570E-03,  4.91049E-03,  4.86024E-03,  4.78661E-03,  4.69157E-03,  4.57727E-03,  4.44606E-03,  4.30032E-03,  4.14249E-03,  3.97495E-03,  3.79997E-03,  3.61974E-03,  3.43625E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.49614E-05,  2.35654E-04,  4.60645E-04,  6.99506E-04,  9.51555E-04,  1.21583E-03,  1.49107E-03,  1.77569E-03,  2.06777E-03,  2.36509E-03,  2.66508E-03,  2.96491E-03,  3.26146E-03,  3.55146E-03,  3.83146E-03,  4.09800E-03,  4.34765E-03,  4.57711E-03,  4.78335E-03,  4.96365E-03,  5.11574E-03,  5.23784E-03,  5.32875E-03,  5.38784E-03,  5.41511E-03,  5.41113E-03,  5.37703E-03,  5.31445E-03,  5.22543E-03,  5.11235E-03,  4.97786E-03,  4.82475E-03,  4.65588E-03,  4.47414E-03,  4.28229E-03,  4.08301E-03,  3.87877E-03,  3.67185E-03,  3.46431E-03,  3.25796E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.21301E-04, -2.28040E-04, -1.82724E-05,  2.08123E-04,  4.51049E-04,  7.10156E-04,  9.84802E-04,  1.27402E-03,  1.57650E-03,  1.89053E-03,  2.21401E-03,  2.54446E-03,  2.87896E-03,  3.21426E-03,  3.54677E-03,  3.87263E-03,  4.18780E-03,  4.48815E-03,  4.76959E-03,  5.02817E-03,  5.26022E-03,  5.46248E-03,  5.63221E-03,  5.76729E-03,  5.86628E-03,  5.92846E-03,  5.95389E-03,  5.94333E-03,  5.89822E-03,  5.82059E-03,  5.71298E-03,  5.57833E-03,  5.41984E-03,  5.24089E-03,  5.04491E-03,  4.83529E-03,  4.61532E-03,  4.38807E-03,  4.15639E-03,  3.92288E-03,  3.68982E-03,  3.45922E-03,  3.23277E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.58711E-04, -6.89434E-04, -5.02500E-04, -2.97273E-04, -7.32730E-05,  1.69785E-04,  4.31950E-04,  7.12987E-04,  1.01233E-03,  1.32905E-03,  1.66179E-03,  2.00873E-03,  2.36760E-03,  2.73561E-03,  3.10948E-03,  3.48548E-03,  3.85943E-03,  4.22682E-03,  4.58285E-03,  4.92261E-03,  5.24119E-03,  5.53381E-03,  5.79604E-03,  6.02393E-03,  6.21414E-03,  6.36411E-03,  6.47212E-03,  6.53738E-03,  6.55999E-03,  6.54097E-03,  6.48216E-03,  6.38611E-03,  6.25600E-03,  6.09543E-03,  5.90833E-03,  5.69879E-03,  5.47093E-03,  5.22878E-03,  4.97617E-03,  4.71671E-03,  4.45365E-03,  4.18991E-03,  3.92807E-03,  3.67029E-03,  3.41841E-03,  3.17394E-03,  2.93803E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.13078E-03, -9.72466E-04, -7.95369E-04, -5.98510E-04, -3.81027E-04, -1.42215E-04,  1.18426E-04,  4.01142E-04,  7.05864E-04,  1.03216E-03,  1.37915E-03,  1.74549E-03,  2.12928E-03,  2.52806E-03,  2.93874E-03,  3.35763E-03,  3.78044E-03,  4.20233E-03,  4.61797E-03,  5.02171E-03,  5.40763E-03,  5.76980E-03,  6.10245E-03,  6.40017E-03,  6.65812E-03,  6.87223E-03,  7.03939E-03,  7.15753E-03,  7.22573E-03,  7.24421E-03,  7.21432E-03,  7.13842E-03,  7.01975E-03,  6.86227E-03,  6.67046E-03,  6.44914E-03,  6.20329E-03,  5.93784E-03,  5.65761E-03,  5.36710E-03,  5.07047E-03,  4.77148E-03,  4.47340E-03,  4.17907E-03,  3.89087E-03,  3.61074E-03,  3.34022E-03,  3.08049E-03,  2.83241E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.41085E-03, -1.26661E-03, -1.10286E-03, -9.18268E-04, -7.11601E-04, -4.81717E-04, -2.27628E-04,  5.14403E-05,  3.55994E-04,  6.86198E-04,  1.04180E-03,  1.42207E-03,  1.82570E-03,  2.25074E-03,  2.69456E-03,  3.15378E-03,  3.62425E-03,  4.10106E-03,  4.57858E-03,  5.05055E-03,  5.51020E-03,  5.95046E-03,  6.36411E-03,  6.74411E-03,  7.08380E-03,  7.37725E-03,  7.61944E-03,  7.80655E-03,  7.93607E-03,  8.00694E-03,  8.01955E-03,  7.97569E-03,  7.87840E-03,  7.73182E-03,  7.54092E-03,  7.31130E-03,  7.04890E-03,  6.75978E-03,  6.44991E-03,  6.12502E-03,  5.79039E-03,  5.45087E-03,  5.11070E-03,  4.77359E-03,  4.44264E-03,  4.12040E-03,  3.80891E-03,  3.50973E-03,  3.22399E-03,  2.95246E-03,  2.69558E-03,  2.45354E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.80388E-03, -1.69484E-03, -1.56759E-03, -1.42052E-03, -1.25203E-03, -1.06049E-03, -8.44345E-04, -6.02106E-04, -3.32444E-04, -3.42305E-05,  2.93377E-04,  6.50860E-04,  1.03824E-03,  1.45499E-03,  1.89993E-03,  2.37113E-03,  2.86583E-03,  3.38033E-03,  3.91002E-03,  4.44928E-03,  4.99158E-03,  5.52955E-03,  6.05508E-03,  6.55964E-03,  7.03442E-03,  7.47076E-03,  7.86045E-03,  8.19611E-03,  8.47151E-03,  8.68191E-03,  8.82426E-03,  8.89733E-03,  8.90175E-03,  8.83989E-03,  8.71571E-03,  8.53453E-03,  8.30264E-03,  8.02706E-03,  7.71514E-03,  7.37431E-03,  7.01180E-03,  6.63441E-03,  6.24837E-03,  5.85926E-03,  5.47192E-03,  5.09046E-03,  4.71825E-03,  4.35800E-03,  4.01179E-03,  3.68114E-03,  3.36708E-03,  3.07025E-03,  2.79090E-03,  2.52902E-03,  2.28438E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.06825E-03, -1.97840E-03, -1.87073E-03, -1.74343E-03, -1.59462E-03, -1.42236E-03, -1.22468E-03, -9.99643E-04, -7.45351E-04, -4.60047E-04, -1.42165E-04,  2.09577E-04,  5.96080E-04,  1.01775E-03,  1.47438E-03,  1.96500E-03,  2.48780E-03,  3.03994E-03,  3.61747E-03,  4.21526E-03,  4.82695E-03,  5.44496E-03,  6.06057E-03,  6.66410E-03,  7.24517E-03,  7.79300E-03,  8.29686E-03,  8.74651E-03,  9.13272E-03,  9.44769E-03,  9.68549E-03,  9.84235E-03,  9.91684E-03,  9.90994E-03,  9.82482E-03,  9.66670E-03,  9.44240E-03,  9.15998E-03,  8.82827E-03,  8.45644E-03,  8.05361E-03,  7.62852E-03,  7.18930E-03,  6.74325E-03,  6.29680E-03,  5.85540E-03,  5.42358E-03,  5.00497E-03,  4.60235E-03,  4.21779E-03,  3.85271E-03,  3.50797E-03,  3.18396E-03,  2.88071E-03,  2.59794E-03,  2.33514E-03,  2.09162E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.32601E-03, -2.25709E-03, -2.17117E-03, -2.06630E-03, -1.94037E-03, -1.79119E-03, -1.61644E-03, -1.41376E-03, -1.18075E-03, -9.15038E-04, -6.14337E-04, -2.76537E-04,  1.00202E-04,  5.17332E-04,  9.75781E-04,  1.47580E-03,  2.01681E-03,  2.59719E-03,  3.21416E-03,  3.86358E-03,  4.53982E-03,  5.23571E-03,  5.94248E-03,  6.64984E-03,  7.34618E-03,  8.01884E-03,  8.65453E-03,  9.23987E-03,  9.76202E-03,  1.02093E-02,  1.05718E-02,  1.08420E-02,  1.10153E-02,  1.10900E-02,  1.10676E-02,  1.09523E-02,  1.07511E-02,  1.04728E-02,  1.01277E-02,  9.72714E-03,  9.28251E-03,  8.80507E-03,  8.30542E-03,  7.79324E-03,  7.27708E-03,  6.76429E-03,  6.26098E-03,  5.77205E-03,  5.30132E-03,  4.85161E-03,  4.42486E-03,  4.02227E-03,  3.64442E-03,  3.29140E-03,  2.96289E-03,  2.65828E-03,  2.37671E-03,  2.11716E-03,  1.87852E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
