NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.21471E-02, -1.25116E-02, -1.28715E-02, -1.32247E-02, -1.35687E-02, -1.39012E-02, -1.42193E-02, -1.45205E-02, -1.48019E-02, -1.50607E-02, -1.52944E-02, -1.55001E-02, -1.56754E-02, -1.58181E-02, -1.59260E-02, -1.59975E-02, -1.60310E-02, -1.60255E-02, -1.59805E-02, -1.58956E-02, -1.57712E-02, -1.56080E-02, -1.54070E-02, -1.51700E-02, -1.48987E-02, -1.45956E-02, -1.42632E-02, -1.39044E-02, -1.35222E-02, -1.31198E-02, -1.27004E-02, -1.22673E-02, -1.18236E-02, -1.13726E-02, -1.09170E-02, -1.04599E-02, -1.00037E-02, -9.55093E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.21530E-02, -1.25480E-02, -1.29413E-02, -1.33308E-02, -1.37140E-02, -1.40882E-02, -1.44507E-02, -1.47985E-02, -1.51285E-02, -1.54378E-02, -1.57230E-02, -1.59811E-02, -1.62091E-02, -1.64042E-02, -1.65636E-02, -1.66849E-02, -1.67662E-02, -1.68058E-02, -1.68023E-02, -1.67552E-02, -1.66641E-02, -1.65293E-02, -1.63516E-02, -1.61323E-02, -1.58733E-02, -1.55767E-02, -1.52453E-02, -1.48820E-02, -1.44901E-02, -1.40731E-02, -1.36346E-02, -1.31783E-02, -1.27078E-02, -1.22268E-02, -1.17386E-02, -1.12467E-02, -1.07542E-02, -1.02638E-02, -9.77820E-03, -9.29973E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.16885E-02, -1.21086E-02, -1.25323E-02, -1.29575E-02, -1.33820E-02, -1.38035E-02, -1.42193E-02, -1.46265E-02, -1.50219E-02, -1.54024E-02, -1.57644E-02, -1.61044E-02, -1.64190E-02, -1.67045E-02, -1.69575E-02, -1.71746E-02, -1.73529E-02, -1.74895E-02, -1.75820E-02, -1.76284E-02, -1.76275E-02, -1.75781E-02, -1.74800E-02, -1.73336E-02, -1.71398E-02, -1.69000E-02, -1.66164E-02, -1.62915E-02, -1.59285E-02, -1.55307E-02, -1.51021E-02, -1.46465E-02, -1.41681E-02, -1.36710E-02, -1.31595E-02, -1.26375E-02, -1.21090E-02, -1.15776E-02, -1.10467E-02, -1.05195E-02, -9.99879E-03, -9.48703E-03, -8.98644E-03, -8.49889E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.15692E-02, -1.20122E-02, -1.24619E-02, -1.29166E-02, -1.33742E-02, -1.38324E-02, -1.42886E-02, -1.47398E-02, -1.51829E-02, -1.56144E-02, -1.60308E-02, -1.64281E-02, -1.68023E-02, -1.71495E-02, -1.74656E-02, -1.77466E-02, -1.79886E-02, -1.81881E-02, -1.83419E-02, -1.84472E-02, -1.85016E-02, -1.85035E-02, -1.84518E-02, -1.83460E-02, -1.81867E-02, -1.79747E-02, -1.77119E-02, -1.74007E-02, -1.70441E-02, -1.66458E-02, -1.62096E-02, -1.57400E-02, -1.52416E-02, -1.47190E-02, -1.41770E-02, -1.36204E-02, -1.30537E-02, -1.24811E-02, -1.19069E-02, -1.13347E-02, -1.07679E-02, -1.02097E-02, -9.66252E-03, -9.12883E-03, -8.61054E-03, -8.10923E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.14003E-02, -1.18628E-02, -1.23354E-02, -1.28164E-02, -1.33042E-02, -1.37965E-02, -1.42908E-02, -1.47844E-02, -1.52740E-02, -1.57563E-02, -1.62273E-02, -1.66832E-02, -1.71194E-02, -1.75316E-02, -1.79151E-02, -1.82653E-02, -1.85776E-02, -1.88476E-02, -1.90711E-02, -1.92444E-02, -1.93642E-02, -1.94277E-02, -1.94330E-02, -1.93787E-02, -1.92644E-02, -1.90904E-02, -1.88581E-02, -1.85695E-02, -1.82273E-02, -1.78352E-02, -1.73972E-02, -1.69181E-02, -1.64029E-02, -1.58569E-02, -1.52854E-02, -1.46940E-02, -1.40879E-02, -1.34722E-02, -1.28518E-02, -1.22312E-02, -1.16145E-02, -1.10054E-02, -1.04071E-02, -9.82255E-03, -9.25404E-03, -8.70359E-03, -8.17282E-03, -7.66296E-03, -7.17493E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.11827E-02, -1.16608E-02, -1.21522E-02, -1.26558E-02, -1.31700E-02, -1.36928E-02, -1.42221E-02, -1.47551E-02, -1.52890E-02, -1.58202E-02, -1.63450E-02, -1.68592E-02, -1.73583E-02, -1.78375E-02, -1.82916E-02, -1.87155E-02, -1.91038E-02, -1.94512E-02, -1.97527E-02, -2.00033E-02, -2.01987E-02, -2.03349E-02, -2.04088E-02, -2.04180E-02, -2.03609E-02, -2.02370E-02, -2.00467E-02, -1.97914E-02, -1.94736E-02, -1.90966E-02, -1.86645E-02, -1.81821E-02, -1.76550E-02, -1.70890E-02, -1.64901E-02, -1.58646E-02, -1.52187E-02, -1.45583E-02, -1.38893E-02, -1.32170E-02, -1.25464E-02, -1.18819E-02, -1.12276E-02, -1.05869E-02, -9.96287E-03, -9.35788E-03, -8.77399E-03, -8.21280E-03, -7.67549E-03, -7.16287E-03, -6.67545E-03, -6.21344E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.09179E-02, -1.14073E-02, -1.19133E-02, -1.24349E-02, -1.29709E-02, -1.35198E-02, -1.40797E-02, -1.46482E-02, -1.52226E-02, -1.57996E-02, -1.63757E-02, -1.69467E-02, -1.75079E-02, -1.80544E-02, -1.85808E-02, -1.90813E-02, -1.95500E-02, -1.99808E-02, -2.03675E-02, -2.07043E-02, -2.09855E-02, -2.12058E-02, -2.13607E-02, -2.14465E-02, -2.14602E-02, -2.14000E-02, -2.12652E-02, -2.10564E-02, -2.07752E-02, -2.04245E-02, -2.00081E-02, -1.95310E-02, -1.89989E-02, -1.84181E-02, -1.77954E-02, -1.71378E-02, -1.64526E-02, -1.57468E-02, -1.50271E-02, -1.43000E-02, -1.35716E-02, -1.28472E-02, -1.21317E-02, -1.14294E-02, -1.07439E-02, -1.00785E-02, -9.43553E-03, -8.81712E-03, -8.22477E-03, -7.65957E-03, -7.12222E-03, -6.61308E-03, -6.13217E-03, -5.67929E-03, -5.25397E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.11050E-02, -1.16206E-02, -1.21552E-02, -1.27079E-02, -1.32776E-02, -1.38628E-02, -1.44615E-02, -1.50715E-02, -1.56898E-02, -1.63130E-02, -1.69373E-02, -1.75581E-02, -1.81704E-02, -1.87687E-02, -1.93469E-02, -1.98986E-02, -2.04169E-02, -2.08949E-02, -2.13256E-02, -2.17020E-02, -2.20175E-02, -2.22661E-02, -2.24422E-02, -2.25413E-02, -2.25602E-02, -2.24965E-02, -2.23495E-02, -2.21196E-02, -2.18090E-02, -2.14210E-02, -2.09602E-02, -2.04324E-02, -1.98443E-02, -1.92034E-02, -1.85176E-02, -1.77951E-02, -1.70440E-02, -1.62725E-02, -1.54881E-02, -1.46981E-02, -1.39091E-02, -1.31271E-02, -1.23574E-02, -1.16044E-02, -1.08721E-02, -1.01636E-02, -9.48146E-03, -8.82770E-03, -8.20373E-03, -7.61052E-03, -7.04859E-03, -6.51812E-03, -6.01894E-03, -5.55062E-03, -5.11249E-03, -4.70370E-03, -4.32322E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.07571E-02, -1.12773E-02, -1.18194E-02, -1.23831E-02, -1.29677E-02, -1.35722E-02, -1.41950E-02, -1.48344E-02, -1.54879E-02, -1.61526E-02, -1.68249E-02, -1.75006E-02, -1.81751E-02, -1.88426E-02, -1.94972E-02, -2.01321E-02, -2.07400E-02, -2.13132E-02, -2.18436E-02, -2.23233E-02, -2.27441E-02, -2.30982E-02, -2.33784E-02, -2.35784E-02, -2.36927E-02, -2.37174E-02, -2.36496E-02, -2.34885E-02, -2.32348E-02, -2.28907E-02, -2.24604E-02, -2.19494E-02, -2.13645E-02, -2.07136E-02, -2.00055E-02, -1.92496E-02, -1.84551E-02, -1.76316E-02, -1.67882E-02, -1.59335E-02, -1.50756E-02, -1.42218E-02, -1.33786E-02, -1.25515E-02, -1.17455E-02, -1.09644E-02, -1.02115E-02, -9.48931E-03, -8.79976E-03, -8.14410E-03, -7.52312E-03, -6.93714E-03, -6.38610E-03, -5.86961E-03, -5.38698E-03, -4.93731E-03, -4.51948E-03, -4.13224E-03, -3.77421E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.03683E-02, -1.08878E-02, -1.14318E-02, -1.20005E-02, -1.25936E-02, -1.32106E-02, -1.38506E-02, -1.45122E-02, -1.51936E-02, -1.58925E-02, -1.66058E-02, -1.73299E-02, -1.80604E-02, -1.87921E-02, -1.95191E-02, -2.02346E-02, -2.09312E-02, -2.16006E-02, -2.22341E-02, -2.28226E-02, -2.33567E-02, -2.38269E-02, -2.42242E-02, -2.45400E-02, -2.47668E-02, -2.48981E-02, -2.49291E-02, -2.48566E-02, -2.46794E-02, -2.43982E-02, -2.40161E-02, -2.35378E-02, -2.29699E-02, -2.23206E-02, -2.15993E-02, -2.08163E-02, -1.99824E-02, -1.91086E-02, -1.82057E-02, -1.72841E-02, -1.63535E-02, -1.54228E-02, -1.45000E-02, -1.35921E-02, -1.27051E-02, -1.18439E-02, -1.10126E-02, -1.02145E-02, -9.45189E-03, -8.72657E-03, -8.03963E-03, -7.39159E-03, -6.78254E-03, -6.21214E-03, -5.67972E-03, -5.18431E-03, -4.72472E-03, -4.29957E-03, -3.90734E-03, -3.54640E-03, -3.21505E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
