NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.26925E-03,  1.40961E-03,  1.53996E-03,  1.65786E-03,  1.76093E-03,  1.84688E-03,  1.91359E-03,  1.95923E-03,  1.98231E-03,  1.98175E-03,  1.95693E-03,  1.90774E-03,  1.83459E-03,  1.73840E-03,  1.62056E-03,  1.48291E-03,  1.32763E-03,  1.15721E-03,  9.74306E-04,  7.81715E-04,  5.82247E-04,  3.78665E-04,  1.73619E-04, -3.04164E-05, -2.31178E-04, -4.26646E-04, -6.15066E-04, -7.94950E-04, -9.65084E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.17093E-03,  1.34664E-03,  1.51705E-03,  1.67947E-03,  1.83108E-03,  1.96900E-03,  2.09035E-03,  2.19233E-03,  2.27238E-03,  2.32823E-03,  2.35802E-03,  2.36038E-03,  2.33454E-03,  2.28031E-03,  2.19817E-03,  2.08921E-03,  1.95512E-03,  1.79811E-03,  1.62084E-03,  1.42628E-03,  1.21765E-03,  9.98278E-04,  7.71503E-04,  5.40583E-04,  3.08612E-04,  7.84581E-05, -1.47287E-04, -3.66338E-04, -5.76735E-04, -7.76847E-04, -9.65365E-04, -1.14129E-03, -1.30391E-03, -1.45278E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9.85679E-04,  1.18907E-03,  1.39281E-03,  1.59432E-03,  1.79073E-03,  1.97892E-03,  2.15554E-03,  2.31714E-03,  2.46025E-03,  2.58147E-03,  2.67764E-03,  2.74595E-03,  2.78407E-03,  2.79030E-03,  2.76360E-03,  2.70372E-03,  2.61120E-03,  2.48737E-03,  2.33426E-03,  2.15458E-03,  1.95155E-03,  1.72878E-03,  1.49016E-03,  1.23967E-03,  9.81291E-04,  7.18873E-04,  4.56035E-04,  1.96097E-04, -5.79754E-05, -3.03604E-04, -5.38610E-04, -7.61216E-04, -9.70031E-04, -1.16403E-03, -1.34252E-03, -1.50511E-03, -1.65168E-03, -1.78234E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  7.23468E-04,  9.44170E-04,  1.17109E-03,  1.40211E-03,  1.63472E-03,  1.86599E-03,  2.09262E-03,  2.31094E-03,  2.51701E-03,  2.70669E-03,  2.87578E-03,  3.02014E-03,  3.13585E-03,  3.21942E-03,  3.26794E-03,  3.27920E-03,  3.25190E-03,  3.18567E-03,  3.08113E-03,  2.93988E-03,  2.76442E-03,  2.55806E-03,  2.32475E-03,  2.06889E-03,  1.79519E-03,  1.50844E-03,  1.21341E-03,  9.14642E-04,  6.16374E-04,  3.22450E-04,  3.62546E-05, -2.39312E-04, -5.01846E-04, -7.49427E-04, -9.80598E-04, -1.19433E-03, -1.38998E-03, -1.56726E-03, -1.72616E-03, -1.86695E-03, -1.99009E-03, -2.09621E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.01015E-04,  6.27352E-04,  8.65241E-04,  1.11329E-03,  1.36966E-03,  1.63208E-03,  1.89774E-03,  2.16334E-03,  2.42508E-03,  2.67868E-03,  2.91949E-03,  3.14255E-03,  3.34274E-03,  3.51500E-03,  3.65448E-03,  3.75680E-03,  3.81828E-03,  3.83611E-03,  3.80859E-03,  3.73520E-03,  3.61664E-03,  3.45489E-03,  3.25304E-03,  3.01515E-03,  2.74609E-03,  2.45126E-03,  2.13640E-03,  1.80730E-03,  1.46967E-03,  1.12888E-03,  7.89910E-04,  4.57190E-04,  1.34577E-04, -1.74687E-04, -4.67967E-04, -7.43218E-04, -9.98941E-04, -1.23414E-03, -1.44827E-03, -1.64117E-03, -1.81301E-03, -1.96424E-03, -2.09554E-03, -2.20776E-03, -2.30188E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.59782E-04,  4.96033E-04,  7.47478E-04,  1.01317E-03,  1.29173E-03,  1.58125E-03,  1.87927E-03,  2.18273E-03,  2.48792E-03,  2.79047E-03,  3.08544E-03,  3.36729E-03,  3.63008E-03,  3.86761E-03,  4.07362E-03,  4.24210E-03,  4.36752E-03,  4.44522E-03,  4.47159E-03,  4.44439E-03,  4.36288E-03,  4.22793E-03,  4.04192E-03,  3.80872E-03,  3.53338E-03,  3.22193E-03,  2.88105E-03,  2.51774E-03,  2.13905E-03,  1.75180E-03,  1.36238E-03,  9.76617E-04,  5.99613E-04,  2.35740E-04, -1.11400E-04, -4.38953E-04, -7.44772E-04, -1.02736E-03, -1.28581E-03, -1.51971E-03, -1.72910E-03, -1.91438E-03, -2.07625E-03, -2.21564E-03, -2.33366E-03, -2.43156E-03, -2.51067E-03, -2.57236E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.34744E-04,  8.84165E-05,  3.30312E-04,  5.90897E-04,  8.69775E-04,  1.16612E-03,  1.47861E-03,  1.80531E-03,  2.14365E-03,  2.49027E-03,  2.84107E-03,  3.19107E-03,  3.53453E-03,  3.86492E-03,  4.17512E-03,  4.45756E-03,  4.70453E-03,  4.90850E-03,  5.06251E-03,  5.16055E-03,  5.19799E-03,  5.17188E-03,  5.08118E-03,  4.92690E-03,  4.71203E-03,  4.44140E-03,  4.12136E-03,  3.75944E-03,  3.36392E-03,  2.94341E-03,  2.50649E-03,  2.06136E-03,  1.61561E-03,  1.17603E-03,  7.48502E-04,  3.37938E-04, -5.16951E-05, -4.17347E-04, -7.56817E-04, -1.06867E-03, -1.35214E-03, -1.60705E-03, -1.83370E-03, -2.03277E-03, -2.20530E-03, -2.35252E-03, -2.47587E-03, -2.57689E-03, -2.65722E-03, -2.71850E-03, -2.76238E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.32000E-04, -1.10499E-04,  1.32348E-04,  3.97051E-04,  6.83826E-04,  9.92514E-04,  1.32249E-03,  1.67256E-03,  2.04084E-03,  2.42467E-03,  2.82049E-03,  3.22376E-03,  3.62888E-03,  4.02920E-03,  4.41705E-03,  4.78389E-03,  5.12049E-03,  5.41731E-03,  5.66489E-03,  5.85437E-03,  5.97803E-03,  6.02983E-03,  6.00587E-03,  5.90470E-03,  5.72752E-03,  5.47809E-03,  5.16252E-03,  4.78886E-03,  4.36657E-03,  3.90597E-03,  3.41773E-03,  2.91230E-03,  2.39956E-03,  1.88852E-03,  1.38708E-03,  9.01955E-04,  4.38651E-04,  1.47362E-06, -4.06382E-04, -7.82729E-04, -1.12628E-03, -1.43651E-03, -1.71354E-03, -1.95803E-03, -2.17105E-03, -2.35402E-03, -2.50857E-03, -2.63652E-03, -2.73977E-03, -2.82030E-03, -2.88006E-03, -2.92100E-03, -2.94501E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.48737E-04, -3.33297E-04, -9.43972E-05,  1.69031E-04,  4.57843E-04,  7.72599E-04,  1.11347E-03,  1.48012E-03,  1.87160E-03,  2.28616E-03,  2.72116E-03,  3.17288E-03,  3.63638E-03,  4.10544E-03,  4.57241E-03,  5.02831E-03,  5.46291E-03,  5.86496E-03,  6.22260E-03,  6.52393E-03,  6.75761E-03,  6.91363E-03,  6.98407E-03,  6.96372E-03,  6.85059E-03,  6.64609E-03,  6.35502E-03,  5.98518E-03,  5.54685E-03,  5.05202E-03,  4.51366E-03,  3.94499E-03,  3.35882E-03,  2.76704E-03,  2.18032E-03,  1.60782E-03,  1.05717E-03,  5.34451E-04,  4.42635E-05, -4.10131E-04, -8.26665E-04, -1.20430E-03, -1.54288E-03, -1.84295E-03, -2.10563E-03, -2.33248E-03, -2.52538E-03, -2.68646E-03, -2.81798E-03, -2.92228E-03, -3.00171E-03, -3.05859E-03, -3.09521E-03, -3.11372E-03, -3.11619E-03, -3.10457E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.80489E-04, -5.75387E-04, -3.45306E-04, -8.86499E-05,  1.96059E-04,  5.10105E-04,  8.54493E-04,  1.22983E-03,  1.63620E-03,  2.07301E-03,  2.53881E-03,  3.03108E-03,  3.54605E-03,  4.07851E-03,  4.62156E-03,  5.16655E-03,  5.70301E-03,  6.21872E-03,  6.69997E-03,  7.13204E-03,  7.49984E-03,  7.78878E-03,  7.98583E-03,  8.08050E-03,  8.06580E-03,  7.93893E-03,  7.70162E-03,  7.36003E-03,  6.92426E-03,  6.40752E-03,  5.82516E-03,  5.19357E-03,  4.52919E-03,  3.84774E-03,  3.16354E-03,  2.48916E-03,  1.83518E-03,  1.21018E-03,  6.20760E-04,  7.17417E-05, -4.33679E-04, -8.93697E-04, -1.30768E-03, -1.67598E-03, -1.99971E-03, -2.28058E-03, -2.52076E-03, -2.72272E-03, -2.88916E-03, -3.02286E-03, -3.12667E-03, -3.20338E-03, -3.25573E-03, -3.28635E-03, -3.29774E-03, -3.29224E-03, -3.27203E-03, -3.23912E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
