NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.55782E-03, -1.16270E-03, -7.67590E-04, -3.75025E-04,  1.23633E-05,  3.91859E-04,  7.60703E-04,  1.11614E-03,  1.45548E-03,  1.77615E-03,  2.07578E-03,  2.35228E-03,  2.60386E-03,  2.82915E-03,  3.02722E-03,  3.19762E-03,  3.34039E-03,  3.45603E-03,  3.54552E-03,  3.61022E-03,  3.65186E-03,  3.67241E-03,  3.67405E-03,  3.65905E-03,  3.62973E-03,  3.58835E-03,  3.53710E-03,  3.47802E-03,  3.41297E-03,  3.34363E-03,  3.27146E-03,  3.19772E-03,  3.12345E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.37124E-03, -1.94937E-03, -1.52189E-03, -1.09127E-03, -6.60203E-04, -2.31513E-04,  1.91806E-04,  6.06645E-04,  1.00982E-03,  1.39812E-03,  1.76839E-03,  2.11759E-03,  2.44291E-03,  2.74182E-03,  3.01221E-03,  3.25243E-03,  3.46138E-03,  3.63853E-03,  3.78397E-03,  3.89836E-03,  3.98294E-03,  4.03943E-03,  4.06996E-03,  4.07699E-03,  4.06316E-03,  4.03125E-03,  3.98403E-03,  3.92422E-03,  3.85437E-03,  3.77687E-03,  3.69385E-03,  3.60720E-03,  3.51854E-03,  3.42924E-03,  3.34042E-03,  3.25298E-03,  3.16758E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.29356E-03, -2.85527E-03, -2.40536E-03, -1.94610E-03, -1.48000E-03, -1.00981E-03, -5.38496E-04, -6.92528E-05,  3.94531E-04,  8.49294E-04,  1.29135E-03,  1.71696E-03,  2.12239E-03,  2.50404E-03,  2.85853E-03,  3.18283E-03,  3.47436E-03,  3.73113E-03,  3.95182E-03,  4.13580E-03,  4.28322E-03,  4.39496E-03,  4.47258E-03,  4.51824E-03,  4.53462E-03,  4.52474E-03,  4.49188E-03,  4.43940E-03,  4.37067E-03,  4.28890E-03,  4.19712E-03,  4.09809E-03,  3.99425E-03,  3.88773E-03,  3.78032E-03,  3.67348E-03,  3.56840E-03,  3.46597E-03,  3.36685E-03,  3.27150E-03,  3.18018E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.31033E-03, -3.86775E-03, -3.40743E-03, -2.93133E-03, -2.44168E-03, -1.94096E-03, -1.43190E-03, -9.17518E-04, -4.01111E-04,  1.13747E-04,  6.23217E-04,  1.12322E-03,  1.60950E-03,  2.07765E-03,  2.52327E-03,  2.94203E-03,  3.32987E-03,  3.68310E-03,  3.99856E-03,  4.27382E-03,  4.50723E-03,  4.69808E-03,  4.84657E-03,  4.95384E-03,  5.02188E-03,  5.05344E-03,  5.05186E-03,  5.02092E-03,  4.96467E-03,  4.88721E-03,  4.79261E-03,  4.68472E-03,  4.56709E-03,  4.44294E-03,  4.31504E-03,  4.18576E-03,  4.05707E-03,  3.93052E-03,  3.80732E-03,  3.68835E-03,  3.57421E-03,  3.46527E-03,  3.36170E-03,  3.26353E-03,  3.17066E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.96846E-03, -4.51128E-03, -4.03198E-03, -3.53240E-03, -3.01462E-03, -2.48104E-03, -1.93432E-03, -1.37743E-03, -8.13668E-04, -2.46662E-04,  3.19597E-04,  8.80775E-04,  1.43221E-03,  1.96894E-03,  2.48583E-03,  2.97763E-03,  3.43913E-03,  3.86537E-03,  4.25182E-03,  4.59460E-03,  4.89067E-03,  5.13798E-03,  5.33566E-03,  5.48399E-03,  5.58445E-03,  5.63959E-03,  5.65291E-03,  5.62864E-03,  5.57150E-03,  5.48650E-03,  5.37871E-03,  5.25302E-03,  5.11406E-03,  4.96601E-03,  4.81257E-03,  4.65690E-03,  4.50163E-03,  4.34887E-03,  4.20024E-03,  4.05694E-03,  3.91980E-03,  3.78930E-03,  3.66571E-03,  3.54904E-03,  3.43918E-03,  3.33587E-03,  3.23877E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.13391E-03, -5.69456E-03, -5.22700E-03, -4.73262E-03, -4.21309E-03, -3.67036E-03, -3.10665E-03, -2.52450E-03, -1.92675E-03, -1.31659E-03, -6.97606E-04, -7.37677E-05,  5.50502E-04,  1.17033E-03,  1.78039E-03,  2.37494E-03,  2.94793E-03,  3.49308E-03,  4.00411E-03,  4.47490E-03,  4.89986E-03,  5.27411E-03,  5.59382E-03,  5.85642E-03,  6.06080E-03,  6.20734E-03,  6.29798E-03,  6.33599E-03,  6.32585E-03,  6.27293E-03,  6.18320E-03,  6.06289E-03,  5.91824E-03,  5.75520E-03,  5.57931E-03,  5.39547E-03,  5.20795E-03,  5.02031E-03,  4.83542E-03,  4.65553E-03,  4.48227E-03,  4.31679E-03,  4.15979E-03,  4.01161E-03,  3.87232E-03,  3.74175E-03,  3.61957E-03,  3.50536E-03,  3.39860E-03,  3.29873E-03,  3.20520E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.34724E-03, -8.04473E-03, -7.70764E-03, -7.33593E-03, -6.92983E-03, -6.48990E-03, -6.01702E-03, -5.51233E-03, -4.97730E-03, -4.41369E-03, -3.82355E-03, -3.20922E-03, -2.57338E-03, -1.91903E-03, -1.24957E-03, -5.68823E-04,  1.18885E-04,  8.08698E-04,  1.49517E-03,  2.17225E-03,  2.83330E-03,  3.47117E-03,  4.07835E-03,  4.64717E-03,  5.17009E-03,  5.64007E-03,  6.05095E-03,  6.39783E-03,  6.67741E-03,  6.88824E-03,  7.03086E-03,  7.10775E-03,  7.12320E-03,  7.08296E-03,  6.99391E-03,  6.86362E-03,  6.69989E-03,  6.51044E-03,  6.30253E-03,  6.08274E-03,  5.85686E-03,  5.62976E-03,  5.40540E-03,  5.18689E-03,  4.97654E-03,  4.77595E-03,  4.58613E-03,  4.40757E-03,  4.24040E-03,  4.08443E-03,  3.93923E-03,  3.80423E-03,  3.67875E-03,  3.56207E-03,  3.45342E-03,  3.35208E-03,  3.25731E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -9.90331E-03, -9.76422E-03, -9.59183E-03, -9.38462E-03, -9.14125E-03, -8.86065E-03, -8.54201E-03, -8.18486E-03, -7.78905E-03, -7.35476E-03, -6.88254E-03, -6.37326E-03, -5.82814E-03, -5.24870E-03, -4.63680E-03, -3.99458E-03, -3.32451E-03, -2.62935E-03, -1.91227E-03, -1.17681E-03, -4.27026E-04,  3.32464E-04,  1.09638E-03,  1.85870E-03,  2.61257E-03,  3.35036E-03,  4.06363E-03,  4.74335E-03,  5.38012E-03,  5.96455E-03,  6.48773E-03,  6.94174E-03,  7.32023E-03,  7.61887E-03,  7.83578E-03,  7.97164E-03,  8.02970E-03,  8.01557E-03,  7.93674E-03,  7.80208E-03,  7.62124E-03,  7.40408E-03,  7.16015E-03,  6.89830E-03,  6.62641E-03,  6.35121E-03,  6.07824E-03,  5.81186E-03,  5.55534E-03,  5.31099E-03,  5.08025E-03,  4.86389E-03,  4.66213E-03,  4.47475E-03,  4.30122E-03,  4.14079E-03,  3.99256E-03,  3.85558E-03,  3.72883E-03,  3.61134E-03,  3.50216E-03,  3.40039E-03,  3.30522E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.07029E-02, -1.06626E-02, -1.05924E-02, -1.04899E-02, -1.03529E-02, -1.01796E-02, -9.96783E-03, -9.71615E-03, -9.42319E-03, -9.08792E-03, -8.70971E-03, -8.28827E-03, -7.82375E-03, -7.31664E-03, -6.76786E-03, -6.17869E-03, -5.55072E-03, -4.88592E-03, -4.18652E-03, -3.45508E-03, -2.69447E-03, -1.90793E-03, -1.09912E-03, -2.72233E-04,  5.67881E-04,  1.41558E-03,  2.26428E-03,  3.10634E-03,  3.93296E-03,  4.73425E-03,  5.49933E-03,  6.21661E-03,  6.87431E-03,  7.46101E-03,  7.96643E-03,  8.38221E-03,  8.70260E-03,  8.92503E-03,  9.05037E-03,  9.08294E-03,  9.03012E-03,  8.90177E-03,  8.70942E-03,  8.46550E-03,  8.18248E-03,  7.87225E-03,  7.54559E-03,  7.21190E-03,  6.87897E-03,  6.55302E-03,  6.23875E-03,  5.93949E-03,  5.65740E-03,  5.39365E-03,  5.14864E-03,  4.92213E-03,  4.71348E-03,  4.52169E-03,  4.34560E-03,  4.18392E-03,  4.03533E-03,  3.89853E-03,  3.77224E-03,  3.65531E-03,  3.54664E-03,  3.44523E-03,  3.35022E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -1.12278E-02, -1.12804E-02, -1.13088E-02, -1.13103E-02, -1.12821E-02, -1.12217E-02, -1.11263E-02, -1.09934E-02, -1.08205E-02, -1.06053E-02, -1.03460E-02, -1.00408E-02, -9.68845E-03, -9.28818E-03, -8.83952E-03, -8.34254E-03, -7.79774E-03, -7.20605E-03, -6.56884E-03, -5.88782E-03, -5.16506E-03, -4.40289E-03, -3.60397E-03, -2.77123E-03, -1.90792E-03, -1.01773E-03, -1.04884E-04,  8.25654E-04,  1.76800E-03,  2.71510E-03,  3.65852E-03,  4.58827E-03,  5.49276E-03,  6.35888E-03,  7.17231E-03,  7.91811E-03,  8.58156E-03,  9.14910E-03,  9.60957E-03,  9.95517E-03,  1.01823E-02,  1.02922E-02,  1.02905E-02,  1.01871E-02,  9.99502E-03,  9.72955E-03,  9.40670E-03,  9.04239E-03,  8.65142E-03,  8.24694E-03,  7.84007E-03,  7.43977E-03,  7.05287E-03,  6.68430E-03,  6.33729E-03,  6.01367E-03,  5.71412E-03,  5.43847E-03,  5.18590E-03,  4.95514E-03,  4.74464E-03,  4.55271E-03,  4.37757E-03,  4.21749E-03,  4.07080E-03,  3.93593E-03,  3.81144E-03,  3.69604E-03,  3.58855E-03,  3.48797E-03,  3.39339E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
