NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.20793E-02,  1.21837E-02,  1.22835E-02,  1.23783E-02,  1.24678E-02,  1.25514E-02,  1.26288E-02,  1.26996E-02,  1.27635E-02,  1.28200E-02,  1.28689E-02,  1.29098E-02,  1.29427E-02,  1.29671E-02,  1.29831E-02,  1.29904E-02,  1.29891E-02,  1.29792E-02,  1.29606E-02,  1.29334E-02,  1.28979E-02,  1.28542E-02,  1.28026E-02,  1.27433E-02,  1.26767E-02,  1.26030E-02,  1.25227E-02,  1.24362E-02,  1.23439E-02,  1.22462E-02,  1.21435E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.21180E-02,  1.22377E-02,  1.23537E-02,  1.24653E-02,  1.25723E-02,  1.26740E-02,  1.27700E-02,  1.28599E-02,  1.29432E-02,  1.30195E-02,  1.30883E-02,  1.31493E-02,  1.32021E-02,  1.32464E-02,  1.32820E-02,  1.33085E-02,  1.33258E-02,  1.33339E-02,  1.33325E-02,  1.33218E-02,  1.33018E-02,  1.32726E-02,  1.32343E-02,  1.31873E-02,  1.31316E-02,  1.30678E-02,  1.29960E-02,  1.29168E-02,  1.28305E-02,  1.27375E-02,  1.26385E-02,  1.25337E-02,  1.24238E-02,  1.23091E-02,  1.21903E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.21218E-02,  1.22561E-02,  1.23875E-02,  1.25155E-02,  1.26395E-02,  1.27592E-02,  1.28739E-02,  1.29831E-02,  1.30864E-02,  1.31832E-02,  1.32730E-02,  1.33553E-02,  1.34296E-02,  1.34956E-02,  1.35527E-02,  1.36007E-02,  1.36393E-02,  1.36680E-02,  1.36869E-02,  1.36957E-02,  1.36944E-02,  1.36829E-02,  1.36614E-02,  1.36298E-02,  1.35885E-02,  1.35377E-02,  1.34776E-02,  1.34087E-02,  1.33313E-02,  1.32460E-02,  1.31530E-02,  1.30530E-02,  1.29466E-02,  1.28341E-02,  1.27162E-02,  1.25934E-02,  1.24662E-02,  1.23352E-02,  1.22009E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.22384E-02,  1.23841E-02,  1.25274E-02,  1.26677E-02,  1.28046E-02,  1.29375E-02,  1.30659E-02,  1.31891E-02,  1.33066E-02,  1.34178E-02,  1.35222E-02,  1.36192E-02,  1.37081E-02,  1.37886E-02,  1.38600E-02,  1.39220E-02,  1.39741E-02,  1.40160E-02,  1.40473E-02,  1.40679E-02,  1.40776E-02,  1.40762E-02,  1.40639E-02,  1.40406E-02,  1.40065E-02,  1.39619E-02,  1.39069E-02,  1.38419E-02,  1.37674E-02,  1.36838E-02,  1.35916E-02,  1.34914E-02,  1.33837E-02,  1.32690E-02,  1.31481E-02,  1.30215E-02,  1.28897E-02,  1.27535E-02,  1.26134E-02,  1.24699E-02,  1.23235E-02,  1.21749E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.21850E-02,  1.23436E-02,  1.25008E-02,  1.26561E-02,  1.28091E-02,  1.29592E-02,  1.31058E-02,  1.32483E-02,  1.33862E-02,  1.35187E-02,  1.36453E-02,  1.37653E-02,  1.38781E-02,  1.39829E-02,  1.40793E-02,  1.41665E-02,  1.42441E-02,  1.43114E-02,  1.43681E-02,  1.44137E-02,  1.44479E-02,  1.44704E-02,  1.44811E-02,  1.44798E-02,  1.44665E-02,  1.44413E-02,  1.44044E-02,  1.43560E-02,  1.42964E-02,  1.42260E-02,  1.41453E-02,  1.40548E-02,  1.39551E-02,  1.38468E-02,  1.37305E-02,  1.36068E-02,  1.34766E-02,  1.33404E-02,  1.31989E-02,  1.30528E-02,  1.29027E-02,  1.27492E-02,  1.25930E-02,  1.24346E-02,  1.22744E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.22670E-02,  1.24363E-02,  1.26050E-02,  1.27725E-02,  1.29382E-02,  1.31017E-02,  1.32624E-02,  1.34196E-02,  1.35726E-02,  1.37209E-02,  1.38637E-02,  1.40003E-02,  1.41300E-02,  1.42520E-02,  1.43656E-02,  1.44702E-02,  1.45649E-02,  1.46493E-02,  1.47226E-02,  1.47844E-02,  1.48342E-02,  1.48716E-02,  1.48963E-02,  1.49081E-02,  1.49068E-02,  1.48925E-02,  1.48652E-02,  1.48252E-02,  1.47726E-02,  1.47078E-02,  1.46314E-02,  1.45438E-02,  1.44457E-02,  1.43376E-02,  1.42203E-02,  1.40945E-02,  1.39610E-02,  1.38205E-02,  1.36738E-02,  1.35216E-02,  1.33647E-02,  1.32038E-02,  1.30394E-02,  1.28724E-02,  1.27034E-02,  1.25327E-02,  1.23611E-02,  1.21890E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.23358E-02,  1.25158E-02,  1.26958E-02,  1.28753E-02,  1.30538E-02,  1.32308E-02,  1.34057E-02,  1.35779E-02,  1.37467E-02,  1.39113E-02,  1.40710E-02,  1.42251E-02,  1.43727E-02,  1.45130E-02,  1.46453E-02,  1.47686E-02,  1.48822E-02,  1.49854E-02,  1.50774E-02,  1.51574E-02,  1.52250E-02,  1.52795E-02,  1.53205E-02,  1.53477E-02,  1.53607E-02,  1.53596E-02,  1.53441E-02,  1.53145E-02,  1.52709E-02,  1.52136E-02,  1.51431E-02,  1.50599E-02,  1.49647E-02,  1.48580E-02,  1.47406E-02,  1.46134E-02,  1.44772E-02,  1.43327E-02,  1.41809E-02,  1.40226E-02,  1.38587E-02,  1.36899E-02,  1.35171E-02,  1.33410E-02,  1.31623E-02,  1.29817E-02,  1.27997E-02,  1.26171E-02,  1.24342E-02,  1.22515E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.22017E-02,  1.23908E-02,  1.25811E-02,  1.27721E-02,  1.29635E-02,  1.31547E-02,  1.33452E-02,  1.35344E-02,  1.37217E-02,  1.39064E-02,  1.40877E-02,  1.42650E-02,  1.44372E-02,  1.46037E-02,  1.47635E-02,  1.49156E-02,  1.50593E-02,  1.51934E-02,  1.53172E-02,  1.54298E-02,  1.55303E-02,  1.56179E-02,  1.56919E-02,  1.57518E-02,  1.57969E-02,  1.58268E-02,  1.58414E-02,  1.58403E-02,  1.58235E-02,  1.57913E-02,  1.57437E-02,  1.56813E-02,  1.56044E-02,  1.55136E-02,  1.54098E-02,  1.52935E-02,  1.51658E-02,  1.50276E-02,  1.48796E-02,  1.47230E-02,  1.45587E-02,  1.43877E-02,  1.42108E-02,  1.40290E-02,  1.38433E-02,  1.36543E-02,  1.34629E-02,  1.32698E-02,  1.30756E-02,  1.28811E-02,  1.26866E-02,  1.24927E-02,  1.22999E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.22333E-02,  1.24314E-02,  1.26315E-02,  1.28332E-02,  1.30361E-02,  1.32396E-02,  1.34434E-02,  1.36468E-02,  1.38492E-02,  1.40500E-02,  1.42483E-02,  1.44435E-02,  1.46345E-02,  1.48206E-02,  1.50008E-02,  1.51740E-02,  1.53393E-02,  1.54956E-02,  1.56418E-02,  1.57770E-02,  1.59001E-02,  1.60101E-02,  1.61063E-02,  1.61876E-02,  1.62535E-02,  1.63032E-02,  1.63364E-02,  1.63526E-02,  1.63516E-02,  1.63335E-02,  1.62983E-02,  1.62463E-02,  1.61780E-02,  1.60939E-02,  1.59946E-02,  1.58811E-02,  1.57542E-02,  1.56150E-02,  1.54643E-02,  1.53034E-02,  1.51333E-02,  1.49552E-02,  1.47700E-02,  1.45789E-02,  1.43829E-02,  1.41829E-02,  1.39799E-02,  1.37747E-02,  1.35680E-02,  1.33607E-02,  1.31532E-02,  1.29463E-02,  1.27405E-02,  1.25361E-02,  1.23336E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  1.22505E-02,  1.24572E-02,  1.26666E-02,  1.28784E-02,  1.30922E-02,  1.33077E-02,  1.35244E-02,  1.37417E-02,  1.39590E-02,  1.41758E-02,  1.43912E-02,  1.46044E-02,  1.48146E-02,  1.50209E-02,  1.52222E-02,  1.54174E-02,  1.56056E-02,  1.57854E-02,  1.59558E-02,  1.61156E-02,  1.62635E-02,  1.63984E-02,  1.65193E-02,  1.66250E-02,  1.67147E-02,  1.67873E-02,  1.68424E-02,  1.68792E-02,  1.68973E-02,  1.68966E-02,  1.68769E-02,  1.68384E-02,  1.67815E-02,  1.67065E-02,  1.66143E-02,  1.65055E-02,  1.63811E-02,  1.62422E-02,  1.60900E-02,  1.59255E-02,  1.57501E-02,  1.55650E-02,  1.53714E-02,  1.51707E-02,  1.49639E-02,  1.47522E-02,  1.45367E-02,  1.43183E-02,  1.40980E-02,  1.38767E-02,  1.36550E-02,  1.34338E-02,  1.32135E-02,  1.29948E-02,  1.27781E-02,  1.25638E-02,  1.23523E-02,NA,NA,NA,NA,NA,NA,NA,NA,
