NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28261E-02,  1.29240E-02,  1.30157E-02,  1.31004E-02,  1.31779E-02,  1.32475E-02,  1.33089E-02,  1.33616E-02,  1.34052E-02,  1.34396E-02,  1.34643E-02,  1.34792E-02,  1.34841E-02,  1.34790E-02,  1.34638E-02,  1.34386E-02,  1.34036E-02,  1.33589E-02,  1.33048E-02,  1.32417E-02,  1.31698E-02,  1.30897E-02,  1.30018E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.27868E-02,  1.29089E-02,  1.30261E-02,  1.31377E-02,  1.32432E-02,  1.33419E-02,  1.34334E-02,  1.35172E-02,  1.35925E-02,  1.36591E-02,  1.37163E-02,  1.37638E-02,  1.38012E-02,  1.38282E-02,  1.38446E-02,  1.38502E-02,  1.38449E-02,  1.38287E-02,  1.38016E-02,  1.37639E-02,  1.37157E-02,  1.36573E-02,  1.35891E-02,  1.35116E-02,  1.34252E-02,  1.33304E-02,  1.32278E-02,  1.31181E-02,  1.30018E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28108E-02,  1.29505E-02,  1.30861E-02,  1.32172E-02,  1.33431E-02,  1.34632E-02,  1.35769E-02,  1.36836E-02,  1.37825E-02,  1.38732E-02,  1.39549E-02,  1.40272E-02,  1.40895E-02,  1.41412E-02,  1.41821E-02,  1.42118E-02,  1.42298E-02,  1.42362E-02,  1.42307E-02,  1.42133E-02,  1.41842E-02,  1.41434E-02,  1.40913E-02,  1.40282E-02,  1.39545E-02,  1.38706E-02,  1.37772E-02,  1.36749E-02,  1.35642E-02,  1.34460E-02,  1.33207E-02,  1.31892E-02,  1.30522E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.27942E-02,  1.29499E-02,  1.31028E-02,  1.32523E-02,  1.33977E-02,  1.35385E-02,  1.36740E-02,  1.38035E-02,  1.39262E-02,  1.40415E-02,  1.41487E-02,  1.42470E-02,  1.43359E-02,  1.44145E-02,  1.44824E-02,  1.45390E-02,  1.45838E-02,  1.46163E-02,  1.46363E-02,  1.46436E-02,  1.46379E-02,  1.46193E-02,  1.45879E-02,  1.45438E-02,  1.44873E-02,  1.44189E-02,  1.43390E-02,  1.42482E-02,  1.41471E-02,  1.40363E-02,  1.39168E-02,  1.37891E-02,  1.36540E-02,  1.35124E-02,  1.33651E-02,  1.32127E-02,  1.30561E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.27376E-02,  1.29076E-02,  1.30760E-02,  1.32423E-02,  1.34059E-02,  1.35660E-02,  1.37222E-02,  1.38736E-02,  1.40196E-02,  1.41593E-02,  1.42920E-02,  1.44168E-02,  1.45331E-02,  1.46400E-02,  1.47367E-02,  1.48225E-02,  1.48967E-02,  1.49586E-02,  1.50078E-02,  1.50436E-02,  1.50658E-02,  1.50741E-02,  1.50682E-02,  1.50483E-02,  1.50143E-02,  1.49665E-02,  1.49052E-02,  1.48309E-02,  1.47442E-02,  1.46456E-02,  1.45359E-02,  1.44159E-02,  1.42864E-02,  1.41483E-02,  1.40025E-02,  1.38498E-02,  1.36911E-02,  1.35274E-02,  1.33593E-02,  1.31876E-02,  1.30132E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28250E-02,  1.30069E-02,  1.31880E-02,  1.33677E-02,  1.35454E-02,  1.37205E-02,  1.38923E-02,  1.40601E-02,  1.42231E-02,  1.43805E-02,  1.45315E-02,  1.46752E-02,  1.48106E-02,  1.49370E-02,  1.50534E-02,  1.51588E-02,  1.52526E-02,  1.53338E-02,  1.54018E-02,  1.54559E-02,  1.54955E-02,  1.55202E-02,  1.55296E-02,  1.55237E-02,  1.55022E-02,  1.54654E-02,  1.54135E-02,  1.53469E-02,  1.52660E-02,  1.51716E-02,  1.50643E-02,  1.49451E-02,  1.48147E-02,  1.46743E-02,  1.45247E-02,  1.43669E-02,  1.42020E-02,  1.40310E-02,  1.38547E-02,  1.36741E-02,  1.34901E-02,  1.33034E-02,  1.31148E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28978E-02,  1.30912E-02,  1.32847E-02,  1.34776E-02,  1.36694E-02,  1.38595E-02,  1.40471E-02,  1.42316E-02,  1.44121E-02,  1.45878E-02,  1.47578E-02,  1.49212E-02,  1.50769E-02,  1.52241E-02,  1.53617E-02,  1.54886E-02,  1.56039E-02,  1.57066E-02,  1.57957E-02,  1.58705E-02,  1.59302E-02,  1.59740E-02,  1.60016E-02,  1.60124E-02,  1.60063E-02,  1.59833E-02,  1.59433E-02,  1.58868E-02,  1.58141E-02,  1.57259E-02,  1.56229E-02,  1.55060E-02,  1.53761E-02,  1.52342E-02,  1.50816E-02,  1.49192E-02,  1.47483E-02,  1.45699E-02,  1.43852E-02,  1.41952E-02,  1.40010E-02,  1.38035E-02,  1.36035E-02,  1.34018E-02,  1.31994E-02,  1.29967E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.27517E-02,  1.29550E-02,  1.31597E-02,  1.33652E-02,  1.35710E-02,  1.37767E-02,  1.39816E-02,  1.41850E-02,  1.43862E-02,  1.45844E-02,  1.47787E-02,  1.49683E-02,  1.51521E-02,  1.53292E-02,  1.54983E-02,  1.56585E-02,  1.58085E-02,  1.59472E-02,  1.60734E-02,  1.61862E-02,  1.62842E-02,  1.63667E-02,  1.64327E-02,  1.64814E-02,  1.65122E-02,  1.65247E-02,  1.65185E-02,  1.64937E-02,  1.64502E-02,  1.63885E-02,  1.63091E-02,  1.62126E-02,  1.61000E-02,  1.59722E-02,  1.58304E-02,  1.56757E-02,  1.55095E-02,  1.53330E-02,  1.51475E-02,  1.49542E-02,  1.47545E-02,  1.45495E-02,  1.43404E-02,  1.41281E-02,  1.39137E-02,  1.36980E-02,  1.34818E-02,  1.32658E-02,  1.30507E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.27832E-02,  1.29963E-02,  1.32116E-02,  1.34286E-02,  1.36469E-02,  1.38660E-02,  1.40854E-02,  1.43043E-02,  1.45222E-02,  1.47381E-02,  1.49512E-02,  1.51607E-02,  1.53655E-02,  1.55645E-02,  1.57565E-02,  1.59405E-02,  1.61150E-02,  1.62789E-02,  1.64308E-02,  1.65693E-02,  1.66933E-02,  1.68015E-02,  1.68927E-02,  1.69659E-02,  1.70202E-02,  1.70547E-02,  1.70691E-02,  1.70629E-02,  1.70361E-02,  1.69887E-02,  1.69212E-02,  1.68342E-02,  1.67284E-02,  1.66050E-02,  1.64650E-02,  1.63098E-02,  1.61408E-02,  1.59594E-02,  1.57671E-02,  1.55654E-02,  1.53557E-02,  1.51395E-02,  1.49180E-02,  1.46926E-02,  1.44643E-02,  1.42342E-02,  1.40032E-02,  1.37723E-02,  1.35421E-02,  1.33133E-02,  1.30864E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.27989E-02,  1.30212E-02,  1.32464E-02,  1.34743E-02,  1.37045E-02,  1.39365E-02,  1.41698E-02,  1.44038E-02,  1.46379E-02,  1.48713E-02,  1.51032E-02,  1.53326E-02,  1.55586E-02,  1.57800E-02,  1.59956E-02,  1.62043E-02,  1.64046E-02,  1.65951E-02,  1.67745E-02,  1.69411E-02,  1.70935E-02,  1.72302E-02,  1.73498E-02,  1.74509E-02,  1.75323E-02,  1.75930E-02,  1.76319E-02,  1.76485E-02,  1.76423E-02,  1.76133E-02,  1.75616E-02,  1.74875E-02,  1.73919E-02,  1.72757E-02,  1.71400E-02,  1.69863E-02,  1.68161E-02,  1.66309E-02,  1.64326E-02,  1.62227E-02,  1.60030E-02,  1.57752E-02,  1.55407E-02,  1.53012E-02,  1.50579E-02,  1.48121E-02,  1.45650E-02,  1.43176E-02,  1.40708E-02,  1.38253E-02,  1.35819E-02,  1.33412E-02,  1.31035E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
