NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.19874E-02,  1.21053E-02,  1.22214E-02,  1.23354E-02,  1.24467E-02,  1.25547E-02,  1.26587E-02,  1.27580E-02,  1.28519E-02,  1.29396E-02,  1.30203E-02,  1.30932E-02,  1.31577E-02,  1.32129E-02,  1.32582E-02,  1.32931E-02,  1.33171E-02,  1.33298E-02,  1.33309E-02,  1.33204E-02,  1.32981E-02,  1.32643E-02,  1.32190E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.18265E-02,  1.19537E-02,  1.20807E-02,  1.22072E-02,  1.23328E-02,  1.24571E-02,  1.25796E-02,  1.26997E-02,  1.28166E-02,  1.29297E-02,  1.30382E-02,  1.31412E-02,  1.32378E-02,  1.33271E-02,  1.34082E-02,  1.34803E-02,  1.35424E-02,  1.35939E-02,  1.36340E-02,  1.36622E-02,  1.36780E-02,  1.36812E-02,  1.36715E-02,  1.36490E-02,  1.36137E-02,  1.35658E-02,  1.35059E-02,  1.34343E-02,  1.33516E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.17593E-02,  1.18924E-02,  1.20261E-02,  1.21602E-02,  1.22946E-02,  1.24289E-02,  1.25629E-02,  1.26959E-02,  1.28276E-02,  1.29572E-02,  1.30840E-02,  1.32072E-02,  1.33259E-02,  1.34391E-02,  1.35458E-02,  1.36449E-02,  1.37353E-02,  1.38162E-02,  1.38863E-02,  1.39449E-02,  1.39911E-02,  1.40243E-02,  1.40438E-02,  1.40495E-02,  1.40409E-02,  1.40182E-02,  1.39814E-02,  1.39308E-02,  1.38669E-02,  1.37902E-02,  1.37014E-02,  1.36013E-02,  1.34907E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.16713E-02,  1.18081E-02,  1.19462E-02,  1.20854E-02,  1.22258E-02,  1.23670E-02,  1.25091E-02,  1.26517E-02,  1.27944E-02,  1.29368E-02,  1.30784E-02,  1.32184E-02,  1.33560E-02,  1.34904E-02,  1.36205E-02,  1.37452E-02,  1.38633E-02,  1.39736E-02,  1.40748E-02,  1.41657E-02,  1.42451E-02,  1.43120E-02,  1.43654E-02,  1.44044E-02,  1.44284E-02,  1.44370E-02,  1.44300E-02,  1.44072E-02,  1.43689E-02,  1.43153E-02,  1.42471E-02,  1.41648E-02,  1.40692E-02,  1.39613E-02,  1.38420E-02,  1.37124E-02,  1.35735E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.15664E-02,  1.17056E-02,  1.18462E-02,  1.19884E-02,  1.21322E-02,  1.22776E-02,  1.24246E-02,  1.25731E-02,  1.27230E-02,  1.28741E-02,  1.30261E-02,  1.31785E-02,  1.33307E-02,  1.34821E-02,  1.36317E-02,  1.37785E-02,  1.39214E-02,  1.40590E-02,  1.41901E-02,  1.43132E-02,  1.44267E-02,  1.45293E-02,  1.46196E-02,  1.46962E-02,  1.47579E-02,  1.48038E-02,  1.48332E-02,  1.48455E-02,  1.48403E-02,  1.48177E-02,  1.47778E-02,  1.47210E-02,  1.46480E-02,  1.45594E-02,  1.44564E-02,  1.43398E-02,  1.42109E-02,  1.40708E-02,  1.39208E-02,  1.37621E-02,  1.35958E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.15886E-02,  1.17307E-02,  1.18743E-02,  1.20197E-02,  1.21670E-02,  1.23162E-02,  1.24676E-02,  1.26212E-02,  1.27770E-02,  1.29349E-02,  1.30948E-02,  1.32564E-02,  1.34194E-02,  1.35831E-02,  1.37468E-02,  1.39095E-02,  1.40701E-02,  1.42273E-02,  1.43797E-02,  1.45256E-02,  1.46633E-02,  1.47912E-02,  1.49073E-02,  1.50102E-02,  1.50982E-02,  1.51698E-02,  1.52240E-02,  1.52598E-02,  1.52764E-02,  1.52737E-02,  1.52515E-02,  1.52099E-02,  1.51496E-02,  1.50713E-02,  1.49758E-02,  1.48643E-02,  1.47381E-02,  1.45984E-02,  1.44467E-02,  1.42844E-02,  1.41128E-02,  1.39333E-02,  1.37473E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.16031E-02,  1.17474E-02,  1.18933E-02,  1.20410E-02,  1.21907E-02,  1.23427E-02,  1.24971E-02,  1.26542E-02,  1.28141E-02,  1.29770E-02,  1.31429E-02,  1.33118E-02,  1.34835E-02,  1.36575E-02,  1.38334E-02,  1.40105E-02,  1.41876E-02,  1.43635E-02,  1.45369E-02,  1.47059E-02,  1.48688E-02,  1.50234E-02,  1.51678E-02,  1.52999E-02,  1.54176E-02,  1.55189E-02,  1.56023E-02,  1.56663E-02,  1.57097E-02,  1.57318E-02,  1.57321E-02,  1.57105E-02,  1.56673E-02,  1.56032E-02,  1.55189E-02,  1.54157E-02,  1.52948E-02,  1.51577E-02,  1.50060E-02,  1.48413E-02,  1.46652E-02,  1.44794E-02,  1.42853E-02,  1.40846E-02,  1.38785E-02,  1.36685E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.14658E-02,  1.16105E-02,  1.17565E-02,  1.19041E-02,  1.20534E-02,  1.22047E-02,  1.23582E-02,  1.25144E-02,  1.26734E-02,  1.28357E-02,  1.30015E-02,  1.31712E-02,  1.33449E-02,  1.35228E-02,  1.37046E-02,  1.38903E-02,  1.40792E-02,  1.42706E-02,  1.44636E-02,  1.46566E-02,  1.48480E-02,  1.50360E-02,  1.52183E-02,  1.53926E-02,  1.55563E-02,  1.57069E-02,  1.58421E-02,  1.59593E-02,  1.60567E-02,  1.61324E-02,  1.61850E-02,  1.62136E-02,  1.62176E-02,  1.61970E-02,  1.61522E-02,  1.60838E-02,  1.59929E-02,  1.58810E-02,  1.57495E-02,  1.56002E-02,  1.54350E-02,  1.52557E-02,  1.50643E-02,  1.48626E-02,  1.46525E-02,  1.44354E-02,  1.42132E-02,  1.39871E-02,  1.37585E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.14653E-02,  1.16116E-02,  1.17591E-02,  1.19079E-02,  1.20582E-02,  1.22102E-02,  1.23644E-02,  1.25210E-02,  1.26806E-02,  1.28435E-02,  1.30102E-02,  1.31813E-02,  1.33572E-02,  1.35383E-02,  1.37248E-02,  1.39169E-02,  1.41145E-02,  1.43171E-02,  1.45240E-02,  1.47342E-02,  1.49462E-02,  1.51581E-02,  1.53677E-02,  1.55724E-02,  1.57694E-02,  1.59557E-02,  1.61283E-02,  1.62840E-02,  1.64202E-02,  1.65342E-02,  1.66239E-02,  1.66876E-02,  1.67241E-02,  1.67329E-02,  1.67137E-02,  1.66671E-02,  1.65940E-02,  1.64957E-02,  1.63738E-02,  1.62303E-02,  1.60673E-02,  1.58868E-02,  1.56912E-02,  1.54827E-02,  1.52634E-02,  1.50353E-02,  1.48004E-02,  1.45603E-02,  1.43167E-02,  1.40711E-02,  1.38247E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.14593E-02,  1.16071E-02,  1.17558E-02,  1.19056E-02,  1.20565E-02,  1.22088E-02,  1.23628E-02,  1.25190E-02,  1.26778E-02,  1.28397E-02,  1.30054E-02,  1.31756E-02,  1.33509E-02,  1.35321E-02,  1.37198E-02,  1.39145E-02,  1.41166E-02,  1.43262E-02,  1.45430E-02,  1.47665E-02,  1.49955E-02,  1.52286E-02,  1.54635E-02,  1.56978E-02,  1.59284E-02,  1.61519E-02,  1.63648E-02,  1.65633E-02,  1.67436E-02,  1.69024E-02,  1.70364E-02,  1.71429E-02,  1.72200E-02,  1.72662E-02,  1.72806E-02,  1.72634E-02,  1.72150E-02,  1.71366E-02,  1.70298E-02,  1.68967E-02,  1.67395E-02,  1.65608E-02,  1.63631E-02,  1.61492E-02,  1.59214E-02,  1.56824E-02,  1.54345E-02,  1.51797E-02,  1.49201E-02,  1.46574E-02,  1.43932E-02,  1.41289E-02,  1.38655E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.14481E-02,  1.15975E-02,  1.17475E-02,  1.18981E-02,  1.20495E-02,  1.22018E-02,  1.23552E-02,  1.25103E-02,  1.26673E-02,  1.28270E-02,  1.29900E-02,  1.31571E-02,  1.33292E-02,  1.35073E-02,  1.36925E-02,  1.38856E-02,  1.40875E-02,  1.42990E-02,  1.45205E-02,  1.47519E-02,  1.49928E-02,  1.52423E-02,  1.54986E-02,  1.57595E-02,  1.60221E-02,  1.62827E-02,  1.65374E-02,  1.67817E-02,  1.70110E-02,  1.72207E-02,  1.74065E-02,  1.75646E-02,  1.76915E-02,  1.77848E-02,  1.78426E-02,  1.78642E-02,  1.78495E-02,  1.77991E-02,  1.77147E-02,  1.75982E-02,  1.74522E-02,  1.72794E-02,  1.70828E-02,  1.68656E-02,  1.66308E-02,  1.63816E-02,  1.61206E-02,  1.58505E-02,  1.55739E-02,  1.52928E-02,  1.50092E-02,  1.47248E-02,  1.44411E-02,  1.41593E-02,  1.38804E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  1.14321E-02,  1.15832E-02,  1.17346E-02,  1.18862E-02,  1.20381E-02,  1.21904E-02,  1.23432E-02,  1.24968E-02,  1.26516E-02,  1.28081E-02,  1.29671E-02,  1.31294E-02,  1.32961E-02,  1.34682E-02,  1.36472E-02,  1.38344E-02,  1.40311E-02,  1.42388E-02,  1.44585E-02,  1.46912E-02,  1.49371E-02,  1.51963E-02,  1.54677E-02,  1.57498E-02,  1.60401E-02,  1.63352E-02,  1.66308E-02,  1.69221E-02,  1.72036E-02,  1.74698E-02,  1.77148E-02,  1.79334E-02,  1.81205E-02,  1.82721E-02,  1.83850E-02,  1.84570E-02,  1.84873E-02,  1.84757E-02,  1.84233E-02,  1.83319E-02,  1.82042E-02,  1.80432E-02,  1.78524E-02,  1.76354E-02,  1.73959E-02,  1.71376E-02,  1.68641E-02,  1.65785E-02,  1.62838E-02,  1.59830E-02,  1.56783E-02,  1.53718E-02,  1.50655E-02,  1.47609E-02,  1.44592E-02,  1.41616E-02,  1.38689E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  1.14112E-02,  1.15643E-02,  1.17174E-02,  1.18704E-02,  1.20232E-02,  1.21757E-02,  1.23280E-02,  1.24802E-02,  1.26326E-02,  1.27857E-02,  1.29401E-02,  1.30964E-02,  1.32559E-02,  1.34198E-02,  1.35894E-02,  1.37666E-02,  1.39532E-02,  1.41511E-02,  1.43622E-02,  1.45882E-02,  1.48308E-02,  1.50908E-02,  1.53685E-02,  1.56634E-02,  1.59739E-02,  1.62973E-02,  1.66298E-02,  1.69662E-02,  1.73008E-02,  1.76269E-02,  1.79374E-02,  1.82251E-02,  1.84833E-02,  1.87057E-02,  1.88873E-02,  1.90241E-02,  1.91134E-02,  1.91542E-02,  1.91465E-02,  1.90917E-02,  1.89923E-02,  1.88514E-02,  1.86730E-02,  1.84614E-02,  1.82208E-02,  1.79559E-02,  1.76709E-02,  1.73699E-02,  1.70567E-02,  1.67348E-02,  1.64071E-02,  1.60765E-02,  1.57451E-02,  1.54150E-02,  1.50878E-02,  1.47649E-02,  1.44473E-02,  1.41358E-02,  1.38313E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  1.15409E-02,  1.16961E-02,  1.18508E-02,  1.20049E-02,  1.21582E-02,  1.23105E-02,  1.24618E-02,  1.26123E-02,  1.27621E-02,  1.29118E-02,  1.30618E-02,  1.32132E-02,  1.33672E-02,  1.35252E-02,  1.36892E-02,  1.38611E-02,  1.40435E-02,  1.42390E-02,  1.44503E-02,  1.46799E-02,  1.49302E-02,  1.52029E-02,  1.54991E-02,  1.58187E-02,  1.61602E-02,  1.65209E-02,  1.68964E-02,  1.72808E-02,  1.76669E-02,  1.80465E-02,  1.84105E-02,  1.87501E-02,  1.90566E-02,  1.93222E-02,  1.95404E-02,  1.97062E-02,  1.98165E-02,  1.98700E-02,  1.98670E-02,  1.98094E-02,  1.97003E-02,  1.95440E-02,  1.93452E-02,  1.91093E-02,  1.88415E-02,  1.85474E-02,  1.82319E-02,  1.79000E-02,  1.75559E-02,  1.72035E-02,  1.68463E-02,  1.64871E-02,  1.61286E-02,  1.57728E-02,  1.54213E-02,  1.50755E-02,  1.47366E-02,  1.44054E-02,  1.40824E-02,  1.37681E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  1.15128E-02,  1.16704E-02,  1.18275E-02,  1.19835E-02,  1.21382E-02,  1.22913E-02,  1.24425E-02,  1.25918E-02,  1.27392E-02,  1.28847E-02,  1.30288E-02,  1.31722E-02,  1.33158E-02,  1.34609E-02,  1.36094E-02,  1.37635E-02,  1.39257E-02,  1.40993E-02,  1.42877E-02,  1.44945E-02,  1.47235E-02,  1.49781E-02,  1.52612E-02,  1.55748E-02,  1.59197E-02,  1.62949E-02,  1.66976E-02,  1.71229E-02,  1.75638E-02,  1.80114E-02,  1.84554E-02,  1.88847E-02,  1.92878E-02,  1.96535E-02,  1.99720E-02,  2.02349E-02,  2.04362E-02,  2.05721E-02,  2.06409E-02,  2.06433E-02,  2.05821E-02,  2.04614E-02,  2.02865E-02,  2.00636E-02,  1.97992E-02,  1.94999E-02,  1.91721E-02,  1.88220E-02,  1.84550E-02,  1.80762E-02,  1.76899E-02,  1.73000E-02,  1.69097E-02,  1.65216E-02,  1.61379E-02,  1.57603E-02,  1.53903E-02,  1.50289E-02,  1.46767E-02,  1.43344E-02,  1.40023E-02,  1.36805E-02,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  1.14795E-02,  1.16401E-02,  1.17999E-02,  1.19586E-02,  1.21155E-02,  1.22703E-02,  1.24225E-02,  1.25718E-02,  1.27179E-02,  1.28606E-02,  1.30000E-02,  1.31362E-02,  1.32701E-02,  1.34024E-02,  1.35348E-02,  1.36692E-02,  1.38082E-02,  1.39550E-02,  1.41137E-02,  1.42886E-02,  1.44847E-02,  1.47071E-02,  1.49609E-02,  1.52504E-02,  1.55793E-02,  1.59495E-02,  1.63607E-02,  1.68104E-02,  1.72932E-02,  1.78008E-02,  1.83223E-02,  1.88448E-02,  1.93540E-02,  1.98351E-02,  2.02738E-02,  2.06574E-02,  2.09755E-02,  2.12201E-02,  2.13868E-02,  2.14738E-02,  2.14825E-02,  2.14165E-02,  2.12814E-02,  2.10841E-02,  2.08324E-02,  2.05345E-02,  2.01984E-02,  1.98318E-02,  1.94420E-02,  1.90353E-02,  1.86176E-02,  1.81936E-02,  1.77677E-02,  1.73432E-02,  1.69231E-02,  1.65094E-02,  1.61040E-02,  1.57082E-02,  1.53229E-02,  1.49488E-02,  1.45864E-02,  1.42357E-02,  1.38970E-02,NA,NA,NA,NA,NA,
NA,NA,NA,NA,  1.14408E-02,  1.16046E-02,  1.17678E-02,  1.19296E-02,  1.20896E-02,  1.22472E-02,  1.24016E-02,  1.25523E-02,  1.26986E-02,  1.28402E-02,  1.29766E-02,  1.31077E-02,  1.32335E-02,  1.33545E-02,  1.34717E-02,  1.35866E-02,  1.37013E-02,  1.38189E-02,  1.39432E-02,  1.40791E-02,  1.42322E-02,  1.44091E-02,  1.46168E-02,  1.48622E-02,  1.51521E-02,  1.54922E-02,  1.58862E-02,  1.63353E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.17674E-02,  2.20651E-02,  2.22690E-02,  2.23776E-02,  2.23930E-02,  2.23204E-02,  2.21672E-02,  2.19425E-02,  2.16563E-02,  2.13186E-02,  2.09394E-02,  2.05279E-02,  2.00927E-02,  1.96411E-02,  1.91797E-02,  1.87140E-02,  1.82484E-02,  1.77867E-02,  1.73318E-02,  1.68860E-02,  1.64509E-02,  1.60277E-02,  1.56174E-02,  1.52205E-02,  1.48371E-02,  1.44673E-02,  1.41112E-02,  1.37684E-02,NA,NA,NA,NA,
