NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.68374E-02, -3.74233E-02, -3.79799E-02, -3.85013E-02, -3.89816E-02, -3.94149E-02, -3.97955E-02, -4.01179E-02, -4.03774E-02, -4.05700E-02, -4.06925E-02, -4.07427E-02, -4.07197E-02, -4.06237E-02, -4.04561E-02, -4.02193E-02, -3.99169E-02, -3.95532E-02, -3.91334E-02, -3.86630E-02, -3.81481E-02, -3.75946E-02, -3.70087E-02, -3.63962E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.66579E-02, -3.73444E-02, -3.80128E-02, -3.86572E-02, -3.92712E-02, -3.98481E-02, -4.03811E-02, -4.08632E-02, -4.12877E-02, -4.16482E-02, -4.19389E-02, -4.21551E-02, -4.22929E-02, -4.23498E-02, -4.23244E-02, -4.22171E-02, -4.20296E-02, -4.17648E-02, -4.14269E-02, -4.10212E-02, -4.05538E-02, -4.00314E-02, -3.94608E-02, -3.88494E-02, -3.82040E-02, -3.75315E-02, -3.68382E-02, -3.61301E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.62282E-02, -3.69960E-02, -3.77578E-02, -3.85084E-02, -3.92418E-02, -3.99512E-02, -4.06294E-02, -4.12688E-02, -4.18613E-02, -4.23989E-02, -4.28735E-02, -4.32775E-02, -4.36042E-02, -4.38476E-02, -4.40030E-02, -4.40675E-02, -4.40394E-02, -4.39192E-02, -4.37087E-02, -4.34116E-02, -4.30331E-02, -4.25794E-02, -4.20579E-02, -4.14763E-02, -4.08431E-02, -4.01665E-02, -3.94547E-02, -3.87154E-02, -3.79559E-02, -3.71828E-02, -3.64021E-02, -3.56190E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.64019E-02, -3.72342E-02, -3.80680E-02, -3.88984E-02, -3.97196E-02, -4.05247E-02, -4.13064E-02, -4.20565E-02, -4.27661E-02, -4.34259E-02, -4.40264E-02, -4.45582E-02, -4.50122E-02, -4.53800E-02, -4.56547E-02, -4.58306E-02, -4.59039E-02, -4.58727E-02, -4.57375E-02, -4.55006E-02, -4.51664E-02, -4.47412E-02, -4.42326E-02, -4.36493E-02, -4.30008E-02, -4.22968E-02, -4.15471E-02, -4.07610E-02, -3.99476E-02, -3.91151E-02, -3.82708E-02, -3.74213E-02, -3.65722E-02, -3.57284E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.64763E-02, -3.73673E-02, -3.82677E-02, -3.91732E-02, -4.00783E-02, -4.09767E-02, -4.18611E-02, -4.27231E-02, -4.35533E-02, -4.43418E-02, -4.50776E-02, -4.57496E-02, -4.63466E-02, -4.68577E-02, -4.72729E-02, -4.75837E-02, -4.77832E-02, -4.78666E-02, -4.78319E-02, -4.76793E-02, -4.74119E-02, -4.70350E-02, -4.65562E-02, -4.59847E-02, -4.53311E-02, -4.46066E-02, -4.38228E-02, -4.29910E-02, -4.21223E-02, -4.12268E-02, -4.03139E-02, -3.93917E-02, -3.84674E-02, -3.75471E-02, -3.66360E-02, -3.57382E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.64503E-02, -3.73926E-02, -3.83525E-02, -3.93261E-02, -4.03089E-02, -4.12951E-02, -4.22780E-02, -4.32494E-02, -4.42002E-02, -4.51197E-02, -4.59965E-02, -4.68179E-02, -4.75709E-02, -4.82421E-02, -4.88186E-02, -4.92883E-02, -4.96407E-02, -4.98674E-02, -4.99626E-02, -4.99236E-02, -4.97510E-02, -4.94483E-02, -4.90222E-02, -4.84819E-02, -4.78385E-02, -4.71048E-02, -4.62943E-02, -4.54206E-02, -4.44971E-02, -4.35365E-02, -4.25504E-02, -4.15493E-02, -4.05423E-02, -3.95371E-02, -3.85403E-02, -3.75573E-02, -3.65922E-02, -3.56483E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.63251E-02, -3.73104E-02, -3.83210E-02, -3.93539E-02, -4.04057E-02, -4.14714E-02, -4.25453E-02, -4.36199E-02, -4.46866E-02, -4.57351E-02, -4.67537E-02, -4.77290E-02, -4.86466E-02, -4.94911E-02, -5.02467E-02, -5.08978E-02, -5.14298E-02, -5.18300E-02, -5.20880E-02, -5.21967E-02, -5.21529E-02, -5.19571E-02, -5.16137E-02, -5.11309E-02, -5.05200E-02, -4.97945E-02, -4.89699E-02, -4.80623E-02, -4.70877E-02, -4.60620E-02, -4.49998E-02, -4.39142E-02, -4.28169E-02, -4.17180E-02, -4.06258E-02, -3.95472E-02, -3.84878E-02, -3.74517E-02, -3.64421E-02, -3.54614E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.61043E-02, -3.71234E-02, -3.81749E-02, -3.92570E-02, -4.03671E-02, -4.15017E-02, -4.26559E-02, -4.38238E-02, -4.49976E-02, -4.61679E-02, -4.73235E-02, -4.84512E-02, -4.95359E-02, -5.05609E-02, -5.15083E-02, -5.23592E-02, -5.30951E-02, -5.36982E-02, -5.41530E-02, -5.44468E-02, -5.45710E-02, -5.45214E-02, -5.42987E-02, -5.39085E-02, -5.33607E-02, -5.26692E-02, -5.18504E-02, -5.09230E-02, -4.99062E-02, -4.88192E-02, -4.76802E-02, -4.65061E-02, -4.53118E-02, -4.41103E-02, -4.29125E-02, -4.17274E-02, -4.05621E-02, -3.94221E-02, -3.83117E-02, -3.72337E-02, -3.61903E-02, -3.51824E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.57936E-02, -3.68369E-02, -3.79189E-02, -3.90389E-02, -4.01955E-02, -4.13864E-02, -4.26082E-02, -4.38561E-02, -4.51241E-02, -4.64042E-02, -4.76862E-02, -4.89581E-02, -5.02051E-02, -5.14102E-02, -5.25544E-02, -5.36165E-02, -5.45744E-02, -5.54058E-02, -5.60894E-02, -5.66061E-02, -5.69406E-02, -5.70822E-02, -5.70258E-02, -5.67722E-02, -5.63284E-02, -5.57064E-02, -5.49233E-02, -5.39992E-02, -5.29563E-02, -5.18178E-02, -5.06061E-02, -4.93425E-02, -4.80464E-02, -4.67345E-02, -4.54210E-02, -4.41179E-02, -4.28344E-02, -4.15779E-02, -4.03539E-02, -3.91663E-02, -3.80178E-02, -3.69099E-02, -3.58433E-02, -3.48183E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.64581E-02, -3.75602E-02, -3.87067E-02, -3.98971E-02, -4.11307E-02, -4.24053E-02, -4.37180E-02, -4.50642E-02, -4.64378E-02, -4.78305E-02, -4.92318E-02, -5.06286E-02, -5.20046E-02, -5.33410E-02, -5.46157E-02, -5.58043E-02, -5.68809E-02, -5.78187E-02, -5.85922E-02, -5.91783E-02, -5.95583E-02, -5.97191E-02, -5.96545E-02, -5.93657E-02, -5.88610E-02, -5.81554E-02, -5.72694E-02, -5.62275E-02, -5.50563E-02, -5.37833E-02, -5.24351E-02, -5.10361E-02, -4.96083E-02, -4.81705E-02, -4.67381E-02, -4.53239E-02, -4.39375E-02, -4.25863E-02, -4.12755E-02, -4.00088E-02, -3.87881E-02, -3.76148E-02, -3.64889E-02, -3.54102E-02, -3.43775E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
