NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.95161E-02, -7.04559E-02, -7.14045E-02, -7.23608E-02, -7.33234E-02, -7.42906E-02, -7.52607E-02, -7.62317E-02, -7.72015E-02, -7.81674E-02, -7.91268E-02, -8.00767E-02, -8.10140E-02, -8.19352E-02, -8.28366E-02, -8.37143E-02, -8.45644E-02, -8.53825E-02, -8.61645E-02, -8.69058E-02, -8.76022E-02, -8.82493E-02, -8.88430E-02, -8.93793E-02, -8.98545E-02, -9.02651E-02, -9.06082E-02, -9.08814E-02, -9.10826E-02, -9.12104E-02, -9.12640E-02, -9.12431E-02, -9.11481E-02, -9.09800E-02, -9.07402E-02, -9.04310E-02, -9.00548E-02, -8.96146E-02, -8.91138E-02, -8.85559E-02, -8.79449E-02, -8.72849E-02, -8.65798E-02, -8.58340E-02, -8.50515E-02, -8.42365E-02, -8.33929E-02, -8.25246E-02, -8.16353E-02, -8.07284E-02, -7.98072E-02, -7.88749E-02, -7.79342E-02, -7.69878E-02, -7.60380E-02, -7.50872E-02, -7.41372E-02, -7.31898E-02, -7.22467E-02, -7.13093E-02, -7.03789E-02, -6.94565E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -6.96214E-02, -7.05958E-02, -7.15819E-02, -7.25789E-02, -7.35855E-02, -7.46004E-02, -7.56218E-02, -7.66481E-02, -7.76771E-02, -7.87065E-02, -7.97338E-02, -8.07559E-02, -8.17699E-02, -8.27721E-02, -8.37589E-02, -8.47263E-02, -8.56700E-02, -8.65855E-02, -8.74681E-02, -8.83130E-02, -8.91153E-02, -8.98700E-02, -9.05722E-02, -9.12171E-02, -9.18003E-02, -9.23173E-02, -9.27644E-02, -9.31381E-02, -9.34355E-02, -9.36543E-02, -9.37929E-02, -9.38502E-02, -9.38261E-02, -9.37210E-02, -9.35361E-02, -9.32730E-02, -9.29343E-02, -9.25230E-02, -9.20423E-02, -9.14963E-02, -9.08892E-02, -9.02252E-02, -8.95091E-02, -8.87455E-02, -8.79391E-02, -8.70946E-02, -8.62166E-02, -8.53095E-02, -8.43776E-02, -8.34248E-02, -8.24550E-02, -8.14718E-02, -8.04784E-02, -7.94778E-02, -7.84729E-02, -7.74663E-02, -7.64601E-02, -7.54565E-02, -7.44573E-02, -7.34641E-02, -7.24784E-02, -7.15014E-02, -7.05342E-02, -6.95779E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -6.96665E-02, -7.06727E-02, -7.16937E-02, -7.27286E-02, -7.37766E-02, -7.48363E-02, -7.59066E-02, -7.69857E-02, -7.80718E-02, -7.91627E-02, -8.02562E-02, -8.13494E-02, -8.24393E-02, -8.35225E-02, -8.45953E-02, -8.56537E-02, -8.66933E-02, -8.77093E-02, -8.86968E-02, -8.96505E-02, -9.05651E-02, -9.14350E-02, -9.22545E-02, -9.30182E-02, -9.37204E-02, -9.43560E-02, -9.49201E-02, -9.54081E-02, -9.58161E-02, -9.61407E-02, -9.63793E-02, -9.65299E-02, -9.65914E-02, -9.65635E-02, -9.64469E-02, -9.62428E-02, -9.59533E-02, -9.55813E-02, -9.51303E-02, -9.46042E-02, -9.40075E-02, -9.33451E-02, -9.26220E-02, -9.18435E-02, -9.10149E-02, -9.01416E-02, -8.92288E-02, -8.82816E-02, -8.73049E-02, -8.63034E-02, -8.52815E-02, -8.42435E-02, -8.31930E-02, -8.21337E-02, -8.10688E-02, -8.00013E-02, -7.89338E-02, -7.78686E-02, -7.68080E-02, -7.57538E-02, -7.47076E-02, -7.36709E-02, -7.26450E-02, -7.16309E-02, -7.06295E-02, -6.96416E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -6.96516E-02, -7.06867E-02, -7.17394E-02, -7.28092E-02, -7.38953E-02, -7.49968E-02, -7.61127E-02, -7.72416E-02, -7.83818E-02, -7.95317E-02, -8.06889E-02, -8.18510E-02, -8.30151E-02, -8.41782E-02, -8.53365E-02, -8.64860E-02, -8.76225E-02, -8.87410E-02, -8.98364E-02, -9.09033E-02, -9.19357E-02, -9.29276E-02, -9.38727E-02, -9.47646E-02, -9.55970E-02, -9.63635E-02, -9.70580E-02, -9.76750E-02, -9.82091E-02, -9.86557E-02, -9.90110E-02, -9.92718E-02, -9.94358E-02, -9.95019E-02, -9.94696E-02, -9.93397E-02, -9.91137E-02, -9.87942E-02, -9.83844E-02, -9.78885E-02, -9.73111E-02, -9.66574E-02, -9.59330E-02, -9.51438E-02, -9.42957E-02, -9.33949E-02, -9.24474E-02, -9.14591E-02, -9.04356E-02, -8.93826E-02, -8.83051E-02, -8.72080E-02, -8.60958E-02, -8.49726E-02, -8.38422E-02, -8.27081E-02, -8.15734E-02, -8.04408E-02, -7.93129E-02, -7.81917E-02, -7.70792E-02, -7.59770E-02, -7.48867E-02, -7.38093E-02, -7.27459E-02, -7.16973E-02, -7.06644E-02, -6.96476E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -6.85373E-02, -6.95774E-02, -7.06382E-02, -7.17193E-02, -7.28205E-02, -7.39413E-02, -7.50810E-02, -7.62389E-02, -7.74139E-02, -7.86048E-02, -7.98100E-02, -8.10276E-02, -8.22556E-02, -8.34913E-02, -8.47318E-02, -8.59738E-02, -8.72134E-02, -8.84464E-02, -8.96681E-02, -9.08732E-02, -9.20560E-02, -9.32105E-02, -9.43301E-02, -9.54079E-02, -9.64369E-02, -9.74097E-02, -9.83191E-02, -9.91578E-02, -9.99188E-02, -1.00596E-01, -1.01182E-01, -1.01672E-01, -1.02062E-01, -1.02348E-01, -1.02527E-01, -1.02598E-01, -1.02561E-01, -1.02415E-01, -1.02164E-01, -1.01811E-01, -1.01358E-01, -1.00811E-01, -1.00175E-01, -9.94573E-02, -9.86631E-02, -9.77997E-02, -9.68739E-02, -9.58926E-02, -9.48627E-02, -9.37908E-02, -9.26834E-02, -9.15465E-02, -9.03858E-02, -8.92066E-02, -8.80139E-02, -8.68119E-02, -8.56049E-02, -8.43964E-02, -8.31897E-02, -8.19876E-02, -8.07928E-02, -7.96073E-02, -7.84331E-02, -7.72719E-02, -7.61249E-02, -7.49935E-02, -7.38785E-02, -7.27807E-02, -7.17008E-02, -7.06392E-02, -6.95964E-02, -6.85725E-02,NA,NA,NA,NA,
NA,NA,NA,NA, -6.94452E-02, -7.05282E-02, -7.16343E-02, -7.27632E-02, -7.39148E-02, -7.50889E-02, -7.62847E-02, -7.75018E-02, -7.87391E-02, -7.99955E-02, -8.12694E-02, -8.25592E-02, -8.38627E-02, -8.51772E-02, -8.64998E-02, -8.78270E-02, -8.91548E-02, -9.04786E-02, -9.17934E-02, -9.30934E-02, -9.43725E-02, -9.56239E-02, -9.68402E-02, -9.80138E-02, -9.91365E-02, -1.00200E-01, -1.01196E-01, -1.02116E-01, -1.02953E-01, -1.03697E-01, -1.04342E-01, -1.04882E-01, -1.05312E-01, -1.05626E-01, -1.05822E-01, -1.05899E-01, -1.05855E-01, -1.05692E-01, -1.05412E-01, -1.05019E-01, -1.04517E-01, -1.03912E-01, -1.03210E-01, -1.02420E-01, -1.01547E-01, -1.00600E-01, -9.95867E-02, -9.85156E-02, -9.73941E-02, -9.62297E-02, -9.50296E-02, -9.38005E-02, -9.25487E-02, -9.12800E-02, -8.99996E-02, -8.87124E-02, -8.74227E-02, -8.61342E-02, -8.48504E-02, -8.35742E-02, -8.23081E-02, -8.10544E-02, -7.98150E-02, -7.85914E-02, -7.73850E-02, -7.61968E-02, -7.50278E-02, -7.38786E-02, -7.27498E-02, -7.16417E-02, -7.05547E-02, -6.94887E-02,NA,NA,NA,NA,
NA,NA,NA, -6.92564E-02, -7.03584E-02, -7.14857E-02, -7.26386E-02, -7.38170E-02, -7.50211E-02, -7.62506E-02, -7.75051E-02, -7.87842E-02, -8.00870E-02, -8.14124E-02, -8.27592E-02, -8.41257E-02, -8.55096E-02, -8.69085E-02, -8.83194E-02, -8.97385E-02, -9.11619E-02, -9.25845E-02, -9.40011E-02, -9.54054E-02, -9.67906E-02, -9.81492E-02, -9.94731E-02, -1.00754E-01, -1.01981E-01, -1.03147E-01, -1.04241E-01, -1.05254E-01, -1.06175E-01, -1.06996E-01, -1.07709E-01, -1.08306E-01, -1.08780E-01, -1.09127E-01, -1.09342E-01, -1.09425E-01, -1.09373E-01, -1.09190E-01, -1.08877E-01, -1.08438E-01, -1.07880E-01, -1.07208E-01, -1.06431E-01, -1.05558E-01, -1.04596E-01, -1.03555E-01, -1.02444E-01, -1.01272E-01, -1.00048E-01, -9.87813E-02, -9.74787E-02, -9.61482E-02, -9.47966E-02, -9.34302E-02, -9.20547E-02, -9.06752E-02, -8.92962E-02, -8.79218E-02, -8.65554E-02, -8.52001E-02, -8.38583E-02, -8.25323E-02, -8.12240E-02, -7.99347E-02, -7.86658E-02, -7.74183E-02, -7.61929E-02, -7.49901E-02, -7.38104E-02, -7.26541E-02, -7.15212E-02, -7.04119E-02, -6.93260E-02,NA,NA,NA,
NA,NA, -6.90133E-02, -7.01307E-02, -7.12756E-02, -7.24484E-02, -7.36496E-02, -7.48793E-02, -7.61378E-02, -7.74249E-02, -7.87406E-02, -8.00845E-02, -8.14560E-02, -8.28543E-02, -8.42780E-02, -8.57258E-02, -8.71955E-02, -8.86846E-02, -9.01902E-02, -9.17086E-02, -9.32355E-02, -9.47658E-02, -9.62936E-02, -9.78125E-02, -9.93148E-02, -1.00792E-01, -1.02236E-01, -1.03636E-01, -1.04982E-01, -1.06263E-01, -1.07468E-01, -1.08585E-01, -1.09603E-01, -1.10513E-01, -1.11302E-01, -1.11964E-01, -1.12490E-01, -1.12874E-01, -1.13111E-01, -1.13200E-01, -1.13140E-01, -1.12932E-01, -1.12580E-01, -1.12089E-01, -1.11466E-01, -1.10718E-01, -1.09855E-01, -1.08887E-01, -1.07824E-01, -1.06676E-01, -1.05455E-01, -1.04170E-01, -1.02833E-01, -1.01452E-01, -1.00036E-01, -9.85934E-02, -9.71324E-02, -9.56593E-02, -9.41804E-02, -9.27010E-02, -9.12259E-02, -8.97592E-02, -8.83045E-02, -8.68648E-02, -8.54426E-02, -8.40401E-02, -8.26590E-02, -8.13007E-02, -7.99663E-02, -7.86567E-02, -7.73724E-02, -7.61138E-02, -7.48814E-02, -7.36750E-02, -7.24949E-02, -7.13407E-02, -7.02124E-02, -6.91096E-02,NA,NA,
NA, -6.87182E-02, -6.98475E-02, -7.10063E-02, -7.21953E-02, -7.34149E-02, -7.46658E-02, -7.59484E-02, -7.72630E-02, -7.86100E-02, -7.99894E-02, -8.14010E-02, -8.28444E-02, -8.43192E-02, -8.58241E-02, -8.73580E-02, -8.89189E-02, -9.05045E-02, -9.21117E-02, -9.37371E-02, -9.53761E-02, -9.70235E-02, -9.86731E-02, -1.00318E-01, -1.01950E-01, -1.03559E-01, -1.05137E-01, -1.06671E-01, -1.08150E-01, -1.09561E-01, -1.10891E-01, -1.12128E-01, -1.13258E-01, -1.14268E-01, -1.15146E-01, -1.15882E-01, -1.16467E-01, -1.16894E-01, -1.17157E-01, -1.17253E-01, -1.17182E-01, -1.16945E-01, -1.16548E-01, -1.15996E-01, -1.15297E-01, -1.14461E-01, -1.13500E-01, -1.12423E-01, -1.11245E-01, -1.09976E-01, -1.08631E-01, -1.07220E-01, -1.05755E-01, -1.04246E-01, -1.02705E-01, -1.01140E-01, -9.95585E-02, -9.79690E-02, -9.63777E-02, -9.47903E-02, -9.32116E-02, -9.16459E-02, -9.00969E-02, -8.85674E-02, -8.70599E-02, -8.55766E-02, -8.41189E-02, -8.26880E-02, -8.12850E-02, -7.99105E-02, -7.85649E-02, -7.72485E-02, -7.59613E-02, -7.47033E-02, -7.34743E-02, -7.22740E-02, -7.11021E-02, -6.99582E-02, -6.88418E-02,NA,
 -6.83738E-02, -6.95117E-02, -7.06808E-02, -7.18819E-02, -7.31158E-02, -7.43833E-02, -7.56852E-02, -7.70222E-02, -7.83949E-02, -7.98038E-02, -8.12492E-02, -8.27313E-02, -8.42500E-02, -8.58049E-02, -8.73953E-02, -8.90202E-02, -9.06780E-02, -9.23664E-02, -9.40826E-02, -9.58231E-02, -9.75835E-02, -9.93583E-02, -1.01141E-01, -1.02924E-01, -1.04699E-01, -1.06456E-01, -1.08182E-01, -1.09867E-01, -1.11496E-01, -1.13055E-01, -1.14529E-01, -1.15902E-01, -1.17160E-01, -1.18286E-01, -1.19266E-01, -1.20089E-01, -1.20743E-01, -1.21218E-01, -1.21510E-01, -1.21614E-01, -1.21530E-01, -1.21260E-01, -1.20810E-01, -1.20186E-01, -1.19400E-01, -1.18462E-01, -1.17386E-01, -1.16185E-01, -1.14875E-01, -1.13469E-01, -1.11983E-01, -1.10429E-01, -1.08821E-01, -1.07172E-01, -1.05491E-01, -1.03790E-01, -1.02077E-01, -1.00361E-01, -9.86473E-02, -9.69430E-02, -9.52529E-02, -9.35811E-02, -9.19314E-02, -9.03065E-02, -8.87088E-02, -8.71400E-02, -8.56018E-02, -8.40949E-02, -8.26202E-02, -8.11781E-02, -7.97688E-02, -7.83924E-02, -7.70486E-02, -7.57373E-02, -7.44580E-02, -7.32104E-02, -7.19938E-02, -7.08078E-02, -6.96516E-02, -6.85245E-02,
