NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.16090E-02,  4.16884E-02,  4.17452E-02,  4.17793E-02,  4.17907E-02,  4.17794E-02,  4.17456E-02,  4.16896E-02,  4.16117E-02,  4.15124E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.17724E-02,  4.19703E-02,  4.21467E-02,  4.23007E-02,  4.24318E-02,  4.25395E-02,  4.26234E-02,  4.26833E-02,  4.27189E-02,  4.27304E-02,  4.27177E-02,  4.26811E-02,  4.26209E-02,  4.25375E-02,  4.24313E-02,  4.23030E-02,  4.21530E-02,  4.19822E-02,  4.17913E-02,  4.15811E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.19336E-02,  4.22072E-02,  4.24608E-02,  4.26933E-02,  4.29036E-02,  4.30909E-02,  4.32544E-02,  4.33935E-02,  4.35075E-02,  4.35962E-02,  4.36592E-02,  4.36965E-02,  4.37079E-02,  4.36936E-02,  4.36539E-02,  4.35891E-02,  4.34997E-02,  4.33861E-02,  4.32490E-02,  4.30891E-02,  4.29072E-02,  4.27040E-02,  4.24806E-02,  4.22377E-02,  4.19763E-02,  4.16974E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.22020E-02,  4.25316E-02,  4.28425E-02,  4.31334E-02,  4.34030E-02,  4.36502E-02,  4.38738E-02,  4.40728E-02,  4.42465E-02,  4.43940E-02,  4.45149E-02,  4.46086E-02,  4.46750E-02,  4.47138E-02,  4.47251E-02,  4.47090E-02,  4.46658E-02,  4.45960E-02,  4.44999E-02,  4.43782E-02,  4.42317E-02,  4.40610E-02,  4.38671E-02,  4.36508E-02,  4.34131E-02,  4.31550E-02,  4.28774E-02,  4.25816E-02,  4.22686E-02,  4.19394E-02,  4.15953E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.23506E-02,  4.27358E-02,  4.31043E-02,  4.34547E-02,  4.37854E-02,  4.40948E-02,  4.43817E-02,  4.46447E-02,  4.48826E-02,  4.50943E-02,  4.52788E-02,  4.54355E-02,  4.55636E-02,  4.56627E-02,  4.57325E-02,  4.57729E-02,  4.57839E-02,  4.57657E-02,  4.57186E-02,  4.56431E-02,  4.55398E-02,  4.54094E-02,  4.52526E-02,  4.50703E-02,  4.48635E-02,  4.46330E-02,  4.43800E-02,  4.41056E-02,  4.38108E-02,  4.34968E-02,  4.31648E-02,  4.28160E-02,  4.24516E-02,  4.20729E-02,  4.16810E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.23741E-02,  4.28129E-02,  4.32378E-02,  4.36471E-02,  4.40389E-02,  4.44117E-02,  4.47636E-02,  4.50932E-02,  4.53987E-02,  4.56787E-02,  4.59320E-02,  4.61573E-02,  4.63535E-02,  4.65199E-02,  4.66557E-02,  4.67604E-02,  4.68338E-02,  4.68757E-02,  4.68862E-02,  4.68656E-02,  4.68141E-02,  4.67325E-02,  4.66213E-02,  4.64813E-02,  4.63134E-02,  4.61185E-02,  4.58977E-02,  4.56520E-02,  4.53826E-02,  4.50906E-02,  4.47773E-02,  4.44439E-02,  4.40917E-02,  4.37220E-02,  4.33360E-02,  4.29351E-02,  4.25207E-02,  4.20940E-02,  4.16564E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.22704E-02,  4.27593E-02,  4.32376E-02,  4.37034E-02,  4.41548E-02,  4.45900E-02,  4.50070E-02,  4.54039E-02,  4.57788E-02,  4.61300E-02,  4.64556E-02,  4.67541E-02,  4.70239E-02,  4.72638E-02,  4.74726E-02,  4.76493E-02,  4.77933E-02,  4.79039E-02,  4.79810E-02,  4.80243E-02,  4.80341E-02,  4.80106E-02,  4.79543E-02,  4.78658E-02,  4.77459E-02,  4.75954E-02,  4.74155E-02,  4.72070E-02,  4.69711E-02,  4.67091E-02,  4.64221E-02,  4.61114E-02,  4.57784E-02,  4.54242E-02,  4.50504E-02,  4.46583E-02,  4.42493E-02,  4.38249E-02,  4.33864E-02,  4.29353E-02,  4.24731E-02,  4.20010E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.25751E-02,  4.31021E-02,  4.36203E-02,  4.41278E-02,  4.46225E-02,  4.51025E-02,  4.55656E-02,  4.60097E-02,  4.64327E-02,  4.68324E-02,  4.72069E-02,  4.75543E-02,  4.78726E-02,  4.81603E-02,  4.84160E-02,  4.86382E-02,  4.88260E-02,  4.89786E-02,  4.90954E-02,  4.91762E-02,  4.92208E-02,  4.92295E-02,  4.92027E-02,  4.91408E-02,  4.90448E-02,  4.89153E-02,  4.87535E-02,  4.85604E-02,  4.83372E-02,  4.80852E-02,  4.78056E-02,  4.74998E-02,  4.71691E-02,  4.68149E-02,  4.64386E-02,  4.60418E-02,  4.56259E-02,  4.51925E-02,  4.47429E-02,  4.42789E-02,  4.38018E-02,  4.33134E-02,  4.28149E-02,  4.23081E-02,  4.17942E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
