NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.40646E-02,  3.34796E-02,  3.28721E-02,  3.22473E-02,  3.16107E-02,  3.09680E-02,  3.03253E-02,  2.96887E-02,  2.90643E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.73660E-02,  3.69151E-02,  3.64193E-02,  3.58809E-02,  3.53034E-02,  3.46906E-02,  3.40470E-02,  3.33780E-02,  3.26890E-02,  3.19865E-02,  3.12770E-02,  3.05673E-02,  2.98645E-02,  2.91757E-02,  2.85080E-02,  2.78677E-02,  2.72613E-02,  2.66944E-02,  2.61721E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.97023E-02,  3.94276E-02,  3.90985E-02,  3.87150E-02,  3.82776E-02,  3.77876E-02,  3.72468E-02,  3.66581E-02,  3.60250E-02,  3.53517E-02,  3.46432E-02,  3.39056E-02,  3.31450E-02,  3.23687E-02,  3.15841E-02,  3.07993E-02,  3.00221E-02,  2.92609E-02,  2.85235E-02,  2.78178E-02,  2.71510E-02,  2.65295E-02,  2.59594E-02,  2.54454E-02,  2.49913E-02,  2.46000E-02,  2.42730E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.11878E-02,  4.10138E-02,  4.07818E-02,  4.04903E-02,  4.01384E-02,  3.97258E-02,  3.92528E-02,  3.87206E-02,  3.81312E-02,  3.74874E-02,  3.67931E-02,  3.60530E-02,  3.52726E-02,  3.44585E-02,  3.36180E-02,  3.27591E-02,  3.18904E-02,  3.10210E-02,  3.01602E-02,  2.93173E-02,  2.85017E-02,  2.77223E-02,  2.69875E-02,  2.63048E-02,  2.56811E-02,  2.51220E-02,  2.46319E-02,  2.42138E-02,  2.38695E-02,  2.35993E-02,  2.34025E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.25321E-02,  4.24740E-02,  4.23572E-02,  4.21789E-02,  4.19366E-02,  4.16286E-02,  4.12533E-02,  4.08103E-02,  4.02995E-02,  3.97221E-02,  3.90800E-02,  3.83762E-02,  3.76148E-02,  3.68009E-02,  3.59407E-02,  3.50416E-02,  3.41118E-02,  3.31604E-02,  3.21973E-02,  3.12328E-02,  3.02777E-02,  2.93429E-02,  2.84391E-02,  2.75766E-02,  2.67653E-02,  2.60139E-02,  2.53304E-02,  2.47210E-02,  2.41909E-02,  2.37438E-02,  2.33814E-02,  2.31041E-02,  2.29105E-02,  2.27979E-02,  2.27622E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.36910E-02,  4.37583E-02,  4.37692E-02,  4.37199E-02,  4.36066E-02,  4.34258E-02,  4.31747E-02,  4.28507E-02,  4.24519E-02,  4.19774E-02,  4.14269E-02,  4.08012E-02,  4.01022E-02,  3.93331E-02,  3.84981E-02,  3.76030E-02,  3.66544E-02,  3.56608E-02,  3.46313E-02,  3.35764E-02,  3.25073E-02,  3.14360E-02,  3.03747E-02,  2.93362E-02,  2.83330E-02,  2.73770E-02,  2.64794E-02,  2.56507E-02,  2.49000E-02,  2.42347E-02,  2.36608E-02,  2.31820E-02,  2.28006E-02,  2.25168E-02,  2.23288E-02,  2.22333E-02,  2.22252E-02,  2.22979E-02,  2.24440E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  4.46297E-02,  4.48257E-02,  4.49705E-02,  4.50594E-02,  4.50877E-02,  4.50506E-02,  4.49438E-02,  4.47632E-02,  4.45050E-02,  4.41661E-02,  4.37441E-02,  4.32374E-02,  4.26452E-02,  4.19683E-02,  4.12083E-02,  4.03683E-02,  3.94530E-02,  3.84686E-02,  3.74225E-02,  3.63238E-02,  3.51833E-02,  3.40126E-02,  3.28246E-02,  3.16331E-02,  3.04524E-02,  2.92970E-02,  2.81816E-02,  2.71199E-02,  2.61253E-02,  2.52099E-02,  2.43839E-02,  2.36563E-02,  2.30336E-02,  2.25205E-02,  2.21193E-02,  2.18300E-02,  2.16504E-02,  2.15762E-02,  2.16014E-02,  2.17183E-02,  2.19177E-02,  2.21895E-02,  2.25228E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  4.56469E-02,  4.59251E-02,  4.61544E-02,  4.63293E-02,  4.64445E-02,  4.64945E-02,  4.64739E-02,  4.63774E-02,  4.62001E-02,  4.59375E-02,  4.55855E-02,  4.51411E-02,  4.46019E-02,  4.39667E-02,  4.32358E-02,  4.24106E-02,  4.14942E-02,  4.04915E-02,  3.94091E-02,  3.82553E-02,  3.70403E-02,  3.57762E-02,  3.44761E-02,  3.31550E-02,  3.18286E-02,  3.05135E-02,  2.92266E-02,  2.79846E-02,  2.68040E-02,  2.57001E-02,  2.46869E-02,  2.37767E-02,  2.29794E-02,  2.23031E-02,  2.17526E-02,  2.13306E-02,  2.10371E-02,  2.08690E-02,  2.08213E-02,  2.08866E-02,  2.10555E-02,  2.13173E-02,  2.16599E-02,  2.20705E-02,  2.25361E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,  4.66103E-02,  4.69753E-02,  4.72946E-02,  4.75626E-02,  4.77732E-02,  4.79202E-02,  4.79973E-02,  4.79982E-02,  4.79167E-02,  4.77469E-02,  4.74833E-02,  4.71208E-02,  4.66556E-02,  4.60844E-02,  4.54053E-02,  4.46180E-02,  4.37236E-02,  4.27252E-02,  4.16278E-02,  4.04384E-02,  3.91663E-02,  3.78229E-02,  3.64214E-02,  3.49773E-02,  3.35072E-02,  3.20296E-02,  3.05636E-02,  2.91287E-02,  2.77445E-02,  2.64301E-02,  2.52032E-02,  2.40803E-02,  2.30756E-02,  2.22008E-02,  2.14649E-02,  2.08739E-02,  2.04303E-02,  2.01339E-02,  1.99811E-02,  1.99654E-02,  2.00782E-02,  2.03082E-02,  2.06425E-02,  2.10669E-02,  2.15664E-02,  2.21255E-02,  2.27290E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
